카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년11월_계_총인구수,"26,922","10,091","1,490","1,967","1,669","1,680","1,387","1,932","2,130","1,246","1,053","2,277"
2021년11월_계_연령구간인구수,"26,922","10,091","1,490","1,967","1,669","1,680","1,387","1,932","2,130","1,246","1,053","2,277"
2021년11월_계_0~9세,"1,304",798,38,50,57,36,48,56,96,35,40,50
2021년11월_계_10~19세,"2,148","1,309",84,92,85,68,71,109,138,36,45,111
2021년11월_계_20~29세,"1,909","1,021",97,98,87,80,67,106,110,70,58,115
2021년11월_계_30~39세,"1,774",917,85,93,95,99,86,87,114,62,52,84
2021년11월_계_40~49세,"3,103","1,566",126,195,186,126,121,166,185,107,112,213
2021년11월_계_50~59세,"4,388","1,558",274,323,246,303,227,369,369,201,144,374
2021년11월_계_60~69세,"5,043","1,354",314,414,322,428,296,461,485,269,206,494
2021년11월_계_70~79세,"4,000",942,247,381,316,275,231,324,368,243,210,463
2021년11월_계_80~89세,"2,819",532,199,281,237,233,214,217,222,193,168,323
2021년11월_계_90~99세,414,91,25,36,36,30,25,37,43,24,17,50
2021년11월_계_100세 이상,20,3,1,4,2,2,1,0,0,6,1,0
2021년11월_남_총인구수,"13,211","4,926",728,970,836,845,705,953,"1,031",603,507,"1,107"
2021년11월_남_연령구간인구수,"13,211","4,926",728,970,836,845,705,953,"1,031",603,507,"1,107"
2021년11월_남_0~9세,686,432,16,29,29,22,27,24,48,10,24,25
2021년11월_남_10~19세,"1,107",665,44,44,43,37,43,62,71,19,24,55
2021년11월_남_20~29세,"1,086",567,60,52,54,49,40,64,67,43,26,64
2021년11월_남_30~39세,873,413,39,55,58,62,43,39,52,38,27,47
2021년11월_남_40~49세,"1,760",794,70,129,119,88,82,101,102,65,73,137
2021년11월_남_50~59세,"2,393",829,156,178,143,154,133,183,199,122,89,207
2021년11월_남_60~69세,"2,603",652,167,243,167,240,154,252,252,130,99,247
2021년11월_남_70~79세,"1,670",378,115,145,134,117,103,138,152,101,90,197
2021년11월_남_80~89세,920,175,57,89,81,68,75,74,73,64,50,114
2021년11월_남_90~99세,110,21,4,6,8,7,5,16,15,9,5,14
2021년11월_남_100세 이상,3,0,0,0,0,1,0,0,0,2,0,0
2021년11월_여_총인구수,"13,711","5,165",762,997,833,835,682,979,"1,099",643,546,"1,170"
2021년11월_여_연령구간인구수,"13,711","5,165",762,997,833,835,682,979,"1,099",643,546,"1,170"
2021년11월_여_0~9세,618,366,22,21,28,14,21,32,48,25,16,25
2021년11월_여_10~19세,"1,041",644,40,48,42,31,28,47,67,17,21,56
2021년11월_여_20~29세,823,454,37,46,33,31,27,42,43,27,32,51
2021년11월_여_30~39세,901,504,46,38,37,37,43,48,62,24,25,37
2021년11월_여_40~49세,"1,343",772,56,66,67,38,39,65,83,42,39,76
2021년11월_여_50~59세,"1,995",729,118,145,103,149,94,186,170,79,55,167
2021년11월_여_60~69세,"2,440",702,147,171,155,188,142,209,233,139,107,247
2021년11월_여_70~79세,"2,330",564,132,236,182,158,128,186,216,142,120,266
2021년11월_여_80~89세,"1,899",357,142,192,156,165,139,143,149,129,118,209
2021년11월_여_90~99세,304,70,21,30,28,23,20,21,28,15,12,36
2021년11월_여_100세 이상,17,3,1,4,2,1,1,0,0,4,1,0
