카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년07월_계_총인구수,"171,369","53,379","8,747","82,019","19,107","8,117"
2020년07월_계_연령구간인구수,"171,369","53,379","8,747","82,019","19,107","8,117"
2020년07월_계_0~9세,"19,297","3,357",428,"12,712","2,368",432
2020년07월_계_10~19세,"17,126","4,599",452,"10,383","1,261",431
2020년07월_계_20~29세,"16,609","6,326","1,015","6,636","1,874",758
2020년07월_계_30~39세,"25,159","5,756","1,084","14,107","3,494",718
2020년07월_계_40~49세,"31,450","8,501",976,"18,115","2,836","1,022"
2020년07월_계_50~59세,"23,482","9,432","1,607","8,219","2,770","1,454"
2020년07월_계_60~69세,"20,464","7,980","1,614","6,697","2,463","1,710"
2020년07월_계_70~79세,"12,056","4,922",963,"3,724","1,373","1,074"
2020년07월_계_80~89세,"4,978","2,176",513,"1,254",577,458
2020년07월_계_90~99세,705,309,85,166,87,58
2020년07월_계_100세 이상,43,21,10,6,4,2
2020년07월_남_총인구수,"84,829","26,018","4,665","40,485","9,575","4,086"
2020년07월_남_연령구간인구수,"84,829","26,018","4,665","40,485","9,575","4,086"
2020년07월_남_0~9세,"9,790","1,736",217,"6,455","1,183",199
2020년07월_남_10~19세,"8,955","2,385",264,"5,423",645,238
2020년07월_남_20~29세,"8,784","3,379",601,"3,329","1,030",445
2020년07월_남_30~39세,"12,442","3,007",645,"6,634","1,789",367
2020년07월_남_40~49세,"16,219","4,243",568,"9,343","1,497",568
2020년07월_남_50~59세,"11,838","4,658",883,"4,181","1,385",731
2020년07월_남_60~69세,"9,515","3,740",841,"2,910","1,206",818
2020년07월_남_70~79세,"5,472","2,063",471,"1,753",641,544
2020년07월_남_80~89세,"1,682",754,152,432,183,161
2020년07월_남_90~99세,125,51,18,25,16,15
2020년07월_남_100세 이상,7,2,5,0,0,0
2020년07월_여_총인구수,"86,540","27,361","4,082","41,534","9,532","4,031"
2020년07월_여_연령구간인구수,"86,540","27,361","4,082","41,534","9,532","4,031"
2020년07월_여_0~9세,"9,507","1,621",211,"6,257","1,185",233
2020년07월_여_10~19세,"8,171","2,214",188,"4,960",616,193
2020년07월_여_20~29세,"7,825","2,947",414,"3,307",844,313
2020년07월_여_30~39세,"12,717","2,749",439,"7,473","1,705",351
2020년07월_여_40~49세,"15,231","4,258",408,"8,772","1,339",454
2020년07월_여_50~59세,"11,644","4,774",724,"4,038","1,385",723
2020년07월_여_60~69세,"10,949","4,240",773,"3,787","1,257",892
2020년07월_여_70~79세,"6,584","2,859",492,"1,971",732,530
2020년07월_여_80~89세,"3,296","1,422",361,822,394,297
2020년07월_여_90~99세,580,258,67,141,71,43
2020년07월_여_100세 이상,36,19,5,6,4,2
