카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년08월_계_총인구수,"20,432","1,163",999,"5,200","1,245",237,"1,932","6,265",943,380,"2,068"
2020년08월_계_연령구간인구수,"20,432","1,163",999,"5,200","1,245",237,"1,932","6,265",943,380,"2,068"
2020년08월_계_0~9세,971,38,31,365,58,2,48,292,22,15,100
2020년08월_계_10~19세,"1,129",51,29,299,65,8,93,400,38,15,131
2020년08월_계_20~29세,"2,648",82,54,"1,029",185,42,135,548,79,24,470
2020년08월_계_30~39세,"1,914",78,59,621,123,19,91,618,43,22,240
2020년08월_계_40~49세,"2,449",116,125,669,118,17,192,817,96,37,262
2020년08월_계_50~59세,"3,648",212,201,719,238,30,369,"1,288",189,77,325
2020년08월_계_60~69세,"3,927",323,274,747,217,47,467,"1,244",227,85,296
2020년08월_계_70~79세,"2,366",158,150,435,164,54,329,722,151,62,141
2020년08월_계_80~89세,"1,129",89,55,247,68,15,169,283,84,34,85
2020년08월_계_90~99세,238,14,19,66,9,3,38,49,13,9,18
2020년08월_계_100세 이상,13,2,2,3,0,0,1,4,1,0,0
2020년08월_남_총인구수,"11,619",615,527,"3,086",716,151,"1,041","3,476",502,195,"1,310"
2020년08월_남_연령구간인구수,"11,619",615,527,"3,086",716,151,"1,041","3,476",502,195,"1,310"
2020년08월_남_0~9세,503,18,17,193,29,0,20,159,14,8,45
2020년08월_남_10~19세,610,26,18,140,35,7,50,229,19,7,79
2020년08월_남_20~29세,"1,935",47,30,817,135,36,80,357,44,10,379
2020년08월_남_30~39세,"1,190",42,33,378,77,16,56,383,26,15,164
2020년08월_남_40~49세,"1,550",66,78,441,81,14,120,488,63,20,179
2020년08월_남_50~59세,"2,095",126,116,407,129,21,232,699,113,47,205
2020년08월_남_60~69세,"2,113",173,137,402,127,27,266,668,118,42,153
2020년08월_남_70~79세,"1,166",81,81,208,68,24,149,378,71,37,69
2020년08월_남_80~89세,406,32,16,84,32,6,59,105,32,8,32
2020년08월_남_90~99세,47,3,0,15,3,0,9,9,2,1,5
2020년08월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년08월_여_총인구수,"8,813",548,472,"2,114",529,86,891,"2,789",441,185,758
2020년08월_여_연령구간인구수,"8,813",548,472,"2,114",529,86,891,"2,789",441,185,758
2020년08월_여_0~9세,468,20,14,172,29,2,28,133,8,7,55
2020년08월_여_10~19세,519,25,11,159,30,1,43,171,19,8,52
2020년08월_여_20~29세,713,35,24,212,50,6,55,191,35,14,91
2020년08월_여_30~39세,724,36,26,243,46,3,35,235,17,7,76
2020년08월_여_40~49세,899,50,47,228,37,3,72,329,33,17,83
2020년08월_여_50~59세,"1,553",86,85,312,109,9,137,589,76,30,120
2020년08월_여_60~69세,"1,814",150,137,345,90,20,201,576,109,43,143
2020년08월_여_70~79세,"1,200",77,69,227,96,30,180,344,80,25,72
2020년08월_여_80~89세,723,57,39,163,36,9,110,178,52,26,53
2020년08월_여_90~99세,191,11,19,51,6,3,29,40,11,8,13
2020년08월_여_100세 이상,9,1,1,2,0,0,1,3,1,0,0
