카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년05월_계_총인구수,"418,007","15,234","36,889","1,892","1,766","2,252","4,188","26,170","3,239","16,303","3,906","3,368","30,589","2,293","47,484","15,251","17,597","3,371","3,316","6,373","6,831","4,538","4,551","29,050","19,802","49,164","16,128","46,462"
2020년05월_계_연령구간인구수,"418,007","15,234","36,889","1,892","1,766","2,252","4,188","26,170","3,239","16,303","3,906","3,368","30,589","2,293","47,484","15,251","17,597","3,371","3,316","6,373","6,831","4,538","4,551","29,050","19,802","49,164","16,128","46,462"
2020년05월_계_0~9세,"42,691",935,"3,400",42,21,44,69,"5,545",80,899,69,93,"2,501",82,"5,025","1,146",954,151,294,722,948,660,372,"2,713","2,389","5,255",994,"7,288"
2020년05월_계_10~19세,"45,828","1,191","3,972",67,67,142,168,"2,052",219,"1,317",113,162,"3,694",136,"6,387","1,792","2,111",199,233,490,654,202,367,"3,703","2,684","6,085","1,173","6,448"
2020년05월_계_20~29세,"57,351","1,571","4,843",107,103,150,305,"2,793",274,"2,603",543,342,"4,157",243,"5,992","2,140","2,845",609,444,"1,009",940,726,702,"4,314","2,567","7,151","4,210","5,668"
2020년05월_계_30~39세,"67,115","1,383","4,543",95,75,100,226,"8,085",191,"2,257",553,288,"3,720",172,"6,314","1,771","1,797",516,565,"1,365","1,454","1,181",741,"3,982","3,232","9,119","4,176","9,214"
2020년05월_계_40~49세,"73,480","2,033","5,861",139,153,199,466,"4,002",396,"2,428",727,372,"5,201",300,"9,144","2,618","2,946",474,456,998,"1,150",678,782,"5,899","4,023","9,519","2,640","9,876"
2020년05월_계_50~59세,"69,444","3,054","7,723",375,342,404,837,"2,023",659,"3,222",872,709,"6,162",491,"8,368","3,088","3,970",645,655,"1,130","1,071",667,811,"5,429","3,192","6,871","1,680","4,994"
2020년05월_계_60~69세,"37,244","2,553","3,833",463,415,491,894,952,614,"2,408",632,762,"3,416",508,"4,179","1,753","2,081",453,380,431,447,330,459,"1,892","1,124","3,203",813,"1,758"
2020년05월_계_70~79세,"15,785","1,427","1,620",307,294,403,676,407,464,850,279,447,"1,142",238,"1,428",649,630,238,180,159,117,73,231,750,382,"1,309",290,795
2020년05월_계_80~89세,"7,885",938,930,250,255,281,480,270,309,284,94,171,529,110,570,261,235,75,94,63,46,15,72,310,180,573,123,367
2020년05월_계_90~99세,"1,136",144,156,46,39,36,64,40,31,31,21,21,67,12,76,33,26,11,12,6,4,5,14,56,29,77,27,52
2020년05월_계_100세 이상,48,5,8,1,2,2,3,1,2,4,3,1,0,1,1,0,2,0,3,0,0,1,0,2,0,2,2,2
2020년05월_남_총인구수,"214,442","7,575","18,754",939,903,"1,147","2,179","13,686","1,651","8,074","2,156","1,735","14,992","1,193","24,016","7,541","8,847","1,871","1,800","3,452","3,515","2,492","2,418","15,141","10,322","25,313","8,624","24,106"
