,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년11월_계_총인구수,"210,313","4,886","2,027","2,991","8,727","3,003","2,330","3,965","13,190","3,775","3,724","2,311","3,267","1,946","2,733","23,505","7,098","15,574","5,280","9,619","18,240","3,683","9,443","14,599","37,710","6,687"
2020년11월_계_연령구간인구수,"210,313","4,886","2,027","2,991","8,727","3,003","2,330","3,965","13,190","3,775","3,724","2,311","3,267","1,946","2,733","23,505","7,098","15,574","5,280","9,619","18,240","3,683","9,443","14,599","37,710","6,687"
2020년11월_계_0~9세,"14,650",105,41,73,578,30,55,75,"2,021",333,110,55,86,67,104,"1,600",273,"1,255",249,368,"2,054",97,553,"1,035","2,841",592
2020년11월_계_10~19세,"18,934",215,63,115,418,113,96,135,954,276,177,83,165,77,156,"2,532",549,"2,021",477,709,"2,364",152,775,"1,732","3,889",691
2020년11월_계_20~29세,"24,354",380,118,194,"1,372",174,131,270,"1,562",506,268,147,192,102,277,"2,774",885,"1,893",573,"1,058","2,160",497,"1,134","1,924","5,011",752
2020년11월_계_30~39세,"23,421",309,97,159,"1,378",168,119,179,"3,004",466,181,122,169,114,232,"2,407",616,"1,683",448,859,"2,624",260,"1,018","1,459","4,526",824
2020년11월_계_40~49세,"30,985",481,165,251,"1,197",232,179,336,"2,043",515,330,191,263,150,338,"3,681",955,"2,882",728,"1,177","3,380",403,"1,427","2,524","5,993","1,164"
2020년11월_계_50~59세,"37,832","1,040",430,650,"1,457",598,408,815,"1,557",512,747,434,592,341,485,"4,399","1,292","2,721",979,"1,800","2,847",728,"1,742","2,854","7,182","1,222"
2020년11월_계_60~69세,"31,492","1,172",567,766,"1,279",778,629,"1,040","1,137",561,889,580,851,513,541,"3,346","1,249","1,703",884,"1,911","1,644",749,"1,522","1,671","4,736",774
2020년11월_계_70~79세,"17,457",677,330,493,599,503,401,651,537,343,564,387,522,337,354,"1,740",802,897,584,"1,101",742,487,884,899,"2,214",409
