,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년12월_계_총인구수,"887,015","84,747","17,530","88,036","43,217","6,956","6,493","7,016","11,061","7,262","10,083","10,325","4,027","11,425","24,737","43,696","36,133","23,914","31,874","13,561","22,929","50,932","35,207","41,806","52,628","45,102","38,257","86,063","31,998"
2021년12월_계_연령구간인구수,"887,015","84,747","17,530","88,036","43,217","6,956","6,493","7,016","11,061","7,262","10,083","10,325","4,027","11,425","24,737","43,696","36,133","23,914","31,874","13,561","22,929","50,932","35,207","41,806","52,628","45,102","38,257","86,063","31,998"
2021년12월_계_0~9세,"101,318","8,115",811,"10,151","4,021",230,225,222,417,175,301,356,86,365,"4,387","4,031","3,789","2,154","3,975","1,173","1,616","5,818","3,859","5,307","8,271","6,164","5,307","14,132","5,860"
2021년12월_계_10~19세,"101,090","10,099","1,445","10,418","3,682",448,335,382,772,293,468,570,155,709,"2,569","3,827","3,647","3,881","4,078","1,761","2,135","6,809","6,585","5,362","9,278","4,462","4,014","9,960","2,946"
2021년12월_계_20~29세,"109,069","10,658","1,784","10,583","5,847",779,708,745,"1,011",547,990,"1,039",413,"1,332","2,508","7,238","6,044","3,015","3,942","1,721","3,098","8,177","3,714","6,331","4,262","5,492","5,530","8,602","2,959"
2021년12월_계_30~39세,"151,247","11,858","1,600","15,319","7,332",614,621,789,923,544,"1,038",895,401,"1,171","5,167","8,513","6,442","2,826","5,441","1,462","2,831","9,243","3,858","7,982","8,167","10,801","8,435","18,538","8,436"
2021년12월_계_40~49세,"171,781","16,212","2,704","18,076","7,108",874,771,968,"1,394",802,"1,444","1,293",467,"1,525","4,943","7,829","6,341","5,143","6,103","2,601","3,879","10,056","8,512","8,481","13,452","8,784","7,564","18,259","6,196"
2021년12월_계_50~59세,"122,796","13,112","3,530","11,577","6,700","1,449","1,237","1,461","2,151","1,568","2,288","2,141",887,"2,440","3,126","6,130","4,951","3,492","4,485","2,331","4,174","6,810","4,998","4,454","5,965","4,712","4,387","9,284","2,956"
2021년12월_계_60~69세,"78,498","8,879","3,049","7,152","5,229","1,406","1,391","1,317","2,260","1,826","2,094","2,186",912,"2,184","1,538","3,798","2,986","1,857","2,723","1,476","3,171","2,581","2,196","2,210","2,174","2,952","2,012","5,083","1,856"
2021년12월_계_70~79세,"33,254","3,926","1,599","3,050","2,141",709,706,688,"1,226",862,849,"1,095",405,996,316,"1,560","1,325","1,035",749,719,"1,344",980,"1,029","1,176",733,"1,197",696,"1,606",537
2021년12월_계_80~89세,"15,632","1,640",890,"1,501",985,399,409,383,757,555,529,680,261,605,157,681,535,451,333,284,594,411,417,446,276,462,262,508,221
2021년12월_계_90~99세,"2,275",236,116,206,168,48,90,59,144,87,79,70,39,96,25,87,71,60,45,33,87,46,38,56,49,73,48,88,31
2021년12월_계_100세 이상,55,12,2,3,4,0,0,2,6,3,3,0,1,2,1,2,2,0,0,0,0,1,1,1,1,3,2,3,0
2021년12월_남_총인구수,"460,788","43,006","9,594","47,273","23,594","3,682","3,684","4,197","6,006","4,017","6,088","5,984","2,490","6,629","12,395","23,713","18,611","11,657","16,089","6,916","12,137","26,254","17,315","21,594","26,166","22,653","19,747","43,164","16,133"
2021년12월_남_연령구간인구수,"460,788","43,006","9,594","47,273","23,594","3,682","3,684","4,197","6,006","4,017","6,088","5,984","2,490","6,629","12,395","23,713","18,611","11,657","16,089","6,916","12,137","26,254","17,315","21,594","26,166","22,653","19,747","43,164","16,133"
2021년12월_남_0~9세,"51,673","4,049",436,"5,267","2,080",119,135,120,213,87,152,197,56,187,"2,142","2,041","1,989","1,086","2,002",599,843,"2,934","1,968","2,720","4,186","3,170","2,704","7,199","2,992"
2021년12월_남_10~19세,"51,575","5,047",754,"5,330","1,881",245,179,212,413,158,245,313,75,385,"1,259","1,972","1,869","1,949","2,103",898,"1,121","3,474","3,303","2,805","4,679","2,280","2,053","5,093","1,480"
2021년12월_남_20~29세,"59,249","5,608","1,075","5,895","3,435",450,420,492,593,352,681,644,289,811,"1,296","4,283","3,365","1,569","2,088",942,"1,787","4,400","1,899","3,496","2,144","2,665","2,809","4,324","1,437"
