,세종특별자치시,세종특별자치시 세종특별자치시
2021년02월_계_총인구수,"359,569","359,569"
2021년02월_계_연령구간인구수,"359,569","359,569"
2021년02월_계_0~9세,"47,289","47,289"
2021년02월_계_10~19세,"43,332","43,332"
2021년02월_계_20~29세,"37,759","37,759"
2021년02월_계_30~39세,"61,557","61,557"
2021년02월_계_40~49세,"69,982","69,982"
2021년02월_계_50~59세,"45,760","45,760"
2021년02월_계_60~69세,"30,908","30,908"
2021년02월_계_70~79세,"14,469","14,469"
2021년02월_계_80~89세,"7,227","7,227"
2021년02월_계_90~99세,"1,236","1,236"
2021년02월_계_100세 이상,50,50
2021년02월_남_총인구수,"179,528","179,528"
2021년02월_남_연령구간인구수,"179,528","179,528"
2021년02월_남_0~9세,"24,220","24,220"
2021년02월_남_10~19세,"21,778","21,778"
2021년02월_남_20~29세,"19,239","19,239"
2021년02월_남_30~39세,"30,063","30,063"
2021년02월_남_40~49세,"35,638","35,638"
2021년02월_남_50~59세,"23,872","23,872"
2021년02월_남_60~69세,"15,313","15,313"
2021년02월_남_70~79세,"6,675","6,675"
2021년02월_남_80~89세,"2,452","2,452"
2021년02월_남_90~99세,267,267
2021년02월_남_100세 이상,11,11
2021년02월_여_총인구수,"180,041","180,041"
2021년02월_여_연령구간인구수,"180,041","180,041"
2021년02월_여_0~9세,"23,069","23,069"
2021년02월_여_10~19세,"21,554","21,554"
2021년02월_여_20~29세,"18,520","18,520"
2021년02월_여_30~39세,"31,494","31,494"
2021년02월_여_40~49세,"34,344","34,344"
2021년02월_여_50~59세,"21,888","21,888"
2021년02월_여_60~69세,"15,595","15,595"
2021년02월_여_70~79세,"7,794","7,794"
2021년02월_여_80~89세,"4,775","4,775"
2021년02월_여_90~99세,969,969
2021년02월_여_100세 이상,39,39
