카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년04월_계_총인구수,"43,251","6,534","4,540","6,104","13,752","3,969","3,534","2,657","2,161"
2020년04월_계_연령구간인구수,"43,251","6,534","4,540","6,104","13,752","3,969","3,534","2,657","2,161"
2020년04월_계_0~9세,"2,757",516,201,428,"1,191",166,134,78,43
2020년04월_계_10~19세,"3,924",588,333,513,"1,669",280,234,195,112
2020년04월_계_20~29세,"3,671",617,347,403,"1,415",285,302,164,138
2020년04월_계_30~39세,"4,044",645,314,597,"1,628",297,276,157,130
2020년04월_계_40~49세,"6,570",959,623,939,"2,618",536,397,292,206
2020년04월_계_50~59세,"7,537","1,131",849,"1,003","2,183",772,769,439,391
2020년04월_계_60~69세,"7,528","1,088",974,"1,072","1,694",900,695,610,495
2020년04월_계_70~79세,"4,867",658,636,768,936,508,465,487,409
2020년04월_계_80~89세,"2,041",279,218,331,369,198,230,211,205
2020년04월_계_90~99세,251,39,37,42,42,22,25,20,24
2020년04월_계_100세 이상,61,14,8,8,7,5,7,4,8
2020년04월_남_총인구수,"21,856","3,249","2,327","3,075","6,961","1,995","1,746","1,384","1,119"
2020년04월_남_연령구간인구수,"21,856","3,249","2,327","3,075","6,961","1,995","1,746","1,384","1,119"
2020년04월_남_0~9세,"1,418",270,101,223,603,84,68,46,23
2020년04월_남_10~19세,"2,051",316,184,255,873,128,113,121,61
2020년04월_남_20~29세,"2,081",362,205,238,782,149,166,100,79
2020년04월_남_30~39세,"2,116",328,175,293,822,172,160,85,81
2020년04월_남_40~49세,"3,495",488,346,529,"1,338",289,206,181,118
2020년04월_남_50~59세,"4,009",563,461,568,"1,154",397,404,245,217
2020년04월_남_60~69세,"3,698",512,488,494,832,451,352,309,260
2020년04월_남_70~79세,"2,171",292,274,346,420,236,199,216,188
2020년04월_남_80~89세,739,102,83,118,125,84,74,74,79
2020년04월_남_90~99세,52,9,7,8,7,3,2,5,11
2020년04월_남_100세 이상,26,7,3,3,5,2,2,2,2
2020년04월_여_총인구수,"21,395","3,285","2,213","3,029","6,791","1,974","1,788","1,273","1,042"
2020년04월_여_연령구간인구수,"21,395","3,285","2,213","3,029","6,791","1,974","1,788","1,273","1,042"
2020년04월_여_0~9세,"1,339",246,100,205,588,82,66,32,20
2020년04월_여_10~19세,"1,873",272,149,258,796,152,121,74,51
2020년04월_여_20~29세,"1,590",255,142,165,633,136,136,64,59
2020년04월_여_30~39세,"1,928",317,139,304,806,125,116,72,49
2020년04월_여_40~49세,"3,075",471,277,410,"1,280",247,191,111,88
2020년04월_여_50~59세,"3,528",568,388,435,"1,029",375,365,194,174
2020년04월_여_60~69세,"3,830",576,486,578,862,449,343,301,235
2020년04월_여_70~79세,"2,696",366,362,422,516,272,266,271,221
2020년04월_여_80~89세,"1,302",177,135,213,244,114,156,137,126
2020년04월_여_90~99세,199,30,30,34,35,19,23,15,13
2020년04월_여_100세 이상,35,7,5,5,2,3,5,2,6
