,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년04월_계_총인구수,"552,975","23,729","14,509","8,422","27,138","13,779","17,493","31,434","29,198","23,441","16,666","32,014","21,873","43,598","16,298","76,454","38,594","20,059","11,283","36,111","19,591","18,353","12,938"
2021년04월_계_연령구간인구수,"552,975","23,729","14,509","8,422","27,138","13,779","17,493","31,434","29,198","23,441","16,666","32,014","21,873","43,598","16,298","76,454","38,594","20,059","11,283","36,111","19,591","18,353","12,938"
2021년04월_계_0~9세,"38,849","1,582",565,371,"2,019",617,"1,313","1,959","1,761","1,280",866,"1,361","2,168","4,957",576,"8,713","2,896","1,102",337,"2,231",820,730,625
2021년04월_계_10~19세,"54,088","2,017",698,553,"2,266",931,"1,632","3,484","2,888","2,431","1,352","2,370","2,169","8,308","1,117","8,327","4,661","1,436",573,"3,467","1,270","1,198",940
2021년04월_계_20~29세,"77,713","2,816","2,323","1,267","4,111","2,286","2,456","4,956","4,655","4,062","2,518","6,871","2,577","4,248","1,758","9,041","5,181","3,420","1,189","4,968","2,876","2,477","1,657"
2021년04월_계_30~39세,"65,019","2,749","1,846",941,"3,677","1,718","2,233","3,283","3,261","2,525","2,104","3,690","3,047","4,405","1,271","11,080","3,930","2,860","1,012","3,789","2,217","1,916","1,465"
2021년04월_계_40~49세,"87,955","3,551","1,799","1,108","4,021","1,922","2,764","5,169","4,490","3,675","2,321","4,502","4,022","10,639","2,223","13,644","6,265","2,586","1,220","5,108","2,685","2,347","1,894"
2021년04월_계_50~59세,"102,459","4,145","2,565","1,490","5,064","2,731","3,353","6,676","6,468","5,185","3,478","6,371","3,745","6,111","3,028","11,937","7,185","3,799","2,174","7,248","3,762","3,409","2,535"
2021년04월_계_60~69세,"75,304","3,868","2,506","1,376","3,746","2,203","2,277","3,667","3,582","2,643","2,708","3,948","2,641","2,978","3,175","8,355","5,169","3,006","2,680","5,816","3,332","3,437","2,191"
2021년04월_계_70~79세,"34,577","2,078","1,503",868,"1,594",935,"1,038","1,538","1,394","1,085",926,"1,879","1,057","1,328","2,074","3,653","2,136","1,222","1,364","2,241","1,768","1,826","1,070"
2021년04월_계_80~89세,"15,143",839,639,412,571,396,377,636,634,506,350,911,396,537,968,"1,514","1,023",546,636,"1,105",771,894,482
2021년04월_계_90~99세,"1,816",79,59,36,68,39,49,62,63,47,42,110,49,79,106,186,143,80,97,138,89,116,79
2021년04월_계_100세 이상,52,5,6,0,1,1,1,4,2,2,1,1,2,8,2,4,5,2,1,0,1,3,0
2021년04월_남_총인구수,"272,745","11,543","7,031","4,100","13,235","6,813","8,629","15,774","14,693","11,769","8,451","16,465","10,846","21,380","7,819","37,584","18,864","9,942","5,417","17,512","9,698","8,776","6,404"
2021년04월_남_연령구간인구수,"272,745","11,543","7,031","4,100","13,235","6,813","8,629","15,774","14,693","11,769","8,451","16,465","10,846","21,380","7,819","37,584","18,864","9,942","5,417","17,512","9,698","8,776","6,404"
2021년04월_남_0~9세,"19,860",758,289,199,983,297,683,"1,024",918,676,453,721,"1,073","2,523",323,"4,457","1,461",586,168,"1,155",434,364,315
2021년04월_남_10~19세,"28,040",941,353,287,"1,161",497,846,"1,865","1,530","1,245",709,"1,205","1,046","4,228",575,"4,359","2,555",778,317,"1,790",662,598,493
2021년04월_남_20~29세,"41,439","1,444","1,070",649,"2,046","1,190","1,298","2,642","2,548","2,201","1,379","3,716","1,379","2,340",980,"4,818","2,873","1,789",677,"2,681","1,492","1,293",934
2021년04월_남_30~39세,"33,911","1,412",958,489,"1,892",968,"1,157","1,726","1,758","1,352","1,190","2,202","1,560","1,929",704,"5,427","1,935","1,599",573,"1,977","1,224","1,053",826
2021년04월_남_40~49세,"42,698","1,852","1,002",576,"1,969",958,"1,336","2,393","2,118","1,694","1,141","2,321","2,005","4,869","1,154","6,639","2,808","1,280",648,"2,365","1,397","1,192",981
2021년04월_남_50~59세,"49,540","2,059","1,297",711,"2,405","1,293","1,612","3,312","3,114","2,548","1,628","3,232","1,845","3,304","1,518","5,660","3,368","1,739",996,"3,289","1,803","1,597","1,210"
2021년04월_남_60~69세,"36,239","1,826","1,181",643,"1,800","1,050","1,085","1,835","1,846","1,400","1,378","1,967","1,263","1,392","1,454","3,990","2,502","1,442","1,227","2,827","1,547","1,553","1,031"
2021년04월_남_70~79세,"15,438",944,642,374,749,415,475,733,622,473,432,804,511,589,795,"1,659",964,537,619,"1,027",833,780,461
2021년04월_남_80~89세,"5,182",297,231,163,216,133,125,231,223,172,130,276,154,185,291,531,365,175,171,368,290,321,134
2021년04월_남_90~99세,389,10,7,9,13,12,12,11,16,8,11,21,8,20,25,43,33,17,21,33,16,24,19
2021년04월_남_100세 이상,9,0,1,0,1,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0
2021년04월_여_총인구수,"280,230","12,186","7,478","4,322","13,903","6,966","8,864","15,660","14,505","11,672","8,215","15,549","11,027","22,218","8,479","38,870","19,730","10,117","5,866","18,599","9,893","9,577","6,534"
2021년04월_여_연령구간인구수,"280,230","12,186","7,478","4,322","13,903","6,966","8,864","15,660","14,505","11,672","8,215","15,549","11,027","22,218","8,479","38,870","19,730","10,117","5,866","18,599","9,893","9,577","6,534"
2021년04월_여_0~9세,"18,989",824,276,172,"1,036",320,630,935,843,604,413,640,"1,095","2,434",253,"4,256","1,435",516,169,"1,076",386,366,310
