카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2021년08월_계_총인구수,"38,055","20,867","1,046","1,430","1,703","2,105","2,248","1,213","1,662","3,750","2,031"
2021년08월_계_연령구간인구수,"38,055","20,867","1,046","1,430","1,703","2,105","2,248","1,213","1,662","3,750","2,031"
2021년08월_계_0~9세,"1,586","1,228",19,26,26,32,42,43,42,87,41
2021년08월_계_10~19세,"2,829","2,101",31,48,78,87,102,41,59,202,80
2021년08월_계_20~29세,"3,164","2,239",48,70,81,127,118,93,94,210,84
2021년08월_계_30~39세,"2,678","1,851",41,51,51,104,116,74,116,183,91
2021년08월_계_40~49세,"4,362","2,883",102,105,151,180,210,112,152,301,166
2021년08월_계_50~59세,"7,127","3,746",190,321,372,419,417,257,290,732,383
2021년08월_계_60~69세,"8,355","3,488",279,394,505,569,650,323,435,"1,060",652
2021년08월_계_70~79세,"4,761","2,064",187,243,259,342,347,161,275,531,352
2021년08월_계_80~89세,"2,821","1,124",134,156,156,214,210,102,172,393,160
2021년08월_계_90~99세,349,138,15,16,24,24,30,7,26,47,22
2021년08월_계_100세 이상,23,5,0,0,0,7,6,0,1,4,0
2021년08월_남_총인구수,"19,719","10,687",545,752,884,"1,107","1,196",678,906,"1,925","1,039"
2021년08월_남_연령구간인구수,"19,719","10,687",545,752,884,"1,107","1,196",678,906,"1,925","1,039"
2021년08월_남_0~9세,835,655,12,10,12,17,20,21,25,44,19
2021년08월_남_10~19세,"1,532","1,151",17,24,40,36,54,25,23,119,43
2021년08월_남_20~29세,"1,851","1,283",33,44,52,80,76,60,57,121,45
2021년08월_남_30~39세,"1,459",968,19,35,31,61,76,40,84,101,44
2021년08월_남_40~49세,"2,360","1,445",68,68,83,118,127,66,106,177,102
2021년08월_남_50~59세,"3,963","2,054",111,178,200,243,253,162,173,390,199
2021년08월_남_60~69세,"4,417","1,786",152,235,272,316,348,176,238,564,330
2021년08월_남_70~79세,"2,178",908,85,98,132,147,168,84,123,251,182
2021년08월_남_80~89세,"1,018",398,47,54,57,80,64,42,64,144,68
2021년08월_남_90~99세,98,38,1,6,5,6,8,2,12,13,7
2021년08월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0
2021년08월_여_총인구수,"18,336","10,180",501,678,819,998,"1,052",535,756,"1,825",992
2021년08월_여_연령구간인구수,"18,336","10,180",501,678,819,998,"1,052",535,756,"1,825",992
2021년08월_여_0~9세,751,573,7,16,14,15,22,22,17,43,22
2021년08월_여_10~19세,"1,297",950,14,24,38,51,48,16,36,83,37
2021년08월_여_20~29세,"1,313",956,15,26,29,47,42,33,37,89,39
2021년08월_여_30~39세,"1,219",883,22,16,20,43,40,34,32,82,47
2021년08월_여_40~49세,"2,002","1,438",34,37,68,62,83,46,46,124,64
2021년08월_여_50~59세,"3,164","1,692",79,143,172,176,164,95,117,342,184
2021년08월_여_60~69세,"3,938","1,702",127,159,233,253,302,147,197,496,322
2021년08월_여_70~79세,"2,583","1,156",102,145,127,195,179,77,152,280,170
2021년08월_여_80~89세,"1,803",726,87,102,99,134,146,60,108,249,92
2021년08월_여_90~99세,251,100,14,10,19,18,22,5,14,34,15
2021년08월_여_100세 이상,15,4,0,0,0,4,4,0,0,3,0
