카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년10월_계_총인구수,"84,944","10,668","11,483","5,595","32,929","3,100","6,388","4,727","2,031","5,029","2,994"
2020년10월_계_연령구간인구수,"84,944","10,668","11,483","5,595","32,929","3,100","6,388","4,727","2,031","5,029","2,994"
2020년10월_계_0~9세,"7,626",723,"1,445",176,"4,636",43,204,118,63,129,89
2020년10월_계_10~19세,"9,160","1,126","1,031",317,"5,345",145,443,218,88,268,179
2020년10월_계_20~29세,"8,678","1,306",894,506,"3,923",231,709,328,159,375,247
2020년10월_계_30~39세,"9,968",958,"1,666",352,"5,609",146,455,253,133,236,160
2020년10월_계_40~49세,"13,323","1,538","1,653",604,"7,127",261,709,441,205,500,285
2020년10월_계_50~59세,"12,739","1,847","1,532","1,160","3,747",594,"1,144",904,352,868,591
2020년10월_계_60~69세,"10,745","1,564","1,417","1,163","1,594",603,"1,226","1,005",480,"1,046",647
2020년10월_계_70~79세,"7,890","1,064","1,129",813,647,585,890,908,364,979,511
2020년10월_계_80~89세,"4,182",487,624,426,264,434,512,472,148,558,257
2020년10월_계_90~99세,596,55,90,72,35,56,80,79,36,68,25
2020년10월_계_100세 이상,37,0,2,6,2,2,16,1,3,2,3
2020년10월_남_총인구수,"42,640","5,323","5,771","2,927","16,274","1,539","3,286","2,380","1,048","2,542","1,550"
2020년10월_남_연령구간인구수,"42,640","5,323","5,771","2,927","16,274","1,539","3,286","2,380","1,048","2,542","1,550"
2020년10월_남_0~9세,"3,931",375,759,87,"2,368",18,109,67,37,71,40
2020년10월_남_10~19세,"4,663",594,510,152,"2,746",80,217,95,45,137,87
2020년10월_남_20~29세,"4,663",742,487,287,"1,925",136,425,188,89,246,138
2020년10월_남_30~39세,"5,088",501,853,206,"2,675",102,262,163,83,137,106
2020년10월_남_40~49세,"7,052",781,927,358,"3,485",163,417,298,131,312,180
2020년10월_남_50~59세,"6,989",975,849,680,"1,968",346,639,510,190,481,351
2020년10월_남_60~69세,"5,383",752,682,629,758,305,648,502,249,521,337
2020년10월_남_70~79세,"3,515",443,512,392,275,259,397,395,162,452,228
2020년10월_남_80~89세,"1,256",151,174,126,70,118,162,148,56,176,75
2020년10월_남_90~99세,95,9,18,9,3,11,10,14,6,9,6
2020년10월_남_100세 이상,5,0,0,1,1,1,0,0,0,0,2
2020년10월_여_총인구수,"42,304","5,345","5,712","2,668","16,655","1,561","3,102","2,347",983,"2,487","1,444"
2020년10월_여_연령구간인구수,"42,304","5,345","5,712","2,668","16,655","1,561","3,102","2,347",983,"2,487","1,444"
2020년10월_여_0~9세,"3,695",348,686,89,"2,268",25,95,51,26,58,49
2020년10월_여_10~19세,"4,497",532,521,165,"2,599",65,226,123,43,131,92
2020년10월_여_20~29세,"4,015",564,407,219,"1,998",95,284,140,70,129,109
2020년10월_여_30~39세,"4,880",457,813,146,"2,934",44,193,90,50,99,54
2020년10월_여_40~49세,"6,271",757,726,246,"3,642",98,292,143,74,188,105
2020년10월_여_50~59세,"5,750",872,683,480,"1,779",248,505,394,162,387,240
2020년10월_여_60~69세,"5,362",812,735,534,836,298,578,503,231,525,310
2020년10월_여_70~79세,"4,375",621,617,421,372,326,493,513,202,527,283
2020년10월_여_80~89세,"2,926",336,450,300,194,316,350,324,92,382,182
2020년10월_여_90~99세,501,46,72,63,32,45,70,65,30,59,19
2020년10월_여_100세 이상,32,0,2,5,1,1,16,1,3,2,1
