,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년12월_계_총인구수,"265,304","3,103","4,695","3,356","2,623","2,503","4,864","2,940","2,854","2,166","3,285","2,923","2,260","5,190","6,965","5,439","4,358","12,585","24,159","7,344","8,119","2,802","54,888","12,401","23,117","31,751","17,222","11,392"
2021년12월_계_연령구간인구수,"265,304","3,103","4,695","3,356","2,623","2,503","4,864","2,940","2,854","2,166","3,285","2,923","2,260","5,190","6,965","5,439","4,358","12,585","24,159","7,344","8,119","2,802","54,888","12,401","23,117","31,751","17,222","11,392"
2021년12월_계_0~9세,"19,483",77,548,172,61,75,132,72,84,38,89,104,93,154,319,133,252,"1,017","2,898",350,481,155,"6,207",603,"1,480","2,270","1,065",554
2021년12월_계_10~19세,"26,150",117,387,341,107,105,225,139,129,96,147,141,147,377,556,310,182,"1,065","2,301",468,680,229,"7,651","1,105","2,753","3,997","1,603",792
2021년12월_계_20~29세,"29,021",224,362,214,211,143,315,247,243,125,292,273,166,428,765,558,384,"1,296","2,640",664,"1,070",291,"6,578","1,449","2,842","4,175","1,883","1,183"
2021년12월_계_30~39세,"29,074",173,671,208,150,144,316,172,179,117,247,193,160,383,521,359,607,"1,606","4,079",686,"1,003",239,"7,061","1,190","1,976","3,298","2,034","1,302"
2021년12월_계_40~49세,"42,523",301,733,442,231,231,489,276,254,200,440,323,244,653,872,549,604,"1,886","4,011","1,049","1,083",324,"10,849","1,775","3,628","5,810","3,273","1,993"
2021년12월_계_50~59세,"44,185",560,684,543,442,403,759,534,532,356,709,456,332,843,"1,111",889,641,"2,017","3,311","1,205","1,464",468,"8,320","2,311","4,186","5,699","3,238","2,172"
2021년12월_계_60~69세,"39,086",707,636,615,656,623,"1,154",701,659,517,746,604,486,"1,112","1,334","1,150",789,"1,889","2,730","1,455","1,370",514,"4,863","2,281","3,441","3,713","2,483","1,858"
2021년12월_계_70~79세,"23,380",533,390,451,436,412,875,500,473,409,410,525,450,807,"1,005",967,625,"1,261","1,541","1,032",670,368,"2,290","1,170","1,787","1,862","1,141",990
2021년12월_계_80~89세,"10,670",340,235,317,261,297,501,255,249,259,180,265,161,387,430,461,233,491,556,389,254,183,920,434,899,817,412,484
2021년12월_계_90~99세,"1,691",71,49,53,67,66,97,41,51,47,23,39,18,45,51,62,41,57,90,44,43,31,143,83,124,107,86,62
2021년12월_계_100세 이상,41,0,0,0,1,4,1,3,1,2,2,0,3,1,1,1,0,0,2,2,1,0,6,0,1,3,4,2
