카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년01월_계_총인구수,"47,230","20,833","3,279","4,363","2,302","1,924","2,363","3,220","1,008","2,839","1,853","3,246"
2021년01월_계_연령구간인구수,"47,230","20,833","3,279","4,363","2,302","1,924","2,363","3,220","1,008","2,839","1,853","3,246"
2021년01월_계_0~9세,"2,305","1,516",101,170,49,48,66,104,30,80,40,101
2021년01월_계_10~19세,"3,350","2,050",143,304,126,94,101,176,53,107,73,123
2021년01월_계_20~29세,"4,377","2,655",234,298,145,109,113,314,44,162,109,194
2021년01월_계_30~39세,"3,234","1,938",161,264,94,75,101,173,39,123,74,192
2021년01월_계_40~49세,"5,314","3,031",304,421,217,154,184,280,78,206,175,264
2021년01월_계_50~59세,"8,434","3,532",643,812,451,365,404,618,190,502,339,578
2021년01월_계_60~69세,"9,232","3,003",796,979,532,466,582,698,245,723,415,793
2021년01월_계_70~79세,"6,525","1,985",493,686,404,319,478,504,183,525,352,596
2021년01월_계_80~89세,"3,893",989,350,387,247,262,278,317,126,349,229,359
2021년01월_계_90~99세,526,117,48,37,35,31,54,35,19,58,47,45
2021년01월_계_100세 이상,40,17,6,5,2,1,2,1,1,4,0,1
2021년01월_남_총인구수,"23,487","10,280","1,668","2,201","1,129",946,"1,149","1,640",504,"1,423",926,"1,621"
2021년01월_남_연령구간인구수,"23,487","10,280","1,668","2,201","1,129",946,"1,149","1,640",504,"1,423",926,"1,621"
2021년01월_남_0~9세,"1,169",760,54,92,25,23,26,47,17,47,25,53
2021년01월_남_10~19세,"1,744","1,056",70,162,64,51,63,99,31,48,36,64
2021년01월_남_20~29세,"2,461","1,424",138,176,88,66,67,200,23,103,66,110
2021년01월_남_30~39세,"1,700",973,100,137,47,43,54,99,24,68,50,105
2021년01월_남_40~49세,"2,887","1,543",166,243,120,96,107,167,46,136,104,159
2021년01월_남_50~59세,"4,470","1,816",357,439,245,195,219,330,108,272,178,311
2021년01월_남_60~69세,"4,717","1,500",419,508,262,239,302,361,135,363,227,401
2021년01월_남_70~79세,"2,872",845,245,298,182,133,209,217,76,242,152,273
2021년01월_남_80~89세,"1,336",336,108,138,87,93,90,112,38,130,74,130
2021년01월_남_90~99세,120,21,10,7,8,7,11,8,6,13,14,15
2021년01월_남_100세 이상,11,6,1,1,1,0,1,0,0,1,0,0
2021년01월_여_총인구수,"23,743","10,553","1,611","2,162","1,173",978,"1,214","1,580",504,"1,416",927,"1,625"
2021년01월_여_연령구간인구수,"23,743","10,553","1,611","2,162","1,173",978,"1,214","1,580",504,"1,416",927,"1,625"
2021년01월_여_0~9세,"1,136",756,47,78,24,25,40,57,13,33,15,48
2021년01월_여_10~19세,"1,606",994,73,142,62,43,38,77,22,59,37,59
2021년01월_여_20~29세,"1,916","1,231",96,122,57,43,46,114,21,59,43,84
2021년01월_여_30~39세,"1,534",965,61,127,47,32,47,74,15,55,24,87
2021년01월_여_40~49세,"2,427","1,488",138,178,97,58,77,113,32,70,71,105
2021년01월_여_50~59세,"3,964","1,716",286,373,206,170,185,288,82,230,161,267
2021년01월_여_60~69세,"4,515","1,503",377,471,270,227,280,337,110,360,188,392
2021년01월_여_70~79세,"3,653","1,140",248,388,222,186,269,287,107,283,200,323
2021년01월_여_80~89세,"2,557",653,242,249,160,169,188,205,88,219,155,229
2021년01월_여_90~99세,406,96,38,30,27,24,43,27,13,45,33,30
2021년01월_여_100세 이상,29,11,5,4,1,1,1,1,1,3,0,1
