,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년10월_계_총인구수,"55,437","14,822","2,338","2,669","1,708","18,882","2,550","2,473","1,531","2,728","3,182","1,188","1,366"
2020년10월_계_연령구간인구수,"55,437","14,822","2,338","2,669","1,708","18,882","2,550","2,473","1,531","2,728","3,182","1,188","1,366"
2020년10월_계_0~9세,"4,625",801,74,66,55,"3,238",153,53,21,49,54,25,36
2020년10월_계_10~19세,"4,343","1,220",111,80,56,"2,276",112,90,45,87,127,62,77
2020년10월_계_20~29세,"4,076","1,317",93,144,59,"1,671",218,119,54,91,197,48,65
2020년10월_계_30~39세,"5,471","1,173",78,115,79,"3,323",223,110,44,111,112,42,61
2020년10월_계_40~49세,"7,069","1,907",184,166,123,"3,503",237,203,104,202,246,87,107
2020년10월_계_50~59세,"8,089","2,497",356,430,264,"2,217",332,377,223,429,504,241,219
2020년10월_계_60~69세,"9,289","2,851",506,675,411,"1,386",445,573,383,683,731,337,308
2020년10월_계_70~79세,"6,898","1,842",500,512,347,726,421,531,350,578,647,175,269
2020년10월_계_80~89세,"4,884","1,046",389,423,280,468,352,363,278,439,507,145,194
2020년10월_계_90~99세,659,162,44,54,34,71,55,50,27,55,55,25,27
2020년10월_계_100세 이상,34,6,3,4,0,3,2,4,2,4,2,1,3
2020년10월_남_총인구수,"27,269","7,315","1,159","1,324",843,"9,304","1,258","1,197",736,"1,338","1,530",588,677
2020년10월_남_연령구간인구수,"27,269","7,315","1,159","1,324",843,"9,304","1,258","1,197",736,"1,338","1,530",588,677
2020년10월_남_0~9세,"2,373",399,43,36,28,"1,663",80,26,7,27,31,13,20
2020년10월_남_10~19세,"2,312",689,65,39,36,"1,170",60,48,27,44,63,36,35
2020년10월_남_20~29세,"2,302",767,54,99,33,875,140,64,34,52,120,24,40
2020년10월_남_30~39세,"2,758",611,41,67,41,"1,572",124,68,26,72,81,18,37
2020년10월_남_40~49세,"3,869","1,032",120,114,84,"1,748",160,135,71,141,147,53,64
2020년10월_남_50~59세,"4,216","1,227",204,230,161,"1,109",194,201,130,243,272,120,125
2020년10월_남_60~69세,"4,608","1,352",270,355,218,685,199,275,197,346,360,192,159
2020년10월_남_70~79세,"3,060",835,219,216,146,322,187,236,150,269,276,86,118
2020년10월_남_80~89세,"1,648",373,133,154,88,149,103,135,92,136,173,39,73
2020년10월_남_90~99세,120,29,10,13,8,11,11,9,2,7,7,7,6
2020년10월_남_100세 이상,3,1,0,1,0,0,0,0,0,1,0,0,0
2020년10월_여_총인구수,"28,168","7,507","1,179","1,345",865,"9,578","1,292","1,276",795,"1,390","1,652",600,689
2020년10월_여_연령구간인구수,"28,168","7,507","1,179","1,345",865,"9,578","1,292","1,276",795,"1,390","1,652",600,689
2020년10월_여_0~9세,"2,252",402,31,30,27,"1,575",73,27,14,22,23,12,16
2020년10월_여_10~19세,"2,031",531,46,41,20,"1,106",52,42,18,43,64,26,42
2020년10월_여_20~29세,"1,774",550,39,45,26,796,78,55,20,39,77,24,25
2020년10월_여_30~39세,"2,713",562,37,48,38,"1,751",99,42,18,39,31,24,24
2020년10월_여_40~49세,"3,200",875,64,52,39,"1,755",77,68,33,61,99,34,43
2020년10월_여_50~59세,"3,873","1,270",152,200,103,"1,108",138,176,93,186,232,121,94
2020년10월_여_60~69세,"4,681","1,499",236,320,193,701,246,298,186,337,371,145,149
2020년10월_여_70~79세,"3,838","1,007",281,296,201,404,234,295,200,309,371,89,151
2020년10월_여_80~89세,"3,236",673,256,269,192,319,249,228,186,303,334,106,121
2020년10월_여_90~99세,539,133,34,41,26,60,44,41,25,48,48,18,21
2020년10월_여_100세 이상,31,5,3,3,0,3,2,4,2,3,2,1,3
