,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년08월_계_총인구수,"117,340","8,472","13,833","4,171","4,304","3,067","3,634","3,603","6,144","2,482","6,355","3,495","3,979","2,283","34,923","16,595"
2020년08월_계_연령구간인구수,"117,340","8,472","13,833","4,171","4,304","3,067","3,634","3,603","6,144","2,482","6,355","3,495","3,979","2,283","34,923","16,595"
2020년08월_계_0~9세,"7,395",360,911,115,114,126,83,89,191,64,407,61,104,56,"3,390","1,324"
2020년08월_계_10~19세,"9,931",692,"1,115",185,242,149,168,157,330,107,412,137,213,145,"3,968","1,911"
2020년08월_계_20~29세,"11,512",740,"1,329",296,304,209,226,281,390,116,453,246,432,143,"4,512","1,835"
2020년08월_계_30~39세,"10,966",569,"1,321",246,257,234,227,216,343,121,566,170,247,130,"4,637","1,682"
2020년08월_계_40~49세,"15,668","1,017","1,712",367,421,305,405,363,579,252,668,321,449,219,"5,903","2,687"
2020년08월_계_50~59세,"19,909","1,527","2,241",696,797,493,709,692,"1,226",441,"1,076",596,754,381,"5,409","2,871"
2020년08월_계_60~69세,"19,649","1,640","2,362",935,945,643,813,815,"1,446",610,"1,156",875,799,526,"3,870","2,214"
2020년08월_계_70~79세,"13,032","1,167","1,623",738,705,505,562,567,951,440,901,612,535,376,"2,050","1,300"
2020년08월_계_80~89세,"8,026",632,"1,053",532,476,351,384,365,587,274,622,409,379,258,"1,024",680
2020년08월_계_90~99세,"1,163",112,157,60,41,48,51,54,94,51,89,64,62,46,148,86
2020년08월_계_100세 이상,89,16,9,1,2,4,6,4,7,6,5,4,5,3,12,5
2020년08월_남_총인구수,"58,656","4,115","6,906","2,098","2,190","1,552","1,809","1,848","3,201","1,259","3,238","1,777","2,105","1,095","17,404","8,059"
2020년08월_남_연령구간인구수,"58,656","4,115","6,906","2,098","2,190","1,552","1,809","1,848","3,201","1,259","3,238","1,777","2,105","1,095","17,404","8,059"
2020년08월_남_0~9세,"3,792",183,459,58,55,69,43,47,106,28,222,38,48,28,"1,727",681
2020년08월_남_10~19세,"5,131",352,572,98,122,76,89,74,183,58,235,74,101,67,"2,059",971
2020년08월_남_20~29세,"6,448",420,763,170,174,117,116,163,237,65,263,146,265,82,"2,446","1,021"
2020년08월_남_30~39세,"5,795",295,725,156,157,136,119,132,191,77,297,100,162,73,"2,357",818
2020년08월_남_40~49세,"8,341",538,957,233,259,175,224,226,335,157,375,182,286,120,"2,945","1,329"
2020년08월_남_50~59세,"10,434",772,"1,169",372,437,284,394,389,678,242,568,322,438,204,"2,717","1,448"
2020년08월_남_60~69세,"9,864",788,"1,180",478,499,328,423,426,770,318,604,468,415,273,"1,871","1,023"
2020년08월_남_70~79세,"5,754",497,704,305,321,238,257,260,456,209,407,285,244,149,896,526
2020년08월_남_80~89세,"2,774",233,337,208,156,114,127,122,220,88,241,139,133,84,343,229
2020년08월_남_90~99세,302,30,39,20,9,14,17,9,24,16,25,22,12,15,39,11
2020년08월_남_100세 이상,21,7,1,0,1,1,0,0,1,1,1,1,1,0,4,2
2020년08월_여_총인구수,"58,684","4,357","6,927","2,073","2,114","1,515","1,825","1,755","2,943","1,223","3,117","1,718","1,874","1,188","17,519","8,536"
2020년08월_여_연령구간인구수,"58,684","4,357","6,927","2,073","2,114","1,515","1,825","1,755","2,943","1,223","3,117","1,718","1,874","1,188","17,519","8,536"
2020년08월_여_0~9세,"3,603",177,452,57,59,57,40,42,85,36,185,23,56,28,"1,663",643
2020년08월_여_10~19세,"4,800",340,543,87,120,73,79,83,147,49,177,63,112,78,"1,909",940
2020년08월_여_20~29세,"5,064",320,566,126,130,92,110,118,153,51,190,100,167,61,"2,066",814
2020년08월_여_30~39세,"5,171",274,596,90,100,98,108,84,152,44,269,70,85,57,"2,280",864
2020년08월_여_40~49세,"7,327",479,755,134,162,130,181,137,244,95,293,139,163,99,"2,958","1,358"
2020년08월_여_50~59세,"9,475",755,"1,072",324,360,209,315,303,548,199,508,274,316,177,"2,692","1,423"
2020년08월_여_60~69세,"9,785",852,"1,182",457,446,315,390,389,676,292,552,407,384,253,"1,999","1,191"
2020년08월_여_70~79세,"7,278",670,919,433,384,267,305,307,495,231,494,327,291,227,"1,154",774
2020년08월_여_80~89세,"5,252",399,716,324,320,237,257,243,367,186,381,270,246,174,681,451
2020년08월_여_90~99세,861,82,118,40,32,34,34,45,70,35,64,42,50,31,109,75
2020년08월_여_100세 이상,68,9,8,1,1,3,6,4,6,5,4,3,4,3,8,3
