카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년11월_계_총인구수,"32,138","10,290",522,"3,763","8,043","4,936","2,574","2,010"
2021년11월_계_연령구간인구수,"32,138","10,290",522,"3,763","8,043","4,936","2,574","2,010"
2021년11월_계_0~9세,"2,504","1,011",16,259,535,377,191,115
2021년11월_계_10~19세,"2,243",886,31,219,588,305,126,88
2021년11월_계_20~29세,"4,194","1,250",27,498,"1,011",534,547,327
2021년11월_계_30~39세,"3,975","1,430",31,491,816,630,381,196
2021년11월_계_40~49세,"3,954","1,469",53,370,"1,020",606,236,200
2021년11월_계_50~59세,"5,107","1,556",127,567,"1,434",788,317,318
2021년11월_계_60~69세,"5,693","1,518",121,768,"1,484",976,406,420
2021년11월_계_70~79세,"2,595",701,75,321,653,410,219,216
2021년11월_계_80~89세,"1,603",399,37,227,435,261,133,111
2021년11월_계_90~99세,262,68,4,42,64,49,18,17
2021년11월_계_100세 이상,8,2,0,1,3,0,0,2
2021년11월_남_총인구수,"17,424","5,403",278,"2,025","4,332","2,677","1,551","1,158"
2021년11월_남_연령구간인구수,"17,424","5,403",278,"2,025","4,332","2,677","1,551","1,158"
2021년11월_남_0~9세,"1,262",502,7,116,279,196,100,62
2021년11월_남_10~19세,"1,186",484,16,109,307,153,67,50
2021년11월_남_20~29세,"2,814",745,16,330,658,362,445,258
2021년11월_남_30~39세,"2,303",791,21,305,450,369,247,120
2021년11월_남_40~49세,"2,204",791,29,213,567,343,145,116
2021년11월_남_50~59세,"2,728",808,72,307,783,410,181,167
2021년11월_남_60~69세,"3,047",787,61,403,817,544,205,230
2021년11월_남_70~79세,"1,238",333,40,154,296,196,111,108
2021년11월_남_80~89세,571,145,14,77,157,94,45,39
2021년11월_남_90~99세,67,16,2,11,16,10,5,7
2021년11월_남_100세 이상,4,1,0,0,2,0,0,1
2021년11월_여_총인구수,"14,714","4,887",244,"1,738","3,711","2,259","1,023",852
2021년11월_여_연령구간인구수,"14,714","4,887",244,"1,738","3,711","2,259","1,023",852
2021년11월_여_0~9세,"1,242",509,9,143,256,181,91,53
2021년11월_여_10~19세,"1,057",402,15,110,281,152,59,38
2021년11월_여_20~29세,"1,380",505,11,168,353,172,102,69
2021년11월_여_30~39세,"1,672",639,10,186,366,261,134,76
2021년11월_여_40~49세,"1,750",678,24,157,453,263,91,84
2021년11월_여_50~59세,"2,379",748,55,260,651,378,136,151
2021년11월_여_60~69세,"2,646",731,60,365,667,432,201,190
2021년11월_여_70~79세,"1,357",368,35,167,357,214,108,108
2021년11월_여_80~89세,"1,032",254,23,150,278,167,88,72
2021년11월_여_90~99세,195,52,2,31,48,39,13,10
2021년11월_여_100세 이상,4,1,0,1,1,0,0,1
