,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년09월_계_총인구수,"114,522","12,152","2,692","2,979","1,481","2,363","2,518","3,619","1,988","4,720","4,426","3,477","1,914","4,306","7,756","2,770","5,098","9,046","3,406","3,516","34,295"
2020년09월_계_연령구간인구수,"114,522","12,152","2,692","2,979","1,481","2,363","2,518","3,619","1,988","4,720","4,426","3,477","1,914","4,306","7,756","2,770","5,098","9,046","3,406","3,516","34,295"
2020년09월_계_0~9세,"10,074","1,154",58,76,21,85,49,70,36,98,143,93,41,126,661,158,250,788,120,134,"5,913"
2020년09월_계_10~19세,"9,338",790,156,144,52,125,84,161,57,173,218,146,55,207,871,230,368,961,274,209,"4,057"
2020년09월_계_20~29세,"12,152","1,202",198,259,104,153,178,244,120,349,398,321,110,319,"1,152",355,554,"1,338",289,386,"4,123"
2020년09월_계_30~39세,"14,516","1,678",137,176,75,131,129,219,94,280,342,259,101,248,974,267,415,995,240,297,"7,459"
2020년09월_계_40~49세,"16,272","1,711",223,262,123,235,195,309,164,419,455,377,161,391,"1,256",418,618,"1,380",326,438,"6,811"
2020년09월_계_50~59세,"17,196","1,979",486,556,262,380,399,622,353,890,792,694,391,727,"1,275",458,885,"1,478",646,619,"3,304"
2020년09월_계_60~69세,"15,852","1,866",570,620,329,505,570,809,435,"1,074",877,710,436,896,805,398,867,"1,031",640,665,"1,749"
2020년09월_계_70~79세,"11,511","1,121",498,502,280,429,525,656,385,797,753,510,364,823,461,301,753,704,529,482,638
2020년09월_계_80~89세,"6,557",567,310,339,201,287,346,454,297,537,374,315,225,495,266,152,336,316,293,233,214
2020년09월_계_90~99세,995,81,51,43,34,29,43,72,46,98,68,52,29,69,34,33,49,55,45,38,26
2020년09월_계_100세 이상,59,3,5,2,0,4,0,3,1,5,6,0,1,5,1,0,3,0,4,15,1
2020년09월_남_총인구수,"57,632","6,103","1,343","1,547",730,"1,176","1,241","1,814",971,"2,417","2,315","1,805",992,"2,220","3,852","1,374","2,571","4,530","1,735","1,851","17,045"
2020년09월_남_연령구간인구수,"57,632","6,103","1,343","1,547",730,"1,176","1,241","1,814",971,"2,417","2,315","1,805",992,"2,220","3,852","1,374","2,571","4,530","1,735","1,851","17,045"
2020년09월_남_0~9세,"5,150",593,27,36,10,41,23,36,16,58,77,42,24,62,334,75,145,409,70,63,"3,009"
2020년09월_남_10~19세,"4,823",408,83,82,27,66,50,100,31,83,121,76,26,121,446,119,219,509,124,104,"2,028"
2020년09월_남_20~29세,"6,410",641,109,145,69,87,111,140,71,193,221,188,65,179,624,202,309,732,159,220,"1,945"
2020년09월_남_30~39세,"7,569",858,78,116,51,74,76,147,57,172,214,155,57,139,514,139,221,499,137,181,"3,684"
2020년09월_남_40~49세,"9,098",966,153,175,78,148,131,202,112,281,288,239,108,257,640,235,336,707,203,276,"3,563"
2020년09월_남_50~59세,"9,391",991,291,344,150,228,227,345,208,520,468,414,237,452,653,241,463,773,384,375,"1,627"
2020년09월_남_60~69세,"8,030",949,301,330,160,264,309,421,229,570,464,365,240,472,382,186,424,475,334,342,813
2020년09월_남_70~79세,"4,988",516,210,220,128,177,204,276,148,350,329,221,161,360,177,123,324,319,219,217,309
2020년09월_남_80~89세,"1,951",158,86,95,50,84,98,135,89,170,119,91,66,159,72,50,118,95,92,62,62
2020년09월_남_90~99세,213,23,5,4,7,7,12,11,10,20,13,14,7,18,10,4,12,12,13,6,5
2020년09월_남_100세 이상,9,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5,0
2020년09월_여_총인구수,"56,890","6,049","1,349","1,432",751,"1,187","1,277","1,805","1,017","2,303","2,111","1,672",922,"2,086","3,904","1,396","2,527","4,516","1,671","1,665","17,250"
2020년09월_여_연령구간인구수,"56,890","6,049","1,349","1,432",751,"1,187","1,277","1,805","1,017","2,303","2,111","1,672",922,"2,086","3,904","1,396","2,527","4,516","1,671","1,665","17,250"
2020년09월_여_0~9세,"4,924",561,31,40,11,44,26,34,20,40,66,51,17,64,327,83,105,379,50,71,"2,904"
2020년09월_여_10~19세,"4,515",382,73,62,25,59,34,61,26,90,97,70,29,86,425,111,149,452,150,105,"2,029"
2020년09월_여_20~29세,"5,742",561,89,114,35,66,67,104,49,156,177,133,45,140,528,153,245,606,130,166,"2,178"
2020년09월_여_30~39세,"6,947",820,59,60,24,57,53,72,37,108,128,104,44,109,460,128,194,496,103,116,"3,775"
2020년09월_여_40~49세,"7,174",745,70,87,45,87,64,107,52,138,167,138,53,134,616,183,282,673,123,162,"3,248"
2020년09월_여_50~59세,"7,805",988,195,212,112,152,172,277,145,370,324,280,154,275,622,217,422,705,262,244,"1,677"
2020년09월_여_60~69세,"7,822",917,269,290,169,241,261,388,206,504,413,345,196,424,423,212,443,556,306,323,936
2020년09월_여_70~79세,"6,523",605,288,282,152,252,321,380,237,447,424,289,203,463,284,178,429,385,310,265,329
2020년09월_여_80~89세,"4,606",409,224,244,151,203,248,319,208,367,255,224,159,336,194,102,218,221,201,171,152
2020년09월_여_90~99세,782,58,46,39,27,22,31,61,36,78,55,38,22,51,24,29,37,43,32,32,21
2020년09월_여_100세 이상,50,3,5,2,0,4,0,2,1,5,5,0,0,4,1,0,3,0,4,10,1
