,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년04월_계_총인구수,"281,604","2,780","8,618","1,959","20,772","6,340","6,525","2,892","1,330",856,"2,098","4,728","3,280","4,516","4,114","6,415","3,898","5,591","11,984","7,142","19,283","19,813","12,073","10,581","10,529","33,098","36,753","21,704","8,209","2,505","1,218"
2020년04월_계_연령구간인구수,"281,604","2,780","8,618","1,959","20,772","6,340","6,525","2,892","1,330",856,"2,098","4,728","3,280","4,516","4,114","6,415","3,898","5,591","11,984","7,142","19,283","19,813","12,073","10,581","10,529","33,098","36,753","21,704","8,209","2,505","1,218"
2020년04월_계_0~9세,"21,728",58,642,36,"2,187",296,137,74,15,28,63,244,109,173,126,272,164,179,790,502,"1,381","1,472",755,841,"1,095","2,912","4,697","1,281","1,089",76,34
2020년04월_계_10~19세,"27,244",109,656,80,"2,119",329,312,140,42,38,85,292,219,320,240,348,266,271,976,666,"1,985","2,232","1,159","1,281",930,"4,092","4,500","2,211","1,123",148,75
2020년04월_계_20~29세,"33,950",196,756,132,"2,276",478,551,158,59,59,167,461,377,388,344,728,416,488,"1,342",765,"2,549","2,544","1,813","1,464","1,086","5,169","4,588","3,386",834,272,104
2020년04월_계_30~39세,"31,919",142,823,99,"2,767",468,384,131,60,36,150,459,317,368,307,594,337,486,"1,245",741,"2,146","2,194","1,328","1,239","1,429","4,083","5,709","2,363","1,257",183,74
2020년04월_계_40~49세,"42,563",265,"1,285",155,"3,214",743,661,261,95,87,229,577,370,587,502,796,465,632,"1,635",966,"2,874","3,280","1,843","1,780","1,573","5,731","6,431","3,426","1,640",315,145
2020년04월_계_50~59세,"48,863",501,"1,405",340,"3,548","1,079","1,248",470,191,148,481,743,513,755,681,"1,101",630,964,"2,188","1,188","3,494","3,400","2,270","1,877","1,565","5,906","5,899","4,555",994,491,238
2020년04월_계_60~69세,"39,423",611,"1,570",455,"2,434","1,201","1,347",645,288,162,455,965,600,954,867,"1,283",796,"1,242","2,076","1,317","2,880","2,643","1,589","1,330","1,504","3,183","3,072","2,621",668,449,216
2020년04월_계_70~79세,"23,847",551,981,380,"1,392","1,029","1,116",611,331,177,280,719,550,695,754,932,553,948,"1,281",739,"1,308","1,381",888,541,933,"1,372","1,218","1,208",438,349,192
