카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년05월_계_총인구수,"174,801","13,729","7,426","5,382","3,368","8,090","14,391","9,511","5,206","7,489","6,403","19,664","19,246","9,066","16,300","29,530"
2020년05월_계_연령구간인구수,"174,801","13,729","7,426","5,382","3,368","8,090","14,391","9,511","5,206","7,489","6,403","19,664","19,246","9,066","16,300","29,530"
2020년05월_계_0~9세,"15,728",751,556,126,63,658,"2,721",573,141,282,392,"1,839","1,835",619,"1,482","3,690"
2020년05월_계_10~19세,"17,419","1,123",717,224,116,728,"1,046",798,292,472,516,"2,149","2,402",921,"2,024","3,891"
2020년05월_계_20~29세,"19,181","1,829",643,296,176,668,"1,600",864,310,768,574,"2,665","2,233","1,136","2,000","3,419"
2020년05월_계_30~39세,"22,434","1,488",711,275,158,995,"3,722",902,276,496,590,"2,819","2,347",928,"2,066","4,661"
2020년05월_계_40~49세,"27,795","2,001","1,137",507,307,"1,243","2,049","1,423",577,894,909,"3,353","3,514","1,512","2,926","5,443"
2020년05월_계_50~59세,"28,158","3,064","1,287",893,616,"1,345","1,492","1,689",920,"1,383",841,"3,182","3,197","1,555","2,569","4,125"
2020년05월_계_60~69세,"21,073","1,800","1,053","1,302",830,"1,144",897,"1,433","1,081","1,377","1,068","1,941","1,933","1,257","1,689","2,268"
2020년05월_계_70~79세,"13,686",966,730,"1,008",664,756,500,"1,041",925,"1,121",838,"1,066","1,124",750,964,"1,233"
2020년05월_계_80~89세,"8,097",612,515,675,381,476,322,704,603,608,584,546,569,323,502,677
2020년05월_계_90~99세,"1,167",92,73,75,52,77,39,80,79,85,84,94,84,58,76,119
2020년05월_계_100세 이상,63,3,4,1,5,0,3,4,2,3,7,10,8,7,2,4
2020년05월_남_총인구수,"90,756","7,862","3,783","2,748","1,714","4,320","7,527","4,901","2,623","3,873","3,306","10,164","10,020","4,590","8,231","15,094"
2020년05월_남_연령구간인구수,"90,756","7,862","3,783","2,748","1,714","4,320","7,527","4,901","2,623","3,873","3,306","10,164","10,020","4,590","8,231","15,094"
2020년05월_남_0~9세,"8,096",390,290,60,40,321,"1,428",296,74,150,209,978,934,319,747,"1,860"
2020년05월_남_10~19세,"9,241",591,385,125,54,386,517,437,153,269,276,"1,119","1,431",473,980,"2,045"
2020년05월_남_20~29세,"11,282","1,264",381,182,106,411,880,515,181,453,364,"1,499","1,315",657,"1,129","1,945"
2020년05월_남_30~39세,"12,352",986,361,172,90,613,"1,993",493,153,303,342,"1,564","1,241",510,"1,143","2,388"
2020년05월_남_40~49세,"14,844","1,163",606,325,193,725,"1,131",791,356,527,530,"1,730","1,755",779,"1,470","2,763"
2020년05월_남_50~59세,"14,999","1,818",718,478,343,722,775,893,506,735,457,"1,632","1,650",797,"1,330","2,145"
2020년05월_남_60~69세,"10,508",978,522,661,420,609,455,724,517,695,510,938,940,594,814,"1,131"
2020년05월_남_70~79세,"6,360",459,332,482,329,348,237,488,448,517,371,479,530,327,434,579
2020년05월_남_80~89세,"2,830",187,170,246,127,173,105,250,219,209,228,207,206,118,168,217
2020년05월_남_90~99세,235,26,18,17,9,12,5,14,15,15,18,18,16,16,16,20
2020년05월_남_100세 이상,9,0,0,0,3,0,1,0,1,0,1,0,2,0,0,1
2020년05월_여_총인구수,"84,045","5,867","3,643","2,634","1,654","3,770","6,864","4,610","2,583","3,616","3,097","9,500","9,226","4,476","8,069","14,436"
2020년05월_여_연령구간인구수,"84,045","5,867","3,643","2,634","1,654","3,770","6,864","4,610","2,583","3,616","3,097","9,500","9,226","4,476","8,069","14,436"
2020년05월_여_0~9세,"7,632",361,266,66,23,337,"1,293",277,67,132,183,861,901,300,735,"1,830"
2020년05월_여_10~19세,"8,178",532,332,99,62,342,529,361,139,203,240,"1,030",971,448,"1,044","1,846"
2020년05월_여_20~29세,"7,899",565,262,114,70,257,720,349,129,315,210,"1,166",918,479,871,"1,474"
2020년05월_여_30~39세,"10,082",502,350,103,68,382,"1,729",409,123,193,248,"1,255","1,106",418,923,"2,273"
2020년05월_여_40~49세,"12,951",838,531,182,114,518,918,632,221,367,379,"1,623","1,759",733,"1,456","2,680"
2020년05월_여_50~59세,"13,159","1,246",569,415,273,623,717,796,414,648,384,"1,550","1,547",758,"1,239","1,980"
2020년05월_여_60~69세,"10,565",822,531,641,410,535,442,709,564,682,558,"1,003",993,663,875,"1,137"
2020년05월_여_70~79세,"7,326",507,398,526,335,408,263,553,477,604,467,587,594,423,530,654
2020년05월_여_80~89세,"5,267",425,345,429,254,303,217,454,384,399,356,339,363,205,334,460
2020년05월_여_90~99세,932,66,55,58,43,65,34,66,64,70,66,76,68,42,60,99
2020년05월_여_100세 이상,54,3,4,1,2,0,2,4,1,3,6,10,6,7,2,3
