카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년11월_계_총인구수,"104,868","5,391","1,292","7,174","5,251","3,082","2,821","3,948","4,327","8,480","3,431","5,054","1,758","2,781","15,754","20,397","8,025","5,902"
2020년11월_계_연령구간인구수,"104,868","5,391","1,292","7,174","5,251","3,082","2,821","3,948","4,327","8,480","3,431","5,054","1,758","2,781","15,754","20,397","8,025","5,902"
2020년11월_계_0~9세,"5,627",144,19,283,120,64,59,91,78,463,80,114,31,68,"1,315","1,968",380,350
2020년11월_계_10~19세,"7,867",249,48,433,243,94,123,216,152,530,132,266,58,147,"1,375","2,600",642,559
2020년11월_계_20~29세,"9,203",337,117,498,383,162,187,221,247,672,170,322,83,243,"1,933","2,173",804,651
2020년11월_계_30~39세,"8,937",322,71,500,328,148,153,190,252,673,166,250,68,194,"2,096","2,198",712,616
2020년11월_계_40~49세,"12,977",512,97,762,484,211,257,362,322,"1,013",308,387,127,312,"2,387","3,486","1,066",884
2020년11월_계_50~59세,"18,795",997,236,"1,332","1,030",538,564,738,895,"1,508",591,889,279,549,"2,767","3,315","1,454","1,113"
2020년11월_계_60~69세,"21,039","1,384",325,"1,613","1,321",933,714,"1,052","1,254","1,757",938,"1,294",497,612,"2,273","2,589","1,477","1,006"
2020년11월_계_70~79세,"12,622",920,218,"1,063",794,547,472,674,694,"1,151",634,852,341,427,"1,050","1,355",931,499
2020년11월_계_80~89세,"6,856",461,142,617,479,334,252,352,380,630,368,594,245,202,476,628,496,200
2020년11월_계_90~99세,898,63,19,66,68,51,36,52,50,77,40,83,29,20,79,82,62,21
2020년11월_계_100세 이상,47,2,0,7,1,0,4,0,3,6,4,3,0,7,3,3,1,3
2020년11월_남_총인구수,"51,374","2,657",640,"3,582","2,693","1,485","1,442","2,021","2,141","4,198","1,697","2,462",852,"1,354","7,753","9,835","3,716","2,846"
2020년11월_남_연령구간인구수,"51,374","2,657",640,"3,582","2,693","1,485","1,442","2,021","2,141","4,198","1,697","2,462",852,"1,354","7,753","9,835","3,716","2,846"
2020년11월_남_0~9세,"2,863",72,9,154,67,31,32,47,44,224,40,61,13,34,630,"1,040",200,165
2020년11월_남_10~19세,"4,140",130,26,234,131,52,70,117,79,278,69,145,29,79,722,"1,382",309,288
2020년11월_남_20~29세,"5,288",193,65,299,247,105,119,149,153,400,100,182,58,159,"1,077","1,217",411,354
2020년11월_남_30~39세,"4,710",190,43,286,199,85,87,110,145,362,104,142,38,100,"1,084","1,038",377,320
2020년11월_남_40~49세,"6,889",304,66,463,288,132,157,231,187,581,193,221,80,168,"1,216","1,650",516,436
2020년11월_남_50~59세,"9,508",513,130,702,562,267,305,390,454,767,313,497,128,278,"1,365","1,575",721,541
2020년11월_남_60~69세,"10,239",694,156,779,684,461,361,543,633,890,457,637,270,283,"1,073","1,166",683,469
2020년11월_남_70~79세,"5,463",402,97,462,341,252,224,323,330,495,297,378,152,182,421,558,337,212
2020년11월_남_80~89세,"2,095",146,45,192,162,89,82,105,109,184,116,185,79,65,143,191,145,57
2020년11월_남_90~99세,170,12,3,10,12,11,4,6,6,17,7,14,5,3,22,17,17,4
2020년11월_남_100세 이상,9,1,0,1,0,0,1,0,1,0,1,0,0,3,0,1,0,0
2020년11월_여_총인구수,"53,494","2,734",652,"3,592","2,558","1,597","1,379","1,927","2,186","4,282","1,734","2,592",906,"1,427","8,001","10,562","4,309","3,056"
2020년11월_여_연령구간인구수,"53,494","2,734",652,"3,592","2,558","1,597","1,379","1,927","2,186","4,282","1,734","2,592",906,"1,427","8,001","10,562","4,309","3,056"
2020년11월_여_0~9세,"2,764",72,10,129,53,33,27,44,34,239,40,53,18,34,685,928,180,185
2020년11월_여_10~19세,"3,727",119,22,199,112,42,53,99,73,252,63,121,29,68,653,"1,218",333,271
2020년11월_여_20~29세,"3,915",144,52,199,136,57,68,72,94,272,70,140,25,84,856,956,393,297
2020년11월_여_30~39세,"4,227",132,28,214,129,63,66,80,107,311,62,108,30,94,"1,012","1,160",335,296
2020년11월_여_40~49세,"6,088",208,31,299,196,79,100,131,135,432,115,166,47,144,"1,171","1,836",550,448
2020년11월_여_50~59세,"9,287",484,106,630,468,271,259,348,441,741,278,392,151,271,"1,402","1,740",733,572
2020년11월_여_60~69세,"10,800",690,169,834,637,472,353,509,621,867,481,657,227,329,"1,200","1,423",794,537
2020년11월_여_70~79세,"7,159",518,121,601,453,295,248,351,364,656,337,474,189,245,629,797,594,287
2020년11월_여_80~89세,"4,761",315,97,425,317,245,170,247,271,446,252,409,166,137,333,437,351,143
2020년11월_여_90~99세,728,51,16,56,56,40,32,46,44,60,33,69,24,17,57,65,45,17
2020년11월_여_100세 이상,38,1,0,6,1,0,3,0,2,6,3,3,0,4,3,2,1,3
