,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년07월_계_총인구수,"26,960","6,701","6,062","2,327","3,621","8,249",0
2021년07월_계_연령구간인구수,"26,960","6,701","6,062","2,327","3,621","8,249",0
2021년07월_계_0~9세,"1,301",516,170,52,126,437,0
2021년07월_계_10~19세,"1,614",525,336,97,180,476,0
2021년07월_계_20~29세,"2,643",816,472,131,351,873,0
2021년07월_계_30~39세,"2,301",749,329,138,291,794,0
2021년07월_계_40~49세,"3,078",827,594,195,367,"1,095",0
2021년07월_계_50~59세,"4,777","1,104","1,087",414,635,"1,537",0
2021년07월_계_60~69세,"5,543","1,064","1,418",626,807,"1,628",0
2021년07월_계_70~79세,"3,434",648,972,414,511,889,0
2021년07월_계_80~89세,"1,929",379,571,220,311,448,0
2021년07월_계_90~99세,328,70,112,39,39,68,0
2021년07월_계_100세 이상,12,3,1,1,3,4,0
2021년07월_남_총인구수,"13,859","3,512","3,015","1,136","1,863","4,333",0
2021년07월_남_연령구간인구수,"13,859","3,512","3,015","1,136","1,863","4,333",0
2021년07월_남_0~9세,664,267,86,24,61,226,0
2021년07월_남_10~19세,872,290,170,56,92,264,0
2021년07월_남_20~29세,"1,680",511,315,74,214,566,0
2021년07월_남_30~39세,"1,313",414,184,80,183,452,0
2021년07월_남_40~49세,"1,682",434,325,127,211,585,0
2021년07월_남_50~59세,"2,588",609,617,212,328,822,0
2021년07월_남_60~69세,"2,829",542,694,325,419,849,0
2021년07월_남_70~79세,"1,482",297,401,163,230,391,0
2021년07월_남_80~89세,667,126,201,66,113,161,0
2021년07월_남_90~99세,79,21,22,9,12,15,0
2021년07월_남_100세 이상,3,1,0,0,0,2,0
2021년07월_여_총인구수,"13,101","3,189","3,047","1,191","1,758","3,916",0
2021년07월_여_연령구간인구수,"13,101","3,189","3,047","1,191","1,758","3,916",0
2021년07월_여_0~9세,637,249,84,28,65,211,0
2021년07월_여_10~19세,742,235,166,41,88,212,0
2021년07월_여_20~29세,963,305,157,57,137,307,0
2021년07월_여_30~39세,988,335,145,58,108,342,0
2021년07월_여_40~49세,"1,396",393,269,68,156,510,0
2021년07월_여_50~59세,"2,189",495,470,202,307,715,0
2021년07월_여_60~69세,"2,714",522,724,301,388,779,0
2021년07월_여_70~79세,"1,952",351,571,251,281,498,0
2021년07월_여_80~89세,"1,262",253,370,154,198,287,0
2021년07월_여_90~99세,249,49,90,30,27,53,0
2021년07월_여_100세 이상,9,2,1,1,3,2,0
