카테고리,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020년07월_계_총인구수,"39,274","18,486","2,187","1,619","1,672","2,412","2,077","4,596","1,441","1,859","1,564","1,361"
2020년07월_계_연령구간인구수,"39,274","18,486","2,187","1,619","1,672","2,412","2,077","4,596","1,441","1,859","1,564","1,361"
2020년07월_계_0~9세,"1,866","1,333",41,37,22,74,64,138,28,52,44,33
2020년07월_계_10~19세,"3,010","1,937",114,77,70,143,107,255,50,106,70,81
2020년07월_계_20~29세,"3,179","1,921",108,73,95,199,113,268,86,133,86,97
2020년07월_계_30~39세,"2,691","1,683",97,70,69,153,111,250,57,90,60,51
2020년07월_계_40~49세,"4,491","2,691",189,155,111,216,182,441,102,153,129,122
2020년07월_계_50~59세,"6,972","3,269",483,306,287,388,351,734,267,319,300,268
2020년07월_계_60~69세,"7,116","2,643",472,333,345,515,431,977,368,381,381,270
2020년07월_계_70~79세,"5,575","1,803",385,317,365,397,407,812,237,355,273,224
2020년07월_계_80~89세,"3,795","1,052",253,216,257,290,276,611,223,239,192,186
2020년07월_계_90~99세,548,145,43,34,45,37,35,102,23,29,28,27
2020년07월_계_100세 이상,31,9,2,1,6,0,0,8,0,2,1,2
2020년07월_남_총인구수,"18,927","8,959","1,039",807,787,"1,183",999,"2,176",691,868,770,648
2020년07월_남_연령구간인구수,"18,927","8,959","1,039",807,787,"1,183",999,"2,176",691,868,770,648
2020년07월_남_0~9세,947,675,19,19,7,39,33,70,17,27,25,16
2020년07월_남_10~19세,"1,555","1,002",57,38,33,69,50,137,30,50,40,49
2020년07월_남_20~29세,"1,807","1,069",62,39,63,118,74,152,55,68,51,56
2020년07월_남_30~39세,"1,402",834,54,40,43,90,64,133,34,47,36,27
2020년07월_남_40~49세,"2,462","1,371",109,94,70,132,104,280,60,93,77,72
2020년07월_남_50~59세,"3,686","1,696",256,193,151,218,187,378,138,167,147,155
2020년07월_남_60~69세,"3,540","1,236",250,187,182,263,231,480,184,196,196,135
2020년07월_남_70~79세,"2,261",736,148,123,165,154,163,321,97,148,123,83
2020년07월_남_80~89세,"1,146",313,77,70,64,89,85,198,72,63,66,49
2020년07월_남_90~99세,114,26,7,4,8,11,8,24,4,7,9,6
2020년07월_남_100세 이상,7,1,0,0,1,0,0,3,0,2,0,0
2020년07월_여_총인구수,"20,347","9,527","1,148",812,885,"1,229","1,078","2,420",750,991,794,713
2020년07월_여_연령구간인구수,"20,347","9,527","1,148",812,885,"1,229","1,078","2,420",750,991,794,713
2020년07월_여_0~9세,919,658,22,18,15,35,31,68,11,25,19,17
2020년07월_여_10~19세,"1,455",935,57,39,37,74,57,118,20,56,30,32
2020년07월_여_20~29세,"1,372",852,46,34,32,81,39,116,31,65,35,41
2020년07월_여_30~39세,"1,289",849,43,30,26,63,47,117,23,43,24,24
2020년07월_여_40~49세,"2,029","1,320",80,61,41,84,78,161,42,60,52,50
2020년07월_여_50~59세,"3,286","1,573",227,113,136,170,164,356,129,152,153,113
2020년07월_여_60~69세,"3,576","1,407",222,146,163,252,200,497,184,185,185,135
2020년07월_여_70~79세,"3,314","1,067",237,194,200,243,244,491,140,207,150,141
2020년07월_여_80~89세,"2,649",739,176,146,193,201,191,413,151,176,126,137
2020년07월_여_90~99세,434,119,36,30,37,26,27,78,19,22,19,21
2020년07월_여_100세 이상,24,8,2,1,5,0,0,5,0,0,1,2
