,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년01월_계_총인구수,"466,539","48,474","13,309","10,849","30,066","9,035","13,258","11,427","3,907","7,551",0,566,0,162,0,"22,370","33,156","27,376","42,106","45,879","63,070","83,978"
2021년01월_계_연령구간인구수,"466,539","48,474","13,309","10,849","30,066","9,035","13,258","11,427","3,907","7,551",0,566,0,162,0,"22,370","33,156","27,376","42,106","45,879","63,070","83,978"
2021년01월_계_0~9세,"44,064","4,869",589,345,"1,754",192,645,475,99,573,0,21,0,5,0,"1,135","3,304","2,269","3,882","4,990","8,945","9,972"
2021년01월_계_10~19세,"49,196","4,769",815,729,"2,736",287,995,654,190,524,0,35,0,13,0,"1,494","4,238","2,779","5,585","5,849","7,557","9,947"
2021년01월_계_20~29세,"56,945","5,808","1,469","1,338","3,745","1,977","1,489","1,258",416,945,0,56,0,4,0,"3,447","4,271","3,826","4,729","5,502","6,713","9,952"
2021년01월_계_30~39세,"66,931","7,618","1,337",895,"2,993","2,168","1,452","1,037",251,857,0,47,0,11,0,"2,812","4,466","3,631","5,191","6,573","11,904","13,688"
2021년01월_계_40~49세,"80,805","7,536","1,693","1,238","4,486",959,"2,121","1,338",355,831,0,73,0,15,0,"3,328","6,028","4,346","8,346","8,881","12,390","16,841"
2021년01월_계_50~59세,"73,232","6,946","2,569","2,188","5,922","1,311","2,567","2,315",776,"1,219",0,102,0,29,0,"4,233","5,254","4,690","6,899","6,900","7,559","11,753"
2021년01월_계_60~69세,"49,918","5,301","2,329","2,041","4,533","1,171","2,034","2,239",803,"1,235",0,96,0,34,0,"3,125","2,851","3,154","4,043","4,060","4,313","6,556"
2021년01월_계_70~79세,"28,847","3,523","1,472","1,292","2,484",575,"1,163","1,253",589,904,0,94,0,31,0,"1,826","1,775","1,705","2,164","2,052","2,444","3,501"
2021년01월_계_80~89세,"14,294","1,817",860,667,"1,229",340,674,701,352,387,0,39,0,18,0,829,839,860,"1,082",931,"1,085","1,584"
2021년01월_계_90~99세,"2,108",256,135,104,169,51,110,142,65,74,0,3,0,2,0,126,117,113,173,133,157,178
2021년01월_계_100세 이상,199,31,41,12,15,4,8,15,11,2,0,0,0,0,0,15,13,3,12,8,3,6
2021년01월_남_총인구수,"236,488","24,771","7,062","5,761","15,282","5,754","7,174","6,230","2,042","4,058",0,287,0,88,0,"11,865","16,230","14,040","21,348","22,452","30,847","41,197"
2021년01월_남_연령구간인구수,"236,488","24,771","7,062","5,761","15,282","5,754","7,174","6,230","2,042","4,058",0,287,0,88,0,"11,865","16,230","14,040","21,348","22,452","30,847","41,197"
2021년01월_남_0~9세,"22,510","2,457",316,191,876,92,343,243,52,289,0,10,0,2,0,580,"1,692","1,131","1,967","2,549","4,594","5,126"
2021년01월_남_10~19세,"25,303","2,461",424,397,"1,374",160,520,363,101,299,0,14,0,4,0,796,"2,192","1,450","2,922","2,910","3,818","5,098"
2021년01월_남_20~29세,"30,203","3,191",882,819,"2,039","1,190",863,775,279,595,0,29,0,4,0,"1,948","2,147","2,105","2,580","2,667","3,176","4,914"
2021년01월_남_30~39세,"35,360","4,221",760,515,"1,639","1,761",852,619,140,486,0,23,0,6,0,"1,659","2,262","1,945","2,624","3,251","5,906","6,691"
2021년01월_남_40~49세,"41,419","4,003","1,004",705,"2,313",682,"1,197",797,207,476,0,50,0,6,0,"1,798","2,885","2,249","4,142","4,366","6,200","8,339"
2021년01월_남_50~59세,"38,363","3,620","1,467","1,201","3,094",810,"1,474","1,291",433,661,0,51,0,19,0,"2,387","2,686","2,429","3,701","3,453","3,743","5,843"
2021년01월_남_60~69세,"24,798","2,549","1,216","1,067","2,302",651,"1,092","1,248",411,662,0,53,0,18,0,"1,572","1,309","1,591","2,038","1,968","1,973","3,078"
2021년01월_남_70~79세,"12,703","1,521",636,610,"1,129",282,548,630,270,419,0,39,0,17,0,802,728,769,947,906,981,"1,469"
2021년01월_남_80~89세,"5,223",648,309,220,468,115,258,228,131,153,0,16,0,10,0,285,299,339,391,348,413,592
2021년01월_남_90~99세,546,86,37,33,43,11,26,32,12,18,0,2,0,2,0,31,27,30,35,33,41,47
2021년01월_남_100세 이상,60,14,11,3,5,0,1,4,6,0,0,0,0,0,0,7,3,2,1,1,2,0
2021년01월_여_총인구수,"230,051","23,703","6,247","5,088","14,784","3,281","6,084","5,197","1,865","3,493",0,279,0,74,0,"10,505","16,926","13,336","20,758","23,427","32,223","42,781"
2021년01월_여_연령구간인구수,"230,051","23,703","6,247","5,088","14,784","3,281","6,084","5,197","1,865","3,493",0,279,0,74,0,"10,505","16,926","13,336","20,758","23,427","32,223","42,781"
2021년01월_여_0~9세,"21,554","2,412",273,154,878,100,302,232,47,284,0,11,0,3,0,555,"1,612","1,138","1,915","2,441","4,351","4,846"
2021년01월_여_10~19세,"23,893","2,308",391,332,"1,362",127,475,291,89,225,0,21,0,9,0,698,"2,046","1,329","2,663","2,939","3,739","4,849"
2021년01월_여_20~29세,"26,742","2,617",587,519,"1,706",787,626,483,137,350,0,27,0,0,0,"1,499","2,124","1,721","2,149","2,835","3,537","5,038"
2021년01월_여_30~39세,"31,571","3,397",577,380,"1,354",407,600,418,111,371,0,24,0,5,0,"1,153","2,204","1,686","2,567","3,322","5,998","6,997"
2021년01월_여_40~49세,"39,386","3,533",689,533,"2,173",277,924,541,148,355,0,23,0,9,0,"1,530","3,143","2,097","4,204","4,515","6,190","8,502"
2021년01월_여_50~59세,"34,869","3,326","1,102",987,"2,828",501,"1,093","1,024",343,558,0,51,0,10,0,"1,846","2,568","2,261","3,198","3,447","3,816","5,910"
2021년01월_여_60~69세,"25,120","2,752","1,113",974,"2,231",520,942,991,392,573,0,43,0,16,0,"1,553","1,542","1,563","2,005","2,092","2,340","3,478"
2021년01월_여_70~79세,"16,144","2,002",836,682,"1,355",293,615,623,319,485,0,55,0,14,0,"1,024","1,047",936,"1,217","1,146","1,463","2,032"
2021년01월_여_80~89세,"9,071","1,169",551,447,761,225,416,473,221,234,0,23,0,8,0,544,540,521,691,583,672,992
2021년01월_여_90~99세,"1,562",170,98,71,126,40,84,110,53,56,0,1,0,0,0,95,90,83,138,100,116,131
2021년01월_여_100세 이상,139,17,30,9,10,4,7,11,5,2,0,0,0,0,0,8,10,1,11,7,1,6
