카테고리,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년02월_계_총인구수,"124,836","2,112","5,133","2,911","4,063","4,558","5,319","1,817","7,696","14,182","16,981","13,931","10,515","10,617","12,603","12,398"
2021년02월_계_연령구간인구수,"124,836","2,112","5,133","2,911","4,063","4,558","5,319","1,817","7,696","14,182","16,981","13,931","10,515","10,617","12,603","12,398"
2021년02월_계_0~9세,"6,653",165,197,80,191,183,132,46,263,552,"1,078",754,565,715,736,996
2021년02월_계_10~19세,"6,737",116,194,127,174,282,205,38,296,804,942,873,544,857,522,763
2021년02월_계_20~29세,"18,450",226,518,363,718,"1,167",967,202,"1,349","2,383","1,999","1,981","1,671","1,418","2,082","1,406"
2021년02월_계_30~39세,"19,964",430,528,396,633,652,831,311,"1,322","2,236","2,372","2,166","1,722","1,340","2,794","2,231"
2021년02월_계_40~49세,"17,925",465,666,422,507,568,641,199,"1,040","2,046","2,450","1,924","1,541","1,575","1,835","2,046"
2021년02월_계_50~59세,"20,619",313,967,492,608,587,861,313,"1,383","2,318","2,820","2,357","1,878","1,967","1,773","1,982"
2021년02월_계_60~69세,"17,757",233,"1,033",526,627,518,870,394,"1,051","1,992","2,704","1,974","1,347","1,447","1,545","1,496"
2021년02월_계_70~79세,"10,709",105,602,319,359,380,543,205,663,"1,228","1,637","1,196",836,789,906,941
2021년02월_계_80~89세,"4,912",44,295,150,186,187,213,76,260,529,819,609,350,424,341,429
2021년02월_계_90~99세,902,10,88,27,50,31,41,22,61,80,151,86,49,71,59,76
2021년02월_계_100세 이상,208,5,45,9,10,3,15,11,8,14,9,11,12,14,10,32
2021년02월_남_총인구수,"61,018","1,035","2,734","1,243","2,098","2,302","2,722","1,087","3,837","6,864","8,030","6,602","5,119","5,133","6,016","6,196"
2021년02월_남_연령구간인구수,"61,018","1,035","2,734","1,243","2,098","2,302","2,722","1,087","3,837","6,864","8,030","6,602","5,119","5,133","6,016","6,196"
2021년02월_남_0~9세,"3,431",85,110,48,102,98,70,22,113,286,530,384,284,399,381,519
2021년02월_남_10~19세,"3,361",35,82,58,94,133,101,14,147,428,483,434,274,424,262,392
2021년02월_남_20~29세,"8,740",92,232,164,357,621,398,89,626,"1,154","1,003",958,776,713,869,688
2021년02월_남_30~39세,"9,978",206,252,200,348,343,459,175,675,"1,166","1,141","1,075",861,624,"1,377","1,076"
2021년02월_남_40~49세,"9,183",247,370,186,284,307,355,127,567,"1,047","1,216",938,788,764,904,"1,083"
2021년02월_남_50~59세,"10,445",161,562,202,349,300,482,223,741,"1,085","1,336","1,143",984,949,906,"1,022"
2021년02월_남_60~69세,"8,849",132,616,219,305,252,472,270,530,928,"1,257",946,654,734,747,787
2021년02월_남_70~79세,"4,832",55,308,116,172,169,280,115,314,550,717,468,357,351,432,428
2021년02월_남_80~89세,"1,845",17,143,40,68,70,80,40,106,197,298,227,125,148,121,165
2021년02월_남_90~99세,288,4,38,7,16,9,19,8,15,20,45,26,16,23,17,25
2021년02월_남_100세 이상,66,1,21,3,3,0,6,4,3,3,4,3,0,4,0,11
2021년02월_여_총인구수,"63,818","1,077","2,399","1,668","1,965","2,256","2,597",730,"3,859","7,318","8,951","7,329","5,396","5,484","6,587","6,202"
2021년02월_여_연령구간인구수,"63,818","1,077","2,399","1,668","1,965","2,256","2,597",730,"3,859","7,318","8,951","7,329","5,396","5,484","6,587","6,202"
2021년02월_여_0~9세,"3,222",80,87,32,89,85,62,24,150,266,548,370,281,316,355,477
2021년02월_여_10~19세,"3,376",81,112,69,80,149,104,24,149,376,459,439,270,433,260,371
2021년02월_여_20~29세,"9,710",134,286,199,361,546,569,113,723,"1,229",996,"1,023",895,705,"1,213",718
2021년02월_여_30~39세,"9,986",224,276,196,285,309,372,136,647,"1,070","1,231","1,091",861,716,"1,417","1,155"
2021년02월_여_40~49세,"8,742",218,296,236,223,261,286,72,473,999,"1,234",986,753,811,931,963
2021년02월_여_50~59세,"10,174",152,405,290,259,287,379,90,642,"1,233","1,484","1,214",894,"1,018",867,960
2021년02월_여_60~69세,"8,908",101,417,307,322,266,398,124,521,"1,064","1,447","1,028",693,713,798,709
2021년02월_여_70~79세,"5,877",50,294,203,187,211,263,90,349,678,920,728,479,438,474,513
2021년02월_여_80~89세,"3,067",27,152,110,118,117,133,36,154,332,521,382,225,276,220,264
2021년02월_여_90~99세,614,6,50,20,34,22,22,14,46,60,106,60,33,48,42,51
2021년02월_여_100세 이상,142,4,24,6,7,3,9,7,5,11,5,8,12,10,10,21
