,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년06월_계_총인구수,"54,266","8,345","14,953","6,728","1,904","2,065","3,837","3,635","2,302","3,222","1,964","3,009","2,302"
2020년06월_계_연령구간인구수,"54,266","8,345","14,953","6,728","1,904","2,065","3,837","3,635","2,302","3,222","1,964","3,009","2,302"
2020년06월_계_0~9세,"3,828",658,"1,659",692,72,48,121,115,70,108,75,135,75
2020년06월_계_10~19세,"4,598",810,"1,831",729,104,80,200,153,110,173,88,207,113
2020년06월_계_20~29세,"5,008",862,"1,536",882,125,114,282,247,185,247,120,254,154
2020년06월_계_30~39세,"5,090",774,"1,951",964,113,102,254,193,141,163,112,169,154
2020년06월_계_40~49세,"7,637","1,074","2,919","1,318",178,204,398,352,197,312,161,301,223
2020년06월_계_50~59세,"9,388","1,489","2,420","1,287",320,374,687,614,427,551,311,511,397
2020년06월_계_60~69세,"7,856","1,145","1,406",486,335,425,781,799,457,593,383,562,484
2020년06월_계_70~79세,"6,348",920,824,233,325,409,652,679,392,640,390,483,401
2020년06월_계_80~89세,"3,971",512,367,117,296,274,410,424,297,381,284,331,278
2020년06월_계_90~99세,510,97,37,19,32,35,46,57,24,52,36,53,22
2020년06월_계_100세 이상,32,4,3,1,4,0,6,2,2,2,4,3,1
2020년06월_남_총인구수,"27,892","4,127","7,941","3,864",931,"1,036","1,923","1,803","1,172","1,541",939,"1,461","1,154"
2020년06월_남_연령구간인구수,"27,892","4,127","7,941","3,864",931,"1,036","1,923","1,803","1,172","1,541",939,"1,461","1,154"
2020년06월_남_0~9세,"1,919",349,781,353,44,20,49,69,48,68,32,70,36
2020년06월_남_10~19세,"2,464",428,983,387,47,49,110,87,71,93,53,103,53
2020년06월_남_20~29세,"2,848",476,806,543,70,64,187,151,110,141,68,137,95
2020년06월_남_30~39세,"2,809",389,"1,017",584,74,60,147,113,87,90,62,92,94
2020년06월_남_40~49세,"4,533",565,"1,728",802,109,125,236,238,121,192,109,167,141
2020년06월_남_50~59세,"5,364",782,"1,417",796,202,223,369,354,238,300,177,289,217
2020년06월_남_60~69세,"3,971",559,733,272,153,242,402,385,250,277,183,268,247
2020년06월_남_70~79세,"2,641",399,365,95,128,167,269,292,151,251,152,204,168
2020년06월_남_80~89세,"1,231",157,102,28,92,77,142,108,89,120,99,117,100
2020년06월_남_90~99세,105,22,8,4,11,9,9,6,7,9,3,14,3
2020년06월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년06월_여_총인구수,"26,374","4,218","7,012","2,864",973,"1,029","1,914","1,832","1,130","1,681","1,025","1,548","1,148"
2020년06월_여_연령구간인구수,"26,374","4,218","7,012","2,864",973,"1,029","1,914","1,832","1,130","1,681","1,025","1,548","1,148"
2020년06월_여_0~9세,"1,909",309,878,339,28,28,72,46,22,40,43,65,39
2020년06월_여_10~19세,"2,134",382,848,342,57,31,90,66,39,80,35,104,60
2020년06월_여_20~29세,"2,160",386,730,339,55,50,95,96,75,106,52,117,59
2020년06월_여_30~39세,"2,281",385,934,380,39,42,107,80,54,73,50,77,60
2020년06월_여_40~49세,"3,104",509,"1,191",516,69,79,162,114,76,120,52,134,82
2020년06월_여_50~59세,"4,024",707,"1,003",491,118,151,318,260,189,251,134,222,180
2020년06월_여_60~69세,"3,885",586,673,214,182,183,379,414,207,316,200,294,237
2020년06월_여_70~79세,"3,707",521,459,138,197,242,383,387,241,389,238,279,233
2020년06월_여_80~89세,"2,740",355,265,89,204,197,268,316,208,261,185,214,178
2020년06월_여_90~99세,405,75,29,15,21,26,37,51,17,43,33,39,19
2020년06월_여_100세 이상,25,3,2,1,3,0,3,2,2,2,3,3,1
