,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년03월_계_총인구수,"81,689","4,703","3,923","6,355","9,895","21,748","27,353","4,502","3,210"
2020년03월_계_연령구간인구수,"81,689","4,703","3,923","6,355","9,895","21,748","27,353","4,502","3,210"
2020년03월_계_0~9세,"5,944",195,268,242,608,"1,463","2,837",248,83
2020년03월_계_10~19세,"7,625",294,268,470,944,"2,403","2,843",262,141
2020년03월_계_20~29세,"8,849",433,347,665,"1,092","2,455","3,197",398,262
2020년03월_계_30~39세,"9,268",451,404,467,"1,017","2,312","3,862",515,240
2020년03월_계_40~49세,"12,553",576,521,838,"1,459","3,630","4,643",520,366
2020년03월_계_50~59세,"15,127",949,797,"1,332","1,860","4,026","4,598",886,679
2020년03월_계_60~69세,"11,959",989,660,"1,169","1,618","2,972","2,994",827,730
2020년03월_계_70~79세,"6,705",531,436,734,851,"1,596","1,598",497,462
2020년03월_계_80~89세,"3,039",237,185,352,363,743,670,281,208
2020년03월_계_90~99세,586,46,34,82,79,141,105,63,36
2020년03월_계_100세 이상,34,2,3,4,4,7,6,5,3
2020년03월_남_총인구수,"40,398","2,440","1,965","3,091","4,848","10,762","13,372","2,271","1,649"
2020년03월_남_연령구간인구수,"40,398","2,440","1,965","3,091","4,848","10,762","13,372","2,271","1,649"
2020년03월_남_0~9세,"3,010",95,142,132,309,728,"1,425",137,42
2020년03월_남_10~19세,"3,957",163,139,238,496,"1,229","1,462",148,82
2020년03월_남_20~29세,"4,979",261,182,390,612,"1,379","1,783",219,153
2020년03월_남_30~39세,"4,921",261,208,270,566,"1,230","1,953",288,145
2020년03월_남_40~49세,"6,249",322,293,423,713,"1,758","2,252",289,199
2020년03월_남_50~59세,"7,427",490,407,630,898,"1,991","2,172",472,367
2020년03월_남_60~69세,"5,791",506,324,564,770,"1,485","1,380",411,351
2020년03월_남_70~79세,"2,911",247,204,310,347,695,685,205,218
2020년03월_남_80~89세,"1,011",86,57,120,116,235,231,84,82
2020년03월_남_90~99세,128,7,8,12,19,32,26,15,9
2020년03월_남_100세 이상,14,2,1,2,2,0,3,3,1
2020년03월_여_총인구수,"41,291","2,263","1,958","3,264","5,047","10,986","13,981","2,231","1,561"
2020년03월_여_연령구간인구수,"41,291","2,263","1,958","3,264","5,047","10,986","13,981","2,231","1,561"
2020년03월_여_0~9세,"2,934",100,126,110,299,735,"1,412",111,41
2020년03월_여_10~19세,"3,668",131,129,232,448,"1,174","1,381",114,59
2020년03월_여_20~29세,"3,870",172,165,275,480,"1,076","1,414",179,109
2020년03월_여_30~39세,"4,347",190,196,197,451,"1,082","1,909",227,95
2020년03월_여_40~49세,"6,304",254,228,415,746,"1,872","2,391",231,167
2020년03월_여_50~59세,"7,700",459,390,702,962,"2,035","2,426",414,312
2020년03월_여_60~69세,"6,168",483,336,605,848,"1,487","1,614",416,379
2020년03월_여_70~79세,"3,794",284,232,424,504,901,913,292,244
2020년03월_여_80~89세,"2,028",151,128,232,247,508,439,197,126
2020년03월_여_90~99세,458,39,26,70,60,109,79,48,27
2020년03월_여_100세 이상,20,0,2,2,2,7,3,2,2
