,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년03월_계_총인구수,"295,750",414,"3,392","9,823","14,017","14,622","10,716","18,741","11,076","7,991","33,140","13,382","26,257","14,062","20,472","12,539","32,000","50,885","2,221"
2021년03월_계_연령구간인구수,"295,750",414,"3,392","9,823","14,017","14,622","10,716","18,741","11,076","7,991","33,140","13,382","26,257","14,062","20,472","12,539","32,000","50,885","2,221"
2021년03월_계_0~9세,"22,618",3,116,353,679,854,810,"1,207",912,319,"2,880","1,033","2,282",995,"1,464",973,"2,967","4,704",67
2021년03월_계_10~19세,"30,138",14,196,611,931,"1,284","1,161","1,668","1,392",517,"4,197","1,227","3,214","1,075","1,854","1,430","4,278","5,001",88
2021년03월_계_20~29세,"37,773",52,403,"1,310","1,868","1,852","1,287","2,514","1,460","1,162","4,215","1,653","3,252","1,712","2,464","1,674","3,723","6,968",204
2021년03월_계_30~39세,"40,515",58,394,"1,141","1,848","1,803","1,264","2,450","1,462","1,094","3,865","2,341","2,942","2,522","2,841","2,006","3,941","8,316",227
2021년03월_계_40~49세,"50,813",54,478,"1,382","1,967","2,340","1,824","2,894","2,042","1,170","6,168","2,318","4,941","2,414","3,452","2,323","6,138","8,683",225
2021년03월_계_50~59세,"49,406",120,615,"1,891","2,465","2,488","1,804","3,237","1,830","1,669","5,582","2,163","4,508","2,178","3,341","2,059","4,889","8,129",438
2021년03월_계_60~69세,"38,056",82,645,"1,750","2,465","2,304","1,501","2,859","1,213","1,247","3,860","1,608","3,132","1,723","2,602","1,234","3,713","5,580",538
2021년03월_계_70~79세,"17,782",21,387,969,"1,273","1,161",756,"1,323",521,527,"1,578",769,"1,337",853,"1,483",539,"1,605","2,425",255
2021년03월_계_80~89세,"7,492",5,143,369,446,474,276,514,214,245,690,245,548,511,833,267,631,926,155
2021년03월_계_90~99세,"1,105",5,13,44,61,62,31,74,29,40,101,22,98,77,134,33,111,147,23
2021년03월_계_100세 이상,52,0,2,3,14,0,2,1,1,1,4,3,3,2,4,1,4,6,1
2021년03월_남_총인구수,"145,897",226,"1,713","4,764","6,847","7,224","5,287","9,253","5,459","4,195","16,244","6,696","13,119","6,651","9,655","6,078","15,632","25,587","1,267"
2021년03월_남_연령구간인구수,"145,897",226,"1,713","4,764","6,847","7,224","5,287","9,253","5,459","4,195","16,244","6,696","13,119","6,651","9,655","6,078","15,632","25,587","1,267"
2021년03월_남_0~9세,"11,571",3,71,175,335,450,377,587,468,159,"1,463",539,"1,185",510,787,501,"1,512","2,413",36
2021년03월_남_10~19세,"15,495",8,94,320,464,656,604,839,725,281,"2,180",640,"1,648",550,945,741,"2,188","2,556",56
2021년03월_남_20~29세,"19,761",27,225,692,969,"1,022",672,"1,348",759,608,"2,177",872,"1,730",850,"1,227",845,"1,949","3,670",119
2021년03월_남_30~39세,"20,519",33,222,626,999,950,639,"1,284",727,629,"1,812","1,179","1,464","1,315","1,406","1,029","1,852","4,217",136
2021년03월_남_40~49세,"25,090",33,261,713,988,"1,185",895,"1,445",957,620,"2,909","1,167","2,414","1,197","1,692","1,094","2,962","4,419",139
