,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년04월_계_총인구수,"308,684","19,842","14,141","12,699","12,356","26,820","21,558","25,258","17,324","15,859","10,939","27,801","39,431","27,848","11,589","19,065","6,154"
2021년04월_계_연령구간인구수,"308,684","19,842","14,141","12,699","12,356","26,820","21,558","25,258","17,324","15,859","10,939","27,801","39,431","27,848","11,589","19,065","6,154"
2021년04월_계_0~9세,"19,305","1,064",862,518,724,"1,596","1,188","1,381","1,119","1,060",928,"1,899","2,963","1,662","1,282",927,132
2021년04월_계_10~19세,"24,962","1,561","1,108",757,927,"2,249","1,666","2,013","1,133","1,339",959,"2,452","3,933","2,410",828,"1,385",242
2021년04월_계_20~29세,"39,310","2,318","1,541","1,437","1,489","3,427","3,546","5,106","1,902","2,105","1,071","3,478","4,506","3,354","1,295","2,191",544
2021년04월_계_30~39세,"36,081","2,221","1,487","1,501","1,295","3,020","2,800","3,150","2,128","2,133","1,460","3,658","4,268","2,670","2,028","1,832",430
2021년04월_계_40~49세,"45,393","2,695","2,154","1,643","1,797","3,825","2,990","3,456","2,559","2,415","1,949","4,431","6,422","4,001","1,771","2,557",728
2021년04월_계_50~59세,"54,011","3,400","2,277","2,140","2,062","4,727","3,613","4,070","3,143","2,881","1,772","4,857","7,132","5,320","1,836","3,607","1,174"
2021년04월_계_60~69세,"52,041","3,498","2,600","2,585","2,289","4,722","3,417","3,607","3,102","2,499","1,605","4,424","5,944","4,973","1,620","3,826","1,330"
2021년04월_계_70~79세,"26,327","2,054","1,524","1,484","1,258","2,310","1,622","1,761","1,596","1,006",889,"1,947","2,909","2,292",683,"1,954","1,038"
2021년04월_계_80~89세,"9,884",894,520,572,455,833,637,636,568,365,282,575,"1,182","1,003",202,688,472
2021년04월_계_90~99세,"1,329",134,65,62,58,108,77,75,72,56,22,77,169,158,43,94,59
2021년04월_계_100세 이상,41,3,3,0,2,3,2,3,2,0,2,3,3,5,1,4,5
2021년04월_남_총인구수,"153,718","9,561","6,937","6,125","5,990","13,162","10,769","12,563","8,920","7,914","5,667","14,136","19,778","13,701","5,923","9,411","3,161"
