,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년03월_계_총인구수,"35,265","6,892","1,448","1,067","2,074","2,949","1,861","4,220","5,640","5,823","1,196","2,095"
2020년03월_계_연령구간인구수,"35,265","6,892","1,448","1,067","2,074","2,949","1,861","4,220","5,640","5,823","1,196","2,095"
2020년03월_계_0~9세,"1,494",443,48,39,58,93,40,152,177,353,43,48
2020년03월_계_10~19세,"2,167",513,49,52,104,164,88,298,219,520,43,117
2020년03월_계_20~29세,"2,579",647,85,41,105,183,107,333,384,538,58,98
2020년03월_계_30~39세,"2,298",662,62,46,98,197,81,240,320,455,62,75
2020년03월_계_40~49세,"3,636",837,110,92,146,284,162,491,544,685,99,186
2020년03월_계_50~59세,"6,708","1,202",241,174,332,562,420,895,"1,181","1,138",186,377
2020년03월_계_60~69세,"6,940","1,113",337,203,423,556,403,842,"1,281","1,036",296,450
2020년03월_계_70~79세,"5,314",846,255,212,447,507,351,579,899,587,229,402
2020년03월_계_80~89세,"3,598",529,230,184,315,342,183,340,566,452,148,309
2020년03월_계_90~99세,517,97,31,24,44,60,26,48,66,57,32,32
2020년03월_계_100세 이상,14,3,0,0,2,1,0,2,3,2,0,1
2020년03월_남_총인구수,"17,269","3,332",704,513,990,"1,447",920,"2,088","2,825","2,855",571,"1,024"
2020년03월_남_연령구간인구수,"17,269","3,332",704,513,990,"1,447",920,"2,088","2,825","2,855",571,"1,024"
2020년03월_남_0~9세,791,231,25,20,40,49,25,74,109,177,21,20
2020년03월_남_10~19세,"1,142",261,29,34,60,89,52,159,114,263,21,60
2020년03월_남_20~29세,"1,466",375,49,16,64,95,59,179,225,303,38,63
2020년03월_남_30~39세,"1,242",339,39,25,56,115,54,121,180,240,32,41
2020년03월_남_40~49세,"2,023",432,65,61,99,164,84,260,321,354,62,121
2020년03월_남_50~59세,"3,583",635,142,105,182,298,223,478,617,573,112,218
2020년03월_남_60~69세,"3,589",540,175,105,213,295,209,422,677,558,157,238
2020년03월_남_70~79세,"2,276",362,109,84,176,217,147,263,416,246,84,172
2020년03월_남_80~89세,"1,045",136,59,60,91,109,63,121,155,131,37,83
2020년03월_남_90~99세,111,21,12,3,9,16,4,10,11,10,7,8
2020년03월_남_100세 이상,1,0,0,0,0,0,0,1,0,0,0,0
2020년03월_여_총인구수,"17,996","3,560",744,554,"1,084","1,502",941,"2,132","2,815","2,968",625,"1,071"
2020년03월_여_연령구간인구수,"17,996","3,560",744,554,"1,084","1,502",941,"2,132","2,815","2,968",625,"1,071"
2020년03월_여_0~9세,703,212,23,19,18,44,15,78,68,176,22,28
2020년03월_여_10~19세,"1,025",252,20,18,44,75,36,139,105,257,22,57
2020년03월_여_20~29세,"1,113",272,36,25,41,88,48,154,159,235,20,35
2020년03월_여_30~39세,"1,056",323,23,21,42,82,27,119,140,215,30,34
2020년03월_여_40~49세,"1,613",405,45,31,47,120,78,231,223,331,37,65
2020년03월_여_50~59세,"3,125",567,99,69,150,264,197,417,564,565,74,159
2020년03월_여_60~69세,"3,351",573,162,98,210,261,194,420,604,478,139,212
2020년03월_여_70~79세,"3,038",484,146,128,271,290,204,316,483,341,145,230
2020년03월_여_80~89세,"2,553",393,171,124,224,233,120,219,411,321,111,226
2020년03월_여_90~99세,406,76,19,21,35,44,22,38,55,47,25,24
2020년03월_여_100세 이상,13,3,0,0,2,1,0,1,3,2,0,1
