,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년10월_계_총인구수,"1,454,228","223,384","231,852","474,046","350,284","174,662"
2021년10월_계_연령구간인구수,"1,454,228","223,384","231,852","474,046","350,284","174,662"
2021년10월_계_0~9세,"108,388","14,423","14,188","35,981","33,275","10,521"
2021년10월_계_10~19세,"142,897","19,687","21,144","48,439","37,651","15,976"
2021년10월_계_20~29세,"210,578","30,372","30,295","73,248","52,495","24,168"
2021년10월_계_30~39세,"190,062","25,493","25,262","64,815","54,852","19,640"
2021년10월_계_40~49세,"231,511","33,661","35,467","76,387","59,804","26,192"
2021년10월_계_50~59세,"240,082","36,401","39,072","76,926","54,402","33,281"
2021년10월_계_60~69세,"189,446","34,191","34,809","58,097","36,181","26,168"
2021년10월_계_70~79세,"92,247","19,136","20,599","26,423","13,777","12,312"
2021년10월_계_80~89세,"42,726","8,814","9,645","11,935","6,704","5,628"
2021년10월_계_90~99세,"6,093","1,164","1,331","1,737","1,112",749
2021년10월_계_100세 이상,198,42,40,58,31,27
2021년10월_남_총인구수,"725,742","112,624","114,258","233,068","176,936","88,856"
2021년10월_남_연령구간인구수,"725,742","112,624","114,258","233,068","176,936","88,856"
2021년10월_남_0~9세,"55,738","7,500","7,248","18,585","17,091","5,314"
2021년10월_남_10~19세,"73,895","10,199","10,934","24,922","19,511","8,329"
2021년10월_남_20~29세,"110,358","16,066","15,404","37,337","28,176","13,375"
2021년10월_남_30~39세,"99,571","13,791","13,028","33,239","28,730","10,783"
2021년10월_남_40~49세,"115,348","17,601","17,936","36,952","29,402","13,457"
2021년10월_남_50~59세,"119,969","18,833","19,818","37,319","27,133","16,866"
2021년10월_남_60~69세,"91,878","16,540","16,627","27,850","17,916","12,945"
2021년10월_남_70~79세,"42,039","8,607","9,246","12,099","6,457","5,630"
2021년10월_남_80~89세,"15,516","3,186","3,688","4,373","2,269","2,000"
2021년10월_남_90~99세,"1,393",290,320,381,247,155
2021년10월_남_100세 이상,37,11,9,11,4,2
2021년10월_여_총인구수,"728,486","110,760","117,594","240,978","173,348","85,806"
2021년10월_여_연령구간인구수,"728,486","110,760","117,594","240,978","173,348","85,806"
2021년10월_여_0~9세,"52,650","6,923","6,940","17,396","16,184","5,207"
2021년10월_여_10~19세,"69,002","9,488","10,210","23,517","18,140","7,647"
2021년10월_여_20~29세,"100,220","14,306","14,891","35,911","24,319","10,793"
2021년10월_여_30~39세,"90,491","11,702","12,234","31,576","26,122","8,857"
2021년10월_여_40~49세,"116,163","16,060","17,531","39,435","30,402","12,735"
2021년10월_여_50~59세,"120,113","17,568","19,254","39,607","27,269","16,415"
2021년10월_여_60~69세,"97,568","17,651","18,182","30,247","18,265","13,223"
2021년10월_여_70~79세,"50,208","10,529","11,353","14,324","7,320","6,682"
2021년10월_여_80~89세,"27,210","5,628","5,957","7,562","4,435","3,628"
2021년10월_여_90~99세,"4,700",874,"1,011","1,356",865,594
2021년10월_여_100세 이상,161,31,31,47,27,25
