,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년12월_계_총인구수,"25,394","10,139",836,"1,096","1,400",885,"1,950","1,792","1,870","2,860","1,073","1,493"
2020년12월_계_연령구간인구수,"25,394","10,139",836,"1,096","1,400",885,"1,950","1,792","1,870","2,860","1,073","1,493"
2020년12월_계_0~9세,"1,276",683,17,47,54,38,78,74,61,134,54,36
2020년12월_계_10~19세,"1,680",848,29,80,82,39,89,86,83,211,66,67
2020년12월_계_20~29세,"1,969",958,34,67,76,53,148,128,146,208,66,85
2020년12월_계_30~39세,"1,635",843,30,50,56,65,98,99,92,185,74,43
2020년12월_계_40~49세,"2,748","1,339",65,90,125,77,186,179,149,317,92,129
2020년12월_계_50~59세,"4,516","1,687",181,205,247,167,359,304,343,541,202,280
2020년12월_계_60~69세,"4,855","1,606",225,216,304,193,406,378,365,615,228,319
2020년12월_계_70~79세,"3,829","1,250",154,187,244,139,315,317,368,391,154,310
2020년12월_계_80~89세,"2,491",811,87,130,177,108,230,195,230,213,117,193
2020년12월_계_90~99세,367,104,12,24,32,6,39,27,30,43,19,31
2020년12월_계_100세 이상,28,10,2,0,3,0,2,5,3,2,1,0
2020년12월_남_총인구수,"12,832","5,097",417,534,664,451,"1,011",903,933,"1,485",571,766
2020년12월_남_연령구간인구수,"12,832","5,097",417,534,664,451,"1,011",903,933,"1,485",571,766
2020년12월_남_0~9세,626,329,9,19,23,16,41,38,32,69,28,22
2020년12월_남_10~19세,888,430,17,42,42,18,53,47,45,117,40,37
2020년12월_남_20~29세,"1,127",542,19,42,44,35,82,68,73,129,46,47
2020년12월_남_30~39세,791,386,19,24,21,34,63,43,45,90,42,24
2020년12월_남_40~49세,"1,601",765,39,47,66,45,121,115,96,175,53,79
2020년12월_남_50~59세,"2,551",940,99,108,139,89,205,181,201,313,105,171
2020년12월_남_60~69세,"2,573",845,116,117,159,108,208,203,186,327,131,173
2020년12월_남_70~79세,"1,762",564,71,83,115,66,148,149,166,189,73,138
2020년12월_남_80~89세,814,264,25,45,44,38,85,52,79,66,48,68
2020년12월_남_90~99세,90,28,2,7,10,2,5,5,9,10,5,7
2020년12월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년12월_여_총인구수,"12,562","5,042",419,562,736,434,939,889,937,"1,375",502,727
2020년12월_여_연령구간인구수,"12,562","5,042",419,562,736,434,939,889,937,"1,375",502,727
2020년12월_여_0~9세,650,354,8,28,31,22,37,36,29,65,26,14
2020년12월_여_10~19세,792,418,12,38,40,21,36,39,38,94,26,30
2020년12월_여_20~29세,842,416,15,25,32,18,66,60,73,79,20,38
2020년12월_여_30~39세,844,457,11,26,35,31,35,56,47,95,32,19
2020년12월_여_40~49세,"1,147",574,26,43,59,32,65,64,53,142,39,50
2020년12월_여_50~59세,"1,965",747,82,97,108,78,154,123,142,228,97,109
2020년12월_여_60~69세,"2,282",761,109,99,145,85,198,175,179,288,97,146
2020년12월_여_70~79세,"2,067",686,83,104,129,73,167,168,202,202,81,172
2020년12월_여_80~89세,"1,677",547,62,85,133,70,145,143,151,147,69,125
2020년12월_여_90~99세,277,76,10,17,22,4,34,22,21,33,14,24
2020년12월_여_100세 이상,19,6,1,0,2,0,2,3,2,2,1,0
