,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년11월_계_총인구수,"1,850,557","224,973","280,549","282,618","115,153","150,680","45,936","28,036","25,577","64,013","40,494","62,506","37,819","34,670","68,966","53,752","85,245","32,112","53,183","44,543","49,975","30,748","39,009"
2020년11월_계_연령구간인구수,"1,850,557","224,973","280,549","282,618","115,153","150,680","45,936","28,036","25,577","64,013","40,494","62,506","37,819","34,670","68,966","53,752","85,245","32,112","53,183","44,543","49,975","30,748","39,009"
2020년11월_계_0~9세,"132,563","18,501","21,014","23,588","10,101","13,401","2,337","1,091","1,159","2,628","1,760","3,503","2,016","1,785","4,058","3,588","7,662","1,388","3,770","2,799","3,165","1,686","1,563"
2020년11월_계_10~19세,"167,726","24,631","26,502","30,388","9,379","16,005","2,985","1,945","1,843","3,900","2,614","5,692","2,833","2,523","5,300","4,477","9,192","2,067","4,199","3,309","3,656","2,246","2,040"
2020년11월_계_20~29세,"200,124","27,206","33,815","37,650","12,282","19,904","4,753","2,375","1,953","4,160","2,979","6,801","3,089","2,883","5,547","5,083","8,732","2,527","5,022","4,253","3,772","2,543","2,795"
2020년11월_계_30~39세,"186,419","26,078","31,107","33,244","14,534","18,458","3,622","1,736","1,675","3,712","2,538","4,744","2,811","2,476","5,136","4,807","10,033","2,133","4,888","3,684","4,034","2,268","2,701"
2020년11월_계_40~49세,"260,199","37,641","42,078","43,659","16,388","23,734","5,162","3,029","2,895","6,337","4,188","8,329","4,155","3,792","8,100","7,457","13,351","3,500","6,577","5,576","6,250","3,650","4,351"
2020년11월_계_50~59세,"313,537","36,381","48,571","49,215","17,221","28,882","8,072","4,877","4,602","10,258","6,670","11,251","6,309","5,673","11,605","9,391","12,784","5,510","8,573","7,504","8,092","5,051","7,045"
2020년11월_계_60~69세,"271,028","28,849","40,669","34,139","16,058","16,755","8,200","4,994","4,662","12,719","7,610","9,380","6,600","6,178","12,323","8,011","10,764","5,904","8,456","7,235","8,601","5,280","7,641"
2020년11월_계_70~79세,"192,910","17,608","24,458","19,018","11,554","8,137","6,338","4,289","3,904","11,520","6,655","7,500","5,469","5,245","10,069","6,358","7,906","5,165","7,153","5,948","7,431","4,757","6,428"
2020년11월_계_80~89세,"109,199","7,043","10,629","10,066","6,575","4,649","3,835","3,175","2,485","7,493","4,728","4,635","3,894","3,572","5,958","4,017","4,172","3,401","3,964","3,692","4,389","2,885","3,942"
2020년11월_계_90~99세,"15,979",954,"1,599","1,586",997,731,597,511,377,"1,235",711,635,617,514,824,528,613,491,548,503,559,364,485
2020년11월_계_100세 이상,873,81,107,65,64,24,35,14,22,51,41,36,26,29,46,35,36,26,33,40,26,18,18
2020년11월_남_총인구수,"929,986","111,999","143,116","141,001","57,963","78,550","23,343","13,692","12,445","31,100","19,727","30,896","18,367","16,756","34,040","27,650","42,829","16,079","26,517","22,816","25,137","15,165","20,798"
2020년11월_남_연령구간인구수,"929,986","111,999","143,116","141,001","57,963","78,550","23,343","13,692","12,445","31,100","19,727","30,896","18,367","16,756","34,040","27,650","42,829","16,079","26,517","22,816","25,137","15,165","20,798"
2020년11월_남_0~9세,"67,558","9,505","10,693","12,095","5,151","6,800","1,176",557,574,"1,310",931,"1,778","1,032",886,"2,043","1,796","3,946",721,"1,927","1,405","1,639",794,799
2020년11월_남_10~19세,"87,029","12,620","13,769","15,883","4,850","8,277","1,561","1,018",978,"2,086","1,337","2,943","1,486","1,298","2,745","2,390","4,677","1,088","2,174","1,746","1,882","1,169","1,052"
2020년11월_남_20~29세,"111,655","14,699","19,174","20,410","6,505","11,584","2,820","1,288","1,049","2,447","1,684","3,691","1,728","1,619","3,111","2,936","4,704","1,501","2,816","2,535","2,206","1,463","1,685"
2020년11월_남_30~39세,"98,106","13,419","16,731","17,068","7,576","9,887","1,891",926,894,"2,013","1,359","2,411","1,485","1,275","2,685","2,604","5,110","1,139","2,518","1,949","2,208","1,241","1,717"
2020년11월_남_40~49세,"139,243","19,373","22,221","21,506","9,137","12,137","3,011","1,697","1,580","3,678","2,396","4,333","2,298","2,111","4,570","4,439","7,085","2,080","3,720","3,194","3,655","2,108","2,914"
2020년11월_남_50~59세,"167,976","18,227","25,404","24,817","9,395","15,841","4,463","2,689","2,549","5,696","3,726","6,154","3,417","3,059","6,397","5,357","7,023","3,200","4,720","4,282","4,480","2,795","4,285"
2020년11월_남_60~69세,"136,489","13,752","20,168","17,148","8,156","8,816","4,229","2,609","2,300","6,315","3,826","4,898","3,302","3,075","6,138","4,103","5,393","3,071","4,257","3,786","4,287","2,663","4,197"
2020년11월_남_70~79세,"84,314","7,814","11,100","8,487","5,003","3,609","2,815","1,814","1,633","4,959","2,827","3,116","2,305","2,247","4,360","2,670","3,528","2,149","3,067","2,613","3,287","2,018","2,893"
2020년11월_남_80~89세,"34,328","2,378","3,554","3,266","1,968","1,466","1,243",989,804,"2,323","1,488","1,427","1,188","1,083","1,836","1,245","1,261","1,017","1,209","1,180","1,391",848,"1,164"
2020년11월_남_90~99세,"3,167",196,285,313,212,128,130,102,82,265,147,143,122,99,154,102,97,111,106,121,99,66,87
2020년11월_남_100세 이상,121,16,17,8,10,5,4,3,2,8,6,2,4,4,1,8,5,2,3,5,3,0,5
2020년11월_여_총인구수,"920,571","112,974","137,433","141,617","57,190","72,130","22,593","14,344","13,132","32,913","20,767","31,610","19,452","17,914","34,926","26,102","42,416","16,033","26,666","21,727","24,838","15,583","18,211"
2020년11월_여_연령구간인구수,"920,571","112,974","137,433","141,617","57,190","72,130","22,593","14,344","13,132","32,913","20,767","31,610","19,452","17,914","34,926","26,102","42,416","16,033","26,666","21,727","24,838","15,583","18,211"
2020년11월_여_0~9세,"65,005","8,996","10,321","11,493","4,950","6,601","1,161",534,585,"1,318",829,"1,725",984,899,"2,015","1,792","3,716",667,"1,843","1,394","1,526",892,764
2020년11월_여_10~19세,"80,697","12,011","12,733","14,505","4,529","7,728","1,424",927,865,"1,814","1,277","2,749","1,347","1,225","2,555","2,087","4,515",979,"2,025","1,563","1,774","1,077",988
2020년11월_여_20~29세,"88,469","12,507","14,641","17,240","5,777","8,320","1,933","1,087",904,"1,713","1,295","3,110","1,361","1,264","2,436","2,147","4,028","1,026","2,206","1,718","1,566","1,080","1,110"
2020년11월_여_30~39세,"88,313","12,659","14,376","16,176","6,958","8,571","1,731",810,781,"1,699","1,179","2,333","1,326","1,201","2,451","2,203","4,923",994,"2,370","1,735","1,826","1,027",984
2020년11월_여_40~49세,"120,956","18,268","19,857","22,153","7,251","11,597","2,151","1,332","1,315","2,659","1,792","3,996","1,857","1,681","3,530","3,018","6,266","1,420","2,857","2,382","2,595","1,542","1,437"
2020년11월_여_50~59세,"145,561","18,154","23,167","24,398","7,826","13,041","3,609","2,188","2,053","4,562","2,944","5,097","2,892","2,614","5,208","4,034","5,761","2,310","3,853","3,222","3,612","2,256","2,760"
2020년11월_여_60~69세,"134,539","15,097","20,501","16,991","7,902","7,939","3,971","2,385","2,362","6,404","3,784","4,482","3,298","3,103","6,185","3,908","5,371","2,833","4,199","3,449","4,314","2,617","3,444"
2020년11월_여_70~79세,"108,596","9,794","13,358","10,531","6,551","4,528","3,523","2,475","2,271","6,561","3,828","4,384","3,164","2,998","5,709","3,688","4,378","3,016","4,086","3,335","4,144","2,739","3,535"
2020년11월_여_80~89세,"74,871","4,665","7,075","6,800","4,607","3,183","2,592","2,186","1,681","5,170","3,240","3,208","2,706","2,489","4,122","2,772","2,911","2,384","2,755","2,512","2,998","2,037","2,778"
2020년11월_여_90~99세,"12,812",758,"1,314","1,273",785,603,467,409,295,970,564,492,495,415,670,426,516,380,442,382,460,298,398
2020년11월_여_100세 이상,752,65,90,57,54,19,31,11,20,43,35,34,22,25,45,27,31,24,30,35,23,18,13
