,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2021년10월_계_총인구수,"356,625","17,766","8,469","3,647","28,962","2,254","2,171","9,115","7,320","3,578","2,600","4,828","12,780","8,464","15,497","44,875","8,549","4,692","28,966","13,650","10,113","24,680","7,989","7,787","33,029","44,844"
2021년10월_계_연령구간인구수,"356,625","17,766","8,469","3,647","28,962","2,254","2,171","9,115","7,320","3,578","2,600","4,828","12,780","8,464","15,497","44,875","8,549","4,692","28,966","13,650","10,113","24,680","7,989","7,787","33,029","44,844"
2021년10월_계_0~9세,"27,521","1,069",329,102,"4,787",40,39,451,390,59,48,186,622,387,716,"3,334",381,149,"2,072","1,002",730,"1,665",254,485,"3,016","5,208"
2021년10월_계_10~19세,"35,344","1,563",501,117,"2,600",89,67,667,630,106,99,326,"1,291",736,"1,603","5,203",595,266,"2,380","1,200","1,106","2,532",636,869,"4,370","5,792"
2021년10월_계_20~29세,"44,957","2,002",929,308,"2,731",130,146,"1,429",999,180,171,688,"1,576","1,088","2,111","6,648","1,623",523,"4,316","1,978","1,067","2,932",866,913,"4,211","5,392"
2021년10월_계_30~39세,"45,249","1,783",680,226,"6,891",87,111,885,862,183,187,500,"1,196",764,"1,385","5,536",916,392,"4,305","1,593","1,035","2,709",633,745,"4,278","7,367"
2021년10월_계_40~49세,"56,654","2,844",891,330,"5,106",159,152,"1,199","1,114",263,250,572,"1,692","1,098","2,257","7,943",997,587,"4,003","2,143","1,712","4,004",967,"1,188","6,316","8,867"
2021년10월_계_50~59세,"61,109","3,356","1,659",680,"3,194",340,427,"1,606","1,441",730,533,885,"2,441","1,648","3,083","7,924","1,362",920,"5,361","2,303","1,765","4,550","1,537","1,478","5,249","6,637"
2021년10월_계_60~69세,"49,537","2,778","1,955",971,"2,365",690,617,"1,666","1,101","1,071",652,912,"2,087","1,519","2,504","4,907","1,414",974,"4,203","2,003","1,500","3,689","1,615","1,241","3,565","3,538"
2021년10월_계_70~79세,"21,423","1,418",854,458,768,392,357,670,442,557,341,424,"1,105",741,"1,070","2,073",755,514,"1,424",900,749,"1,545",829,485,"1,297","1,255"
2021년10월_계_80~89세,"12,811",828,565,400,437,281,213,484,290,376,270,295,675,422,671,"1,149",433,312,779,455,404,935,553,322,607,655
2021년10월_계_90~99세,"1,959",121,105,54,79,45,42,56,49,50,49,38,92,60,97,155,71,53,120,72,42,117,95,54,117,126
2021년10월_계_100세 이상,61,4,1,1,4,1,0,2,2,3,0,2,3,1,0,3,2,2,3,1,3,2,4,7,3,7
2021년10월_남_총인구수,"176,866","9,089","4,472","1,920","14,239","1,150","1,115","4,805","3,862","1,831","1,393","2,303","6,144","4,080","7,490","22,019","4,107","2,335","14,105","7,223","5,068","12,311","3,965","3,862","16,165","21,813"
