,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년03월_계_총인구수,"162,443","14,433","29,529","37,413","21,002","23,095","36,971"
2021년03월_계_연령구간인구수,"162,443","14,433","29,529","37,413","21,002","23,095","36,971"
2021년03월_계_0~9세,"12,888",875,"2,174","2,718","1,518","2,327","3,276"
2021년03월_계_10~19세,"14,393",959,"2,419","3,820","2,030","2,066","3,099"
2021년03월_계_20~29세,"23,187","2,477","4,191","4,944","3,247","3,195","5,133"
2021년03월_계_30~39세,"22,644","2,620","4,140","4,642","2,392","3,521","5,329"
2021년03월_계_40~49세,"24,241","1,738","4,390","5,872","3,127","3,522","5,592"
2021년03월_계_50~59세,"29,177","2,032","5,155","6,805","4,188","4,107","6,890"
2021년03월_계_60~69세,"21,808","2,187","3,869","5,406","2,752","2,747","4,847"
2021년03월_계_70~79세,"9,109","1,019","2,022","2,182","1,068",997,"1,821"
2021년03월_계_80~89세,"4,243",441,"1,028",874,563,518,819
2021년03월_계_90~99세,729,83,137,148,110,93,158
2021년03월_계_100세 이상,24,2,4,2,7,2,7
2021년03월_남_총인구수,"80,839","7,330","15,034","18,588","10,301","11,362","18,224"
2021년03월_남_연령구간인구수,"80,839","7,330","15,034","18,588","10,301","11,362","18,224"
2021년03월_남_0~9세,"6,692",471,"1,138","1,358",790,"1,200","1,735"
2021년03월_남_10~19세,"7,398",508,"1,241","1,975","1,079","1,072","1,523"
2021년03월_남_20~29세,"12,216","1,278","2,287","2,610","1,674","1,661","2,706"
2021년03월_남_30~39세,"11,675","1,455","2,257","2,375","1,186","1,698","2,704"
2021년03월_남_40~49세,"11,998",904,"2,304","2,858","1,467","1,739","2,726"
2021년03월_남_50~59세,"14,050",958,"2,570","3,276","2,009","1,971","3,266"
2021년03월_남_60~69세,"10,883","1,078","1,933","2,712","1,391","1,383","2,386"
2021년03월_남_70~79세,"4,287",503,897,"1,069",492,443,883
2021년03월_남_80~89세,"1,473",158,372,324,190,173,256
2021년03월_남_90~99세,164,16,35,30,23,22,38
2021년03월_남_100세 이상,3,1,0,1,0,0,1
2021년03월_여_총인구수,"81,604","7,103","14,495","18,825","10,701","11,733","18,747"
2021년03월_여_연령구간인구수,"81,604","7,103","14,495","18,825","10,701","11,733","18,747"
2021년03월_여_0~9세,"6,196",404,"1,036","1,360",728,"1,127","1,541"
2021년03월_여_10~19세,"6,995",451,"1,178","1,845",951,994,"1,576"
2021년03월_여_20~29세,"10,971","1,199","1,904","2,334","1,573","1,534","2,427"
2021년03월_여_30~39세,"10,969","1,165","1,883","2,267","1,206","1,823","2,625"
2021년03월_여_40~49세,"12,243",834,"2,086","3,014","1,660","1,783","2,866"
2021년03월_여_50~59세,"15,127","1,074","2,585","3,529","2,179","2,136","3,624"
2021년03월_여_60~69세,"10,925","1,109","1,936","2,694","1,361","1,364","2,461"
2021년03월_여_70~79세,"4,822",516,"1,125","1,113",576,554,938
2021년03월_여_80~89세,"2,770",283,656,550,373,345,563
2021년03월_여_90~99세,565,67,102,118,87,71,120
2021년03월_여_100세 이상,21,1,4,1,7,2,6
