,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년03월_계_총인구수,"1,075,421","258,130","33,330","26,592","20,316","23,705","8,208","8,410","18,921","24,769","44,677","36,152","13,050","440,164","38,625","30,590","17,580","41,945","13,295","33,640","21,572","26,262","39,284","32,261","32,966","27,294","23,456","24,921","36,473","377,127","36,647","41,467","38,045","56,661","18,432","49,575","48,529","33,811","53,960"
2021년03월_계_연령구간인구수,"1,075,421","258,130","33,330","26,592","20,316","23,705","8,208","8,410","18,921","24,769","44,677","36,152","13,050","440,164","38,625","30,590","17,580","41,945","13,295","33,640","21,572","26,262","39,284","32,261","32,966","27,294","23,456","24,921","36,473","377,127","36,647","41,467","38,045","56,661","18,432","49,575","48,529","33,811","53,960"
2021년03월_계_0~9세,"99,274","20,967","2,305","1,947","1,551","3,204",342,238,"1,265","1,539","4,801","3,108",667,"41,852","3,332","3,420","1,861","4,283",926,"2,971","1,819","3,137","3,276","2,630","3,380","2,619","2,944","1,934","3,320","36,455","2,717","4,629","3,472","4,907","1,474","5,688","4,749","3,311","5,508"
2021년03월_계_10~19세,"120,661","24,645","3,624","2,396","1,784","1,950",511,498,"1,748","2,238","4,439","4,333","1,124","50,505","3,577","3,535","1,245","3,340","1,255","4,345","2,177","2,509","4,785","3,069","5,689","4,665","2,960","2,798","4,556","45,511","3,637","5,711","5,281","7,035","1,584","5,386","6,137","4,204","6,536"
2021년03월_계_20~29세,"138,150","34,491","4,756","3,426","2,136","1,885",733,849,"2,345","4,416","7,179","4,927","1,839","57,075","5,102","3,843","2,463","6,697","1,977","4,041","2,553","5,277","4,339","4,083","3,596","3,235","2,224","3,436","4,209","46,584","5,408","4,959","4,072","7,885","2,788","5,546","6,298","3,873","5,755"
2021년03월_계_30~39세,"143,848","33,928","3,937","3,087","2,370","4,190",724,741,"2,417","3,180","7,353","4,509","1,420","58,493","6,150","4,601","3,221","7,732","1,858","3,862","2,763","4,545","4,131","4,041","3,332","2,340","3,073","2,791","4,053","51,427","6,228","6,165","4,038","6,874","3,227","7,821","6,739","4,181","6,154"
2021년03월_계_40~49세,"199,206","43,478","5,955","4,496","3,315","4,206","1,068",992,"3,100","3,870","7,741","6,783","1,952","83,226","6,567","5,964","2,749","7,053","2,368","6,464","3,827","4,482","7,683","5,372","7,842","6,233","4,899","4,381","7,342","72,502","6,029","8,927","7,901","10,741","3,032","9,605","9,317","6,494","10,456"
2021년03월_계_50~59세,"166,732","43,434","5,974","4,716","3,703","3,071","1,603","1,564","3,396","4,190","6,434","6,205","2,578","67,400","6,217","4,866","2,777","6,550","2,260","5,280","3,540","3,209","5,916","5,112","4,756","4,348","2,704","4,485","5,380","55,898","5,437","5,808","5,769","8,808","2,891","7,090","7,079","5,107","7,909"
2021년03월_계_60~69세,"108,765","32,352","3,806","3,712","3,045","2,968","1,712","1,853","2,723","3,076","3,926","3,489","2,042","42,010","4,052","2,647","1,734","3,643","1,309","3,405","2,737","1,889","4,350","3,762","2,156","2,015","2,053","2,760","3,498","34,403","3,727","2,485","3,492","5,295","1,818","4,761","4,148","3,076","5,601"
2021년03월_계_70~79세,"65,843","16,084","1,927","1,851","1,519","1,509",949,940,"1,192","1,456","1,894","1,867",980,"26,396","2,399","1,170",759,"1,868",883,"2,213","1,459",834,"3,195","2,808","1,502","1,205","1,720","1,574","2,807","23,363","2,327","1,743","2,786","3,334","1,044","2,587","2,785","2,445","4,312"
