,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년07월_계_총인구수,"62,348","19,401","9,687","13,984","5,690","9,642","3,944"
2021년07월_계_연령구간인구수,"62,348","19,401","9,687","13,984","5,690","9,642","3,944"
2021년07월_계_0~9세,"3,254","1,112",527,612,159,693,151
2021년07월_계_10~19세,"4,588","1,659",778,974,319,663,195
2021년07월_계_20~29세,"6,191","2,195",900,"1,278",542,"1,020",256
2021년07월_계_30~39세,"5,596","1,842",832,"1,141",379,"1,134",268
2021년07월_계_40~49세,"7,818","2,619","1,122","1,896",557,"1,215",409
2021년07월_계_50~59세,"11,085","3,346","1,712","2,644","1,099","1,592",692
2021년07월_계_60~69세,"12,705","3,453","2,104","2,842","1,445","1,844","1,017"
2021년07월_계_70~79세,"6,790","1,897","1,006","1,624",752,946,565
2021년07월_계_80~89세,"3,766","1,116",590,856,380,485,339
2021년07월_계_90~99세,518,146,112,112,56,45,47
2021년07월_계_100세 이상,37,16,4,5,2,5,5
2021년07월_남_총인구수,"32,114","9,867","4,969","7,160","2,979","5,124","2,015"
2021년07월_남_연령구간인구수,"32,114","9,867","4,969","7,160","2,979","5,124","2,015"
2021년07월_남_0~9세,"1,638",573,259,311,79,353,63
2021년07월_남_10~19세,"2,398",892,376,509,169,347,105
2021년07월_남_20~29세,"3,569","1,203",495,732,367,629,143
2021년07월_남_30~39세,"3,036",964,463,611,209,633,156
2021년07월_남_40~49세,"4,201","1,403",573,"1,017",316,659,233
2021년07월_남_50~59세,"5,885","1,773",919,"1,427",554,834,378
2021년07월_남_60~69세,"6,565","1,739","1,104","1,437",755,"1,009",521
2021년07월_남_70~79세,"3,225",862,509,753,378,447,276
2021년07월_남_80~89세,"1,446",413,237,330,140,200,126
2021년07월_남_90~99세,137,41,31,31,11,11,12
2021년07월_남_100세 이상,14,4,3,2,1,2,2
2021년07월_여_총인구수,"30,234","9,534","4,718","6,824","2,711","4,518","1,929"
2021년07월_여_연령구간인구수,"30,234","9,534","4,718","6,824","2,711","4,518","1,929"
2021년07월_여_0~9세,"1,616",539,268,301,80,340,88
2021년07월_여_10~19세,"2,190",767,402,465,150,316,90
2021년07월_여_20~29세,"2,622",992,405,546,175,391,113
2021년07월_여_30~39세,"2,560",878,369,530,170,501,112
2021년07월_여_40~49세,"3,617","1,216",549,879,241,556,176
2021년07월_여_50~59세,"5,200","1,573",793,"1,217",545,758,314
2021년07월_여_60~69세,"6,140","1,714","1,000","1,405",690,835,496
2021년07월_여_70~79세,"3,565","1,035",497,871,374,499,289
2021년07월_여_80~89세,"2,320",703,353,526,240,285,213
2021년07월_여_90~99세,381,105,81,81,45,34,35
2021년07월_여_100세 이상,23,12,1,3,1,3,3
