카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년02월_계_총인구수,"2,954,955","136,879","64,216","407,369","369,588","532,257","508,587","301,984","544,465","69,154","20,456"
2020년02월_계_연령구간인구수,"2,954,955","136,879","64,216","407,369","369,588","532,257","508,587","301,984","544,465","69,154","20,456"
2020년02월_계_0~9세,"239,941","12,223","4,239","28,780","36,744","44,984","35,846","20,125","52,681","3,329",990
2020년02월_계_10~19세,"281,097","12,449","5,325","32,874","41,689","51,423","45,704","28,186","57,498","4,785","1,164"
2020년02월_계_20~29세,"405,835","19,008","6,850","56,970","50,721","72,204","72,849","45,609","73,368","5,547","2,709"
2020년02월_계_30~39세,"417,708","20,963","7,508","57,370","54,846","76,441","71,474","39,377","82,263","5,476","1,990"
2020년02월_계_40~49세,"490,716","24,212","10,379","64,586","65,822","90,457","80,548","47,765","96,514","7,952","2,481"
2020년02월_계_50~59세,"515,758","19,746","10,393","68,310","62,289","91,075","92,888","61,973","93,122","12,254","3,708"
2020년02월_계_60~69세,"344,843","15,096","9,795","53,472","34,474","62,013","62,797","35,786","54,104","13,535","3,771"
2020년02월_계_70~79세,"172,269","9,004","6,525","30,621","14,804","29,757","30,790","15,095","23,389","9,999","2,285"
2020년02월_계_80~89세,"74,306","3,510","2,724","12,350","6,961","11,855","13,479","6,985","9,872","5,455","1,115"
2020년02월_계_90~99세,"11,574",593,403,"1,859","1,187","1,928","2,014","1,022","1,552",783,233
2020년02월_계_100세 이상,908,75,75,177,51,120,198,61,102,39,10
2020년02월_남_총인구수,"1,481,133","70,837","32,421","205,288","183,851","264,677","251,949","150,884","274,946","34,663","11,617"
2020년02월_남_연령구간인구수,"1,481,133","70,837","32,421","205,288","183,851","264,677","251,949","150,884","274,946","34,663","11,617"
2020년02월_남_0~9세,"123,156","6,311","2,236","14,709","18,802","23,153","18,306","10,240","27,178","1,721",500
2020년02월_남_10~19세,"144,682","6,445","2,743","17,006","21,415","26,272","23,671","14,587","29,439","2,469",635
2020년02월_남_20~29세,"211,891","9,633","3,711","30,189","26,308","37,349","37,542","23,799","38,188","3,205","1,967"
2020년02월_남_30~39세,"215,666","11,285","3,963","30,731","27,083","39,193","36,926","20,386","41,957","2,896","1,246"
2020년02월_남_40~49세,"250,529","13,296","5,616","34,079","32,296","46,025","40,450","23,736","49,124","4,323","1,584"
2020년02월_남_50~59세,"258,011","10,816","5,459","34,181","30,946","44,847","45,629","30,431","47,310","6,260","2,132"
2020년02월_남_60~69세,"171,118","7,457","4,747","25,652","17,791","30,031","30,657","18,505","27,543","6,738","1,997"
2020년02월_남_70~79세,"78,036","4,165","2,882","13,840","6,709","13,414","13,796","6,728","10,681","4,707","1,114"
2020년02월_남_80~89세,"25,252","1,253",940,"4,434","2,213","3,971","4,496","2,225","3,187","2,143",390
2020년02월_남_90~99세,"2,548",149,100,420,273,393,432,233,310,190,48
2020년02월_남_100세 이상,244,27,24,47,15,29,44,14,29,11,4
2020년02월_여_총인구수,"1,473,822","66,042","31,795","202,081","185,737","267,580","256,638","151,100","269,519","34,491","8,839"
2020년02월_여_연령구간인구수,"1,473,822","66,042","31,795","202,081","185,737","267,580","256,638","151,100","269,519","34,491","8,839"
2020년02월_여_0~9세,"116,785","5,912","2,003","14,071","17,942","21,831","17,540","9,885","25,503","1,608",490
2020년02월_여_10~19세,"136,415","6,004","2,582","15,868","20,274","25,151","22,033","13,599","28,059","2,316",529
2020년02월_여_20~29세,"193,944","9,375","3,139","26,781","24,413","34,855","35,307","21,810","35,180","2,342",742
2020년02월_여_30~39세,"202,042","9,678","3,545","26,639","27,763","37,248","34,548","18,991","40,306","2,580",744
2020년02월_여_40~49세,"240,187","10,916","4,763","30,507","33,526","44,432","40,098","24,029","47,390","3,629",897
2020년02월_여_50~59세,"257,747","8,930","4,934","34,129","31,343","46,228","47,259","31,542","45,812","5,994","1,576"
2020년02월_여_60~69세,"173,725","7,639","5,048","27,820","16,683","31,982","32,140","17,281","26,561","6,797","1,774"
2020년02월_여_70~79세,"94,233","4,839","3,643","16,781","8,095","16,343","16,994","8,367","12,708","5,292","1,171"
2020년02월_여_80~89세,"49,054","2,257","1,784","7,916","4,748","7,884","8,983","4,760","6,685","3,312",725
2020년02월_여_90~99세,"9,026",444,303,"1,439",914,"1,535","1,582",789,"1,242",593,185
2020년02월_여_100세 이상,664,48,51,130,36,91,154,47,73,28,6
