,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년10월_계_총인구수,"50,918","20,863","1,893","2,765","2,150","3,308","2,395","4,378","2,240","2,473","2,170","2,608","2,536","1,139"
2021년10월_계_연령구간인구수,"50,918","20,863","1,893","2,765","2,150","3,308","2,395","4,378","2,240","2,473","2,170","2,608","2,536","1,139"
2021년10월_계_0~9세,"2,390","1,601",37,51,56,91,47,183,69,40,55,65,66,29
2021년10월_계_10~19세,"3,549","2,308",55,104,111,141,76,268,94,91,79,100,94,28
2021년10월_계_20~29세,"4,012","2,141",114,172,128,188,112,332,143,141,154,159,166,62
2021년10월_계_30~39세,"3,652","1,954",106,152,168,198,102,339,121,112,107,127,112,54
2021년10월_계_40~49세,"5,794","3,031",130,219,201,355,176,500,208,202,169,243,242,118
2021년10월_계_50~59세,"8,555","3,447",302,462,386,478,415,818,386,384,396,435,444,202
2021년10월_계_60~69세,"9,902","3,126",454,590,466,740,572,924,574,544,468,564,591,289
2021년10월_계_70~79세,"7,668","2,020",369,552,347,717,481,634,415,513,406,514,490,210
2021년10월_계_80~89세,"4,706","1,115",276,393,240,354,367,327,198,390,296,347,280,123
2021년10월_계_90~99세,668,114,49,70,45,44,45,52,29,54,39,52,51,24
2021년10월_계_100세 이상,22,6,1,0,2,2,2,1,3,2,1,2,0,0
2021년10월_남_총인구수,"25,300","10,184",923,"1,392","1,118","1,668","1,193","2,242","1,156","1,219","1,071","1,277","1,252",605
2021년10월_남_연령구간인구수,"25,300","10,184",923,"1,392","1,118","1,668","1,193","2,242","1,156","1,219","1,071","1,277","1,252",605
2021년10월_남_0~9세,"1,259",828,20,29,19,43,23,103,42,24,32,36,45,15
2021년10월_남_10~19세,"1,852","1,192",36,51,62,69,47,133,56,50,41,53,50,12
2021년10월_남_20~29세,"2,290","1,192",70,105,72,102,61,187,102,77,79,94,111,38
2021년10월_남_30~39세,"1,957",944,62,92,105,129,56,198,64,76,66,69,60,36
2021년10월_남_40~49세,"3,240","1,498",84,153,128,231,123,305,122,133,103,138,143,79
2021년10월_남_50~59세,"4,751","1,742",178,280,236,286,234,456,224,235,232,267,252,129
2021년10월_남_60~69세,"4,947","1,518",216,311,259,354,300,458,278,274,256,285,281,157
2021년10월_남_70~79세,"3,363",880,160,232,149,321,217,291,201,217,174,212,212,97
2021년10월_남_80~89세,"1,505",369,85,122,78,124,120,104,62,119,82,109,91,40
2021년10월_남_90~99세,134,21,12,17,9,9,11,7,5,14,6,14,7,2
2021년10월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년10월_여_총인구수,"25,618","10,679",970,"1,373","1,032","1,640","1,202","2,136","1,084","1,254","1,099","1,331","1,284",534
2021년10월_여_연령구간인구수,"25,618","10,679",970,"1,373","1,032","1,640","1,202","2,136","1,084","1,254","1,099","1,331","1,284",534
2021년10월_여_0~9세,"1,131",773,17,22,37,48,24,80,27,16,23,29,21,14
2021년10월_여_10~19세,"1,697","1,116",19,53,49,72,29,135,38,41,38,47,44,16
2021년10월_여_20~29세,"1,722",949,44,67,56,86,51,145,41,64,75,65,55,24
2021년10월_여_30~39세,"1,695","1,010",44,60,63,69,46,141,57,36,41,58,52,18
2021년10월_여_40~49세,"2,554","1,533",46,66,73,124,53,195,86,69,66,105,99,39
2021년10월_여_50~59세,"3,804","1,705",124,182,150,192,181,362,162,149,164,168,192,73
2021년10월_여_60~69세,"4,955","1,608",238,279,207,386,272,466,296,270,212,279,310,132
2021년10월_여_70~79세,"4,305","1,140",209,320,198,396,264,343,214,296,232,302,278,113
2021년10월_여_80~89세,"3,201",746,191,271,162,230,247,223,136,271,214,238,189,83
2021년10월_여_90~99세,534,93,37,53,36,35,34,45,24,40,33,38,44,22
2021년10월_여_100세 이상,20,6,1,0,1,2,1,1,3,2,1,2,0,0
