,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년07월_계_총인구수,"90,481","30,790","4,127","19,467","5,237","5,208","3,622","3,183","12,143","3,729","2,975"
2020년07월_계_연령구간인구수,"90,481","30,790","4,127","19,467","5,237","5,208","3,622","3,183","12,143","3,729","2,975"
2020년07월_계_0~9세,"6,758","2,911",181,"1,552",197,319,115,96,"1,090",185,112
2020년07월_계_10~19세,"8,864","3,307",264,"2,624",365,447,168,164,"1,129",199,197
2020년07월_계_20~29세,"9,326","3,366",575,"2,176",476,483,286,196,"1,260",281,227
2020년07월_계_30~39세,"9,427","3,797",315,"2,017",394,467,250,200,"1,445",324,218
2020년07월_계_40~49세,"14,712","5,227",551,"3,752",733,761,439,412,"2,020",470,347
2020년07월_계_50~59세,"15,617","5,085",726,"3,496",942,960,612,502,"2,072",652,570
2020년07월_계_60~69세,"13,505","4,278",727,"2,113","1,095",847,794,693,"1,647",705,606
2020년07월_계_70~79세,"8,065","1,896",492,"1,191",700,655,628,590,920,558,435
2020년07월_계_80~89세,"3,670",807,251,478,287,244,284,291,495,308,225
2020년07월_계_90~99세,507,115,44,68,44,19,42,34,63,42,36
2020년07월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년07월_남_총인구수,"45,847","15,294","2,247","10,064","2,564","2,638","1,829","1,569","6,229","1,868","1,545"
2020년07월_남_연령구간인구수,"45,847","15,294","2,247","10,064","2,564","2,638","1,829","1,569","6,229","1,868","1,545"
2020년07월_남_0~9세,"3,488","1,506",84,810,110,157,55,55,567,86,58
2020년07월_남_10~19세,"4,634","1,656",153,"1,425",188,237,88,90,583,108,106
2020년07월_남_20~29세,"5,466","1,934",398,"1,295",262,279,181,102,707,167,141
2020년07월_남_30~39세,"4,967","1,956",187,"1,041",210,257,152,114,752,173,125
2020년07월_남_40~49세,"7,676","2,567",314,"1,851",404,431,273,251,"1,104",270,211
2020년07월_남_50~59세,"8,064","2,428",411,"1,876",454,512,322,278,"1,094",350,339
2020년07월_남_60~69세,"6,499","2,076",357,"1,019",519,381,352,316,824,346,309
2020년07월_남_70~79세,"3,633",868,230,556,311,290,297,229,426,248,178
2020년07월_남_80~89세,"1,306",279,103,178,96,88,95,121,165,109,72
2020년07월_남_90~99세,105,24,9,13,8,5,13,13,7,8,5
2020년07월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년07월_여_총인구수,"44,634","15,496","1,880","9,403","2,673","2,570","1,793","1,614","5,914","1,861","1,430"
2020년07월_여_연령구간인구수,"44,634","15,496","1,880","9,403","2,673","2,570","1,793","1,614","5,914","1,861","1,430"
2020년07월_여_0~9세,"3,270","1,405",97,742,87,162,60,41,523,99,54
2020년07월_여_10~19세,"4,230","1,651",111,"1,199",177,210,80,74,546,91,91
2020년07월_여_20~29세,"3,860","1,432",177,881,214,204,105,94,553,114,86
2020년07월_여_30~39세,"4,460","1,841",128,976,184,210,98,86,693,151,93
2020년07월_여_40~49세,"7,036","2,660",237,"1,901",329,330,166,161,916,200,136
2020년07월_여_50~59세,"7,553","2,657",315,"1,620",488,448,290,224,978,302,231
2020년07월_여_60~69세,"7,006","2,202",370,"1,094",576,466,442,377,823,359,297
2020년07월_여_70~79세,"4,432","1,028",262,635,389,365,331,361,494,310,257
2020년07월_여_80~89세,"2,364",528,148,300,191,156,189,170,330,199,153
2020년07월_여_90~99세,402,91,35,55,36,14,29,21,56,34,31
2020년07월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
