,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년04월_계_총인구수,"831,888","78,829","17,427","83,970","39,574","7,334","5,829","6,947","10,962","7,070","9,895","10,277","4,031","11,298","19,415","43,977","28,224","24,537","32,438","13,860","23,419","50,639","36,043","41,794","53,531","38,672","30,174","77,083","24,639"
2020년04월_계_연령구간인구수,"831,888","78,829","17,427","83,970","39,574","7,334","5,829","6,947","10,962","7,070","9,895","10,277","4,031","11,298","19,415","43,977","28,224","24,537","32,438","13,860","23,419","50,639","36,043","41,794","53,531","38,672","30,174","77,083","24,639"
2020년04월_계_0~9세,"105,995","8,453",994,"10,867","4,078",331,249,279,495,184,309,421,116,453,"3,574","4,673","2,810","2,697","4,562","1,458","1,932","6,591","4,670","6,168","9,834","6,140","4,491","14,716","4,450"
2020년04월_계_10~19세,"94,360","9,740","1,478","9,809","3,423",503,335,448,819,309,473,633,172,813,"1,827","4,040","3,187","4,005","3,971","1,901","2,313","6,953","6,474","5,310","8,495","3,884","2,825","8,133","2,087"
2020년04월_계_20~29세,"99,910","9,627","1,808","9,979","5,306",861,605,741,998,563,"1,013",990,390,"1,317","2,290","7,047","4,645","2,873","4,139","1,680","3,120","7,382","3,708","5,926","4,201","4,192","4,325","7,409","2,775"
2020년04월_계_30~39세,"150,694","11,204","1,687","15,933","6,858",683,498,752,895,544,"1,019",913,381,"1,141","4,512","9,330","4,601","3,309","6,044","1,638","3,136","9,774","4,550","8,568","10,051","9,525","7,690","18,650","6,808"
2020년04월_계_40~49세,"158,774","15,397","2,809","16,648","6,470","1,025",688,"1,010","1,465",835,"1,500","1,329",499,"1,687","3,547","7,758","5,159","5,477","5,961","2,792","4,018","10,373","8,790","8,348","12,999","7,457","5,441","15,079","4,213"
2020년04월_계_50~59세,"110,682","11,913","3,462","10,461","6,259","1,556","1,264","1,437","2,193","1,616","2,341","2,219",939,"2,390","2,366","5,718","3,950","3,157","4,447","2,198","4,161","6,044","4,534","3,967","5,012","3,885","3,096","7,722","2,375"
2020년04월_계_60~69세,"64,693","7,354","2,628","5,874","4,145","1,251","1,089","1,191","1,979","1,584","1,819","1,960",812,"1,853",951,"3,263","2,246","1,619","2,230","1,274","2,825","2,212","1,892","1,946","1,908","2,242","1,478","3,724","1,344"
2020년04월_계_70~79세,"30,860","3,539","1,617","2,860","1,971",721,646,693,"1,253",827,838,"1,104",433,"1,011",225,"1,475","1,149",937,735,643,"1,288",908,"1,026","1,132",724,974,564,"1,163",404
2020년04월_계_80~89세,"13,890","1,367",832,"1,367",930,354,386,345,729,523,504,639,258,554,107,591,421,412,296,246,557,356,353,380,261,324,224,418,156
2020년04월_계_90~99세,"1,922",222,107,162,131,46,66,47,128,76,74,62,30,71,16,80,55,50,51,28,61,44,43,48,46,46,39,66,27
2020년04월_계_100세 이상,108,13,5,10,3,3,3,4,8,9,5,7,1,8,0,2,1,1,2,2,8,2,3,1,0,3,1,3,0
2020년04월_남_총인구수,"431,049","39,952","9,459","44,808","21,529","3,857","3,274","4,135","5,903","3,918","5,979","5,871","2,440","6,519","9,801","23,558","14,430","11,952","16,412","7,110","12,335","25,937","17,729","21,402","26,627","19,311","15,629","38,708","12,464"
2020년04월_남_연령구간인구수,"431,049","39,952","9,459","44,808","21,529","3,857","3,274","4,135","5,903","3,918","5,979","5,871","2,440","6,519","9,801","23,558","14,430","11,952","16,412","7,110","12,335","25,937","17,729","21,402","26,627","19,311","15,629","38,708","12,464"
