,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년12월_계_총인구수,"282,765","7,694","19,670","1,478","2,575","1,086","3,874","2,551",959,"17,313","3,506","3,588","2,836","2,242","8,838","9,711","11,827","14,968","21,208","4,560","11,999","4,493","35,412","49,431","19,089","21,857"
2020년12월_계_연령구간인구수,"282,765","7,694","19,670","1,478","2,575","1,086","3,874","2,551",959,"17,313","3,506","3,588","2,836","2,242","8,838","9,711","11,827","14,968","21,208","4,560","11,999","4,493","35,412","49,431","19,089","21,857"
2020년12월_계_0~9세,"21,669",343,"2,220",28,105,27,117,63,12,"1,452",78,102,77,80,942,768,529,"1,301","1,770",344,421,155,"2,559","4,451","1,539","2,186"
2020년12월_계_10~19세,"26,937",455,"2,451",61,133,33,191,144,24,"1,706",164,182,121,117,681,753,868,"1,471","1,977",382,654,232,"4,382","5,945","1,591","2,219"
2020년12월_계_20~29세,"37,345",792,"1,917",131,263,39,243,185,37,"2,153",245,863,385,264,"1,031","1,226","1,871","2,159","2,640",543,"2,727",990,"5,113","6,288","2,482","2,758"
2020년12월_계_30~39세,"34,254",665,"2,433",92,191,60,244,113,40,"2,362",249,402,305,211,"1,438","1,263","1,351","2,132","2,873",486,"1,309",607,"3,750","6,165","2,626","2,887"
2020년12월_계_40~49세,"42,476",892,"3,585",116,249,86,357,225,64,"2,902",378,385,350,250,"1,185","1,364","1,541","2,182","3,155",692,"1,437",492,"5,921","8,400","2,827","3,441"
2020년12월_계_50~59세,"47,024","1,447","3,056",270,529,208,703,485,194,"2,807",671,509,496,399,"1,257","1,695","2,001","2,422","3,415",756,"1,818",675,"6,268","8,342","3,237","3,364"
2020년12월_계_60~69세,"38,227","1,452","2,392",388,575,284,950,652,294,"2,204",906,527,523,403,"1,118","1,322","1,874","1,688","2,892",671,"1,707",655,"3,945","5,531","2,683","2,591"
2020년12월_계_70~79세,"21,021",934,988,213,281,195,579,404,182,"1,041",510,379,334,300,723,807,"1,117",973,"1,527",419,"1,170",414,"2,107","2,609","1,357","1,458"
2020년12월_계_80~89세,"11,775",618,513,164,219,133,396,237,100,591,257,213,201,174,386,426,576,548,829,229,655,236,"1,193","1,453",618,810
2020년12월_계_90~99세,"1,918",92,111,14,29,20,85,42,11,91,45,23,42,41,71,75,96,85,128,36,95,35,169,240,120,122
2020년12월_계_100세 이상,119,4,4,1,1,1,9,1,1,4,3,3,2,3,6,12,3,7,2,2,6,2,5,7,9,21
2020년12월_남_총인구수,"139,576","3,848","9,736",803,"1,328",586,"1,985","1,260",530,"8,644","1,851","1,846","1,370","1,093","4,458","4,722","5,871","7,159","10,074","2,289","6,382","2,263","17,340","23,783","9,369","10,986"
2020년12월_남_연령구간인구수,"139,576","3,848","9,736",803,"1,328",586,"1,985","1,260",530,"8,644","1,851","1,846","1,370","1,093","4,458","4,722","5,871","7,159","10,074","2,289","6,382","2,263","17,340","23,783","9,369","10,986"
2020년12월_남_0~9세,"11,116",167,"1,147",11,57,19,54,33,6,768,47,66,45,39,502,380,273,654,889,172,200,81,"1,294","2,288",800,"1,124"
