카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년12월_계_총인구수,"285,990","16,475","26,430","22,362","11,915","13,904","23,280","15,408","15,240","22,735","14,325","26,033","16,514","12,643","15,806","10,757","10,516","11,647"
2021년12월_계_연령구간인구수,"285,990","16,475","26,430","22,362","11,915","13,904","23,280","15,408","15,240","22,735","14,325","26,033","16,514","12,643","15,806","10,757","10,516","11,647"
2021년12월_계_0~9세,"19,222","1,176","2,209","1,142",395,943,"1,715","1,125","1,215","1,698","1,314","2,493",999,681,742,550,475,350
2021년12월_계_10~19세,"18,903","1,107","1,595","1,544",676,991,"1,999","1,592","1,083","1,373",917,"1,654","1,071",833,823,506,553,586
2021년12월_계_20~29세,"43,463","2,398","4,142","4,219","4,769","2,221","2,832","1,725","1,691","2,753","1,431","2,731","2,513","1,999","2,187","1,904","1,681","2,267"
2021년12월_계_30~39세,"46,815","2,860","4,508","3,229","1,581","2,251","3,514","2,151","2,529","4,027","2,566","4,810","2,858","2,296","2,495","1,849","1,590","1,701"
2021년12월_계_40~49세,"43,346","2,507","4,007","2,900","1,115","2,099","3,789","2,826","2,534","3,669","2,539","4,481","2,325","1,929","2,141","1,411","1,495","1,579"
2021년12월_계_50~59세,"46,154","2,660","4,354","3,617","1,304","2,251","3,953","2,472","2,332","3,622","2,089","3,832","3,062","1,979","2,927","1,733","1,906","2,061"
2021년12월_계_60~69세,"37,768","2,123","3,133","3,107",982,"1,713","2,888","1,757","2,149","3,047","1,881","3,395","2,298","1,674","2,705","1,567","1,697","1,652"
2021년12월_계_70~79세,"20,111","1,119","1,579","1,727",719,967,"1,736","1,134","1,106","1,671","1,068","1,718",932,863,"1,225",815,761,971
2021년12월_계_80~89세,"9,002",462,795,761,339,403,752,562,539,764,462,794,397,350,500,373,311,438
2021년12월_계_90~99세,"1,158",62,107,111,34,61,99,64,60,106,54,118,54,39,56,47,46,40
2021년12월_계_100세 이상,48,1,1,5,1,4,3,0,2,5,4,7,5,0,5,2,1,2
2021년12월_남_총인구수,"139,380","7,964","12,552","11,039","6,154","6,688","10,907","7,352","7,260","10,824","6,803","12,119","8,249","6,201","8,263","5,407","5,551","6,047"
2021년12월_남_연령구간인구수,"139,380","7,964","12,552","11,039","6,154","6,688","10,907","7,352","7,260","10,824","6,803","12,119","8,249","6,201","8,263","5,407","5,551","6,047"
2021년12월_남_0~9세,"9,797",600,"1,150",578,206,473,847,579,604,869,663,"1,244",544,351,373,279,253,184
2021년12월_남_10~19세,"9,436",582,809,764,303,465,900,796,565,673,472,851,553,422,428,264,299,290
2021년12월_남_20~29세,"21,395","1,113","1,897","2,150","2,603","1,066","1,364",849,841,"1,400",711,"1,261","1,298",961,"1,137",880,858,"1,006"
2021년12월_남_30~39세,"23,032","1,433","2,091","1,665",893,"1,122","1,655","1,057","1,170","1,951","1,188","2,154","1,422","1,138","1,368",947,876,902
2021년12월_남_40~49세,"21,733","1,240","1,988","1,475",597,"1,014","1,815","1,343","1,285","1,805","1,277","2,193","1,146",941,"1,145",727,830,912
