카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년02월_계_총인구수,"319,189","19,042","24,627","16,370","21,284","8,858","27,297","48,927","20,704","32,182","26,640","30,376","17,020","14,442","11,420"
2021년02월_계_연령구간인구수,"319,189","19,042","24,627","16,370","21,284","8,858","27,297","48,927","20,704","32,182","26,640","30,376","17,020","14,442","11,420"
2021년02월_계_0~9세,"23,595",838,"1,961","1,282","1,797",476,"1,599","3,515","1,171","2,134","2,082","3,411","1,533","1,158",638
2021년02월_계_10~19세,"30,216","1,120","3,143","1,222","2,326",592,"2,069","4,344","1,705","3,463","3,201","3,278","1,871","1,258",624
2021년02월_계_20~29세,"45,421","2,580","3,216","2,143","2,843","1,353","4,189","7,914","3,197","5,755","3,684","3,371","2,277","1,767","1,132"
2021년02월_계_30~39세,"42,018","2,294","2,810","2,012","2,716","1,272","3,850","7,730","2,242","3,584","3,165","4,537","2,364","1,949","1,493"
2021년02월_계_40~49세,"51,309","2,502","4,352","2,533","3,664","1,362","4,155","8,414","2,930","5,220","4,222","5,501","2,615","2,327","1,512"
2021년02월_계_50~59세,"61,540","3,713","4,737","3,252","3,728","1,731","5,304","9,318","4,668","6,654","5,467","4,875","3,302","2,705","2,086"
2021년02월_계_60~69세,"42,016","3,680","2,756","2,458","2,695","1,282","3,966","5,442","3,017","3,458","3,316","3,442","2,121","2,149","2,234"
2021년02월_계_70~79세,"16,633","1,689","1,228","1,034","1,101",587,"1,493","1,667","1,233","1,336","1,087","1,455",685,805,"1,233"
2021년02월_계_80~89세,"5,721",561,363,376,366,182,605,503,488,511,375,456,223,294,418
2021년02월_계_90~99세,685,59,60,55,45,20,62,79,52,66,41,47,27,27,45
2021년02월_계_100세 이상,35,6,1,3,3,1,5,1,1,1,0,3,2,3,5
2021년02월_남_총인구수,"162,809","9,665","12,654","8,299","10,776","4,694","13,800","25,376","10,566","16,460","13,332","15,197","8,514","7,426","6,050"
2021년02월_남_연령구간인구수,"162,809","9,665","12,654","8,299","10,776","4,694","13,800","25,376","10,566","16,460","13,332","15,197","8,514","7,426","6,050"
2021년02월_남_0~9세,"12,137",430,"1,025",656,933,245,822,"1,785",663,"1,089","1,067","1,719",774,607,322
2021년02월_남_10~19세,"16,017",576,"1,718",655,"1,205",310,"1,115","2,292",899,"1,804","1,745","1,704",992,660,342
2021년02월_남_20~29세,"25,280","1,473","1,840","1,160","1,570",788,"2,307","4,334","1,799","3,284","2,093","1,816","1,211",956,649
2021년02월_남_30~39세,"22,441","1,314","1,457","1,072","1,436",706,"2,108","4,262","1,228","1,932","1,593","2,230","1,186","1,048",869
2021년02월_남_40~49세,"25,069","1,341","2,017","1,278","1,767",738,"2,086","4,104","1,444","2,421","1,850","2,721","1,216","1,205",881
2021년02월_남_50~59세,"30,922","1,815","2,461","1,637","1,890",895,"2,555","4,726","2,310","3,348","2,640","2,459","1,644","1,365","1,177"
2021년02월_남_60~69세,"20,856","1,726","1,381","1,199","1,308",647,"1,909","2,809","1,514","1,768","1,690","1,672","1,073","1,074","1,086"
2021년02월_남_70~79세,"7,950",770,607,480,516,290,690,881,541,625,529,702,342,409,568
2021년02월_남_80~89세,"2,002",210,139,150,138,73,195,167,158,178,118,162,72,94,148
2021년02월_남_90~99세,127,9,9,10,12,2,12,16,10,11,7,12,4,5,8
2021년02월_남_100세 이상,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2021년02월_여_총인구수,"156,380","9,377","11,973","8,071","10,508","4,164","13,497","23,551","10,138","15,722","13,308","15,179","8,506","7,016","5,370"
2021년02월_여_연령구간인구수,"156,380","9,377","11,973","8,071","10,508","4,164","13,497","23,551","10,138","15,722","13,308","15,179","8,506","7,016","5,370"
2021년02월_여_0~9세,"11,458",408,936,626,864,231,777,"1,730",508,"1,045","1,015","1,692",759,551,316
2021년02월_여_10~19세,"14,199",544,"1,425",567,"1,121",282,954,"2,052",806,"1,659","1,456","1,574",879,598,282
2021년02월_여_20~29세,"20,141","1,107","1,376",983,"1,273",565,"1,882","3,580","1,398","2,471","1,591","1,555","1,066",811,483
2021년02월_여_30~39세,"19,577",980,"1,353",940,"1,280",566,"1,742","3,468","1,014","1,652","1,572","2,307","1,178",901,624
2021년02월_여_40~49세,"26,240","1,161","2,335","1,255","1,897",624,"2,069","4,310","1,486","2,799","2,372","2,780","1,399","1,122",631
2021년02월_여_50~59세,"30,618","1,898","2,276","1,615","1,838",836,"2,749","4,592","2,358","3,306","2,827","2,416","1,658","1,340",909
2021년02월_여_60~69세,"21,160","1,954","1,375","1,259","1,387",635,"2,057","2,633","1,503","1,690","1,626","1,770","1,048","1,075","1,148"
2021년02월_여_70~79세,"8,683",919,621,554,585,297,803,786,692,711,558,753,343,396,665
2021년02월_여_80~89세,"3,719",351,224,226,228,109,410,336,330,333,257,294,151,200,270
2021년02월_여_90~99세,558,50,51,45,33,18,50,63,42,55,34,35,23,22,37
2021년02월_여_100세 이상,27,5,1,1,2,1,4,1,1,1,0,3,2,0,5
