카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년12월_계_총인구수,"69,242","34,932","4,656","2,420","2,392","3,753","3,972","6,184","3,829","3,887","3,217"
2020년12월_계_연령구간인구수,"69,242","34,932","4,656","2,420","2,392","3,753","3,972","6,184","3,829","3,887","3,217"
2020년12월_계_0~9세,"3,800","2,640",121,45,47,131,108,376,101,114,117
2020년12월_계_10~19세,"5,180","3,601",160,118,93,198,162,388,130,186,144
2020년12월_계_20~29세,"6,875","4,191",389,141,129,271,242,802,244,269,197
2020년12월_계_30~39세,"6,139","3,918",308,107,96,205,213,608,251,243,190
2020년12월_계_40~49세,"8,297","5,346",385,153,195,309,343,551,370,355,290
2020년12월_계_50~59세,"12,754","6,036",822,457,491,805,763,"1,019",756,836,769
2020년12월_계_60~69세,"13,820","5,029","1,245",683,698,978,"1,102","1,210","1,064",976,835
2020년12월_계_70~79세,"7,310","2,556",702,410,373,488,616,695,541,513,416
2020년12월_계_80~89세,"4,387","1,390",439,252,244,327,373,469,314,351,228
2020년12월_계_90~99세,637,206,82,52,26,37,44,65,55,40,30
2020년12월_계_100세 이상,43,19,3,2,0,4,6,1,3,4,1
2020년12월_남_총인구수,"35,663","17,663","2,454","1,208","1,252","1,907","2,049","3,362","2,019","2,039","1,710"
2020년12월_남_연령구간인구수,"35,663","17,663","2,454","1,208","1,252","1,907","2,049","3,362","2,019","2,039","1,710"
2020년12월_남_0~9세,"1,911","1,318",59,28,31,67,50,190,51,54,63
2020년12월_남_10~19세,"2,673","1,856",89,66,53,102,92,171,68,102,74
2020년12월_남_20~29세,"4,185","2,423",258,86,73,169,144,608,139,162,123
2020년12월_남_30~39세,"3,367","2,077",188,56,61,102,124,356,166,135,102
2020년12월_남_40~49세,"4,457","2,699",243,86,129,173,204,322,226,212,163
2020년12월_남_50~59세,"6,711","3,130",444,243,252,414,410,544,387,458,429
2020년12월_남_60~69세,"7,181","2,523",653,352,365,512,569,656,581,529,441
2020년12월_남_70~79세,"3,441","1,096",356,185,196,245,308,331,260,247,217
2020년12월_남_80~89세,"1,559",484,141,92,83,113,136,169,122,130,89
2020년12월_남_90~99세,171,56,23,13,9,9,11,15,19,8,8
2020년12월_남_100세 이상,7,1,0,1,0,1,1,0,0,2,1
2020년12월_여_총인구수,"33,579","17,269","2,202","1,212","1,140","1,846","1,923","2,822","1,810","1,848","1,507"
2020년12월_여_연령구간인구수,"33,579","17,269","2,202","1,212","1,140","1,846","1,923","2,822","1,810","1,848","1,507"
2020년12월_여_0~9세,"1,889","1,322",62,17,16,64,58,186,50,60,54
2020년12월_여_10~19세,"2,507","1,745",71,52,40,96,70,217,62,84,70
2020년12월_여_20~29세,"2,690","1,768",131,55,56,102,98,194,105,107,74
2020년12월_여_30~39세,"2,772","1,841",120,51,35,103,89,252,85,108,88
2020년12월_여_40~49세,"3,840","2,647",142,67,66,136,139,229,144,143,127
2020년12월_여_50~59세,"6,043","2,906",378,214,239,391,353,475,369,378,340
2020년12월_여_60~69세,"6,639","2,506",592,331,333,466,533,554,483,447,394
2020년12월_여_70~79세,"3,869","1,460",346,225,177,243,308,364,281,266,199
2020년12월_여_80~89세,"2,828",906,298,160,161,214,237,300,192,221,139
2020년12월_여_90~99세,466,150,59,39,17,28,33,50,36,32,22
2020년12월_여_100세 이상,36,18,3,1,0,3,5,1,3,2,0
