,세종특별자치시,세종특별자치시 세종특별자치시
2021년01월_계_총인구수,"357,871","357,871"
2021년01월_계_연령구간인구수,"357,871","357,871"
2021년01월_계_0~9세,"47,226","47,226"
2021년01월_계_10~19세,"43,097","43,097"
2021년01월_계_20~29세,"37,735","37,735"
2021년01월_계_30~39세,"61,528","61,528"
2021년01월_계_40~49세,"69,371","69,371"
2021년01월_계_50~59세,"45,466","45,466"
2021년01월_계_60~69세,"30,553","30,553"
2021년01월_계_70~79세,"14,468","14,468"
2021년01월_계_80~89세,"7,164","7,164"
2021년01월_계_90~99세,"1,213","1,213"
2021년01월_계_100세 이상,50,50
2021년01월_남_총인구수,"178,656","178,656"
2021년01월_남_연령구간인구수,"178,656","178,656"
2021년01월_남_0~9세,"24,186","24,186"
2021년01월_남_10~19세,"21,631","21,631"
2021년01월_남_20~29세,"19,200","19,200"
2021년01월_남_30~39세,"30,043","30,043"
2021년01월_남_40~49세,"35,393","35,393"
2021년01월_남_50~59세,"23,693","23,693"
2021년01월_남_60~69세,"15,140","15,140"
2021년01월_남_70~79세,"6,659","6,659"
2021년01월_남_80~89세,"2,436","2,436"
2021년01월_남_90~99세,265,265
2021년01월_남_100세 이상,10,10
2021년01월_여_총인구수,"179,215","179,215"
2021년01월_여_연령구간인구수,"179,215","179,215"
2021년01월_여_0~9세,"23,040","23,040"
2021년01월_여_10~19세,"21,466","21,466"
2021년01월_여_20~29세,"18,535","18,535"
2021년01월_여_30~39세,"31,485","31,485"
2021년01월_여_40~49세,"33,978","33,978"
2021년01월_여_50~59세,"21,773","21,773"
2021년01월_여_60~69세,"15,413","15,413"
2021년01월_여_70~79세,"7,809","7,809"
2021년01월_여_80~89세,"4,728","4,728"
2021년01월_여_90~99세,948,948
2021년01월_여_100세 이상,40,40
