,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년04월_계_총인구수,"567,375","24,527","15,562","8,949","28,142","14,779","17,798","32,160","29,926","23,964","16,899","31,908","22,094","44,160","16,835","77,472","40,125","21,035","11,695","37,014","19,978","18,869","13,484"
2020년04월_계_연령구간인구수,"567,375","24,527","15,562","8,949","28,142","14,779","17,798","32,160","29,926","23,964","16,899","31,908","22,094","44,160","16,835","77,472","40,125","21,035","11,695","37,014","19,978","18,869","13,484"
2020년04월_계_0~9세,"42,483","1,808",660,419,"2,198",711,"1,413","2,170","1,984","1,423",952,"1,503","2,167","5,431",665,"9,328","3,135","1,204",418,"2,487",902,799,706
2020년04월_계_10~19세,"57,513","2,072",786,612,"2,428","1,075","1,776","3,796","3,121","2,693","1,488","2,636","2,152","8,365","1,234","8,460","5,035","1,587",634,"3,808","1,414","1,341","1,000"
2020년04월_계_20~29세,"80,613","3,043","2,464","1,341","4,347","2,463","2,536","5,162","4,849","4,169","2,570","6,541","2,739","4,184","1,893","9,337","5,508","3,662","1,317","5,216","2,915","2,599","1,758"
2020년04월_계_30~39세,"69,143","2,962","2,027","1,011","3,900","1,827","2,354","3,459","3,425","2,569","2,175","3,656","3,039","4,867","1,383","11,967","4,306","2,956","1,205","4,060","2,365","2,034","1,596"
2020년04월_계_40~49세,"91,859","3,741","2,003","1,188","4,237","2,101","2,872","5,482","4,848","3,915","2,466","4,814","3,970","10,800","2,368","13,686","6,634","2,712","1,308","5,408","2,797","2,482","2,027"
2020년04월_계_50~59세,"105,488","4,317","2,816","1,601","5,325","3,053","3,400","6,701","6,562","5,281","3,617","6,514","3,954","5,806","3,132","11,906","7,447","4,035","2,352","7,544","3,889","3,589","2,647"
2020년04월_계_60~69세,"70,731","3,738","2,538","1,398","3,550","2,183","2,104","3,273","3,159","2,371","2,402","3,517","2,620","2,815","3,103","7,713","4,841","2,986","2,535","5,219","3,208","3,312","2,146"
2020년04월_계_70~79세,"33,617","1,999","1,576",913,"1,571",958,963,"1,480","1,343","1,020",858,"1,818","1,022","1,264","2,054","3,474","2,075","1,280","1,257","2,154","1,711","1,778","1,049"
2020년04월_계_80~89세,"14,226",759,620,415,517,372,338,588,570,479,330,816,381,553,905,"1,426","1,012",543,588,"1,010",696,823,485
2020년04월_계_90~99세,"1,617",81,66,46,66,34,39,47,63,44,41,92,47,67,92,158,127,66,81,107,78,105,70
2020년04월_계_100세 이상,85,7,6,5,3,2,3,2,2,0,0,1,3,8,6,17,5,4,0,1,3,7,0
2020년04월_남_총인구수,"280,296","11,953","7,566","4,332","13,827","7,354","8,802","16,141","15,075","12,060","8,546","16,369","10,951","21,632","8,103","38,135","19,647","10,437","5,652","18,008","9,908","9,087","6,711"
2020년04월_남_연령구간인구수,"280,296","11,953","7,566","4,332","13,827","7,354","8,802","16,141","15,075","12,060","8,546","16,369","10,951","21,632","8,103","38,135","19,647","10,437","5,652","18,008","9,908","9,087","6,711"
2020년04월_남_0~9세,"21,781",883,340,222,"1,091",351,744,"1,123","1,056",729,495,798,"1,074","2,769",373,"4,770","1,594",631,213,"1,275",489,406,355
2020년04월_남_10~19세,"29,902",990,406,310,"1,251",577,906,"2,027","1,658","1,391",778,"1,318","1,011","4,248",647,"4,480","2,783",838,350,"1,992",739,671,531
2020년04월_남_20~29세,"43,110","1,523","1,153",688,"2,186","1,304","1,359","2,789","2,619","2,287","1,405","3,605","1,499","2,276","1,040","4,938","3,002","1,941",758,"2,808","1,541","1,403",986
2020년04월_남_30~39세,"35,818","1,512","1,065",523,"2,034","1,025","1,218","1,782","1,849","1,373","1,208","2,138","1,536","2,131",758,"5,809","2,124","1,660",692,"2,073","1,304","1,114",890
2020년04월_남_40~49세,"44,410","1,949","1,092",606,"2,071","1,021","1,364","2,520","2,234","1,792","1,214","2,447","2,001","5,025","1,233","6,695","2,946","1,317",667,"2,486","1,430","1,251","1,049"
2020년04월_남_50~59세,"51,047","2,152","1,398",767,"2,543","1,446","1,636","3,367","3,223","2,629","1,685","3,276","1,917","3,118","1,556","5,650","3,503","1,852","1,053","3,482","1,848","1,663","1,283"
2020년04월_남_60~69세,"34,240","1,768","1,190",652,"1,708","1,082","1,033","1,629","1,645","1,239","1,248","1,752","1,279","1,314","1,404","3,690","2,377","1,449","1,183","2,574","1,500","1,526",998
2020년04월_남_70~79세,"14,850",902,685,394,732,407,422,695,576,447,382,783,486,553,794,"1,569",932,572,556,956,794,749,464
2020년04월_남_80~89세,"4,775",260,224,159,196,131,113,202,200,167,120,233,135,179,272,492,355,166,161,341,248,285,136
2020년04월_남_90~99세,346,13,12,11,13,9,6,7,15,6,11,19,11,18,25,36,31,11,19,21,15,18,19
2020년04월_남_100세 이상,17,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,1,0
2020년04월_여_총인구수,"287,079","12,574","7,996","4,617","14,315","7,425","8,996","16,019","14,851","11,904","8,353","15,539","11,143","22,528","8,732","39,337","20,478","10,598","6,043","19,006","10,070","9,782","6,773"
2020년04월_여_연령구간인구수,"287,079","12,574","7,996","4,617","14,315","7,425","8,996","16,019","14,851","11,904","8,353","15,539","11,143","22,528","8,732","39,337","20,478","10,598","6,043","19,006","10,070","9,782","6,773"
2020년04월_여_0~9세,"20,702",925,320,197,"1,107",360,669,"1,047",928,694,457,705,"1,093","2,662",292,"4,558","1,541",573,205,"1,212",413,393,351
2020년04월_여_10~19세,"27,611","1,082",380,302,"1,177",498,870,"1,769","1,463","1,302",710,"1,318","1,141","4,117",587,"3,980","2,252",749,284,"1,816",675,670,469
2020년04월_여_20~29세,"37,503","1,520","1,311",653,"2,161","1,159","1,177","2,373","2,230","1,882","1,165","2,936","1,240","1,908",853,"4,399","2,506","1,721",559,"2,408","1,374","1,196",772
2020년04월_여_30~39세,"33,325","1,450",962,488,"1,866",802,"1,136","1,677","1,576","1,196",967,"1,518","1,503","2,736",625,"6,158","2,182","1,296",513,"1,987","1,061",920,706
2020년04월_여_40~49세,"47,449","1,792",911,582,"2,166","1,080","1,508","2,962","2,614","2,123","1,252","2,367","1,969","5,775","1,135","6,991","3,688","1,395",641,"2,922","1,367","1,231",978
2020년04월_여_50~59세,"54,441","2,165","1,418",834,"2,782","1,607","1,764","3,334","3,339","2,652","1,932","3,238","2,037","2,688","1,576","6,256","3,944","2,183","1,299","4,062","2,041","1,926","1,364"
2020년04월_여_60~69세,"36,491","1,970","1,348",746,"1,842","1,101","1,071","1,644","1,514","1,132","1,154","1,765","1,341","1,501","1,699","4,023","2,464","1,537","1,352","2,645","1,708","1,786","1,148"
2020년04월_여_70~79세,"18,767","1,097",891,519,839,551,541,785,767,573,476,"1,035",536,711,"1,260","1,905","1,143",708,701,"1,198",917,"1,029",585
2020년04월_여_80~89세,"9,451",499,396,256,321,241,225,386,370,312,210,583,246,374,633,934,657,377,427,669,448,538,349
2020년04월_여_90~99세,"1,271",68,54,35,53,25,33,40,48,38,30,73,36,49,67,122,96,55,62,86,63,87,51
2020년04월_여_100세 이상,68,6,5,5,1,1,2,2,2,0,0,1,1,7,5,11,5,4,0,1,3,6,0
