,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년05월_계_총인구수,"312,869","18,219","17,004","17,865","18,919","37,822","24,529","16,023","14,383","23,065","27,315","16,186","29,734","18,706","33,099"
2020년05월_계_연령구간인구수,"312,869","18,219","17,004","17,865","18,919","37,822","24,529","16,023","14,383","23,065","27,315","16,186","29,734","18,706","33,099"
2020년05월_계_0~9세,"20,633","1,345","1,480",771,818,"1,791","1,646",812,869,"1,471","1,401","2,218","2,719","1,497","1,795"
2020년05월_계_10~19세,"24,405","1,558","1,143","1,195",968,"2,655","1,976","1,183","1,137","1,873","2,278","1,445","2,440","1,991","2,563"
2020년05월_계_20~29세,"49,970","2,292","2,454","3,104","6,971","7,784","3,168","2,173","1,886","2,967","4,207","1,626","4,236","2,193","4,909"
2020년05월_계_30~39세,"45,318","2,507","3,004","2,566","3,186","5,854","3,528","2,011","1,940","2,942","3,591","2,613","4,598","2,534","4,444"
2020년05월_계_40~49세,"48,072","2,945","2,767","2,563","1,998","5,454","3,845","2,278","2,133","3,463","4,148","3,088","4,890","3,341","5,159"
2020년05월_계_50~59세,"49,692","3,034","2,817","3,028","1,990","5,526","4,108","2,749","2,623","4,069","4,631","2,178","4,380","3,012","5,547"
2020년05월_계_60~69세,"37,550","2,140","1,753","2,404","1,384","4,203","3,214","2,303","1,900","3,192","3,635","1,551","3,224","2,136","4,511"
2020년05월_계_70~79세,"24,410","1,485","1,040","1,396","1,014","2,959","2,018","1,605","1,265","1,999","2,220",976,"2,148","1,364","2,921"
2020년05월_계_80~89세,"10,940",773,446,675,477,"1,370",888,797,543,930,"1,036",424,926,549,"1,106"
2020년05월_계_90~99세,"1,597",110,73,125,88,197,126,92,83,140,147,52,151,79,134
2020년05월_계_100세 이상,282,30,27,38,25,29,12,20,4,19,21,15,22,10,10
2020년05월_남_총인구수,"150,058","8,662","8,116","8,590","8,455","18,298","11,552","7,808","6,848","11,158","13,245","7,818","14,341","9,059","16,108"
2020년05월_남_연령구간인구수,"150,058","8,662","8,116","8,590","8,455","18,298","11,552","7,808","6,848","11,158","13,245","7,818","14,341","9,059","16,108"
2020년05월_남_0~9세,"10,602",681,758,389,469,925,834,427,459,749,712,"1,120","1,354",792,933
2020년05월_남_10~19세,"12,172",757,557,589,421,"1,345",957,623,565,957,"1,155",683,"1,207","1,044","1,312"
2020년05월_남_20~29세,"24,131","1,132","1,115","1,498","2,744","4,002","1,576","1,082",946,"1,466","2,145",798,"2,086","1,052","2,489"
2020년05월_남_30~39세,"22,532","1,232","1,468","1,270","1,560","2,960","1,723","1,067",972,"1,500","1,882","1,168","2,244","1,203","2,283"
2020년05월_남_40~49세,"23,764","1,447","1,373","1,294",985,"2,609","1,843","1,153","1,021","1,698","2,043","1,629","2,469","1,670","2,530"
2020년05월_남_50~59세,"24,085","1,507","1,403","1,500",991,"2,630","1,890","1,370","1,250","2,017","2,204","1,076","2,137","1,448","2,662"
2020년05월_남_60~69세,"17,628","1,010",829,"1,144",625,"1,959","1,488","1,081",908,"1,521","1,669",710,"1,521","1,018","2,145"
2020년05월_남_70~79세,"10,427",587,430,605,434,"1,248",861,664,505,862,990,436,919,594,"1,292"
2020년05월_남_80~89세,"4,201",269,159,261,190,541,344,304,197,341,407,181,362,219,426
2020년05월_남_90~99세,441,32,21,28,28,71,35,28,23,42,35,13,37,17,31
2020년05월_남_100세 이상,75,8,3,12,8,8,1,9,2,5,3,4,5,2,5
2020년05월_여_총인구수,"162,811","9,557","8,888","9,275","10,464","19,524","12,977","8,215","7,535","11,907","14,070","8,368","15,393","9,647","16,991"
2020년05월_여_연령구간인구수,"162,811","9,557","8,888","9,275","10,464","19,524","12,977","8,215","7,535","11,907","14,070","8,368","15,393","9,647","16,991"
2020년05월_여_0~9세,"10,031",664,722,382,349,866,812,385,410,722,689,"1,098","1,365",705,862
2020년05월_여_10~19세,"12,233",801,586,606,547,"1,310","1,019",560,572,916,"1,123",762,"1,233",947,"1,251"
2020년05월_여_20~29세,"25,839","1,160","1,339","1,606","4,227","3,782","1,592","1,091",940,"1,501","2,062",828,"2,150","1,141","2,420"
2020년05월_여_30~39세,"22,786","1,275","1,536","1,296","1,626","2,894","1,805",944,968,"1,442","1,709","1,445","2,354","1,331","2,161"
2020년05월_여_40~49세,"24,308","1,498","1,394","1,269","1,013","2,845","2,002","1,125","1,112","1,765","2,105","1,459","2,421","1,671","2,629"
2020년05월_여_50~59세,"25,607","1,527","1,414","1,528",999,"2,896","2,218","1,379","1,373","2,052","2,427","1,102","2,243","1,564","2,885"
2020년05월_여_60~69세,"19,922","1,130",924,"1,260",759,"2,244","1,726","1,222",992,"1,671","1,966",841,"1,703","1,118","2,366"
2020년05월_여_70~79세,"13,983",898,610,791,580,"1,711","1,157",941,760,"1,137","1,230",540,"1,229",770,"1,629"
2020년05월_여_80~89세,"6,739",504,287,414,287,829,544,493,346,589,629,243,564,330,680
2020년05월_여_90~99세,"1,156",78,52,97,60,126,91,64,60,98,112,39,114,62,103
2020년05월_여_100세 이상,207,22,24,26,17,21,11,11,2,14,18,11,17,8,5
