,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년04월_계_총인구수,"26,959","7,106","6,420","2,427","3,836","7,170",0
2020년04월_계_연령구간인구수,"26,959","7,106","6,420","2,427","3,836","7,170",0
2020년04월_계_0~9세,"1,290",567,233,57,165,268,0
2020년04월_계_10~19세,"1,702",602,378,111,194,417,0
2020년04월_계_20~29세,"3,013",928,555,182,432,916,0
2020년04월_계_30~39세,"2,225",799,381,153,326,566,0
2020년04월_계_40~49세,"3,124",939,672,212,406,895,0
2020년04월_계_50~59세,"4,952","1,171","1,183",466,733,"1,399",0
2020년04월_계_60~69세,"4,991","1,001","1,347",567,717,"1,359",0
2020년04월_계_70~79세,"3,546",672,"1,033",430,534,877,0
2020년04월_계_80~89세,"1,763",346,520,217,285,395,0
2020년04월_계_90~99세,337,76,114,32,41,74,0
2020년04월_계_100세 이상,16,5,4,0,3,4,0
2020년04월_남_총인구수,"13,926","3,720","3,196","1,197","1,997","3,816",0
2020년04월_남_연령구간인구수,"13,926","3,720","3,196","1,197","1,997","3,816",0
2020년04월_남_0~9세,664,297,116,26,81,144,0
2020년04월_남_10~19세,912,337,195,66,95,219,0
2020년04월_남_20~29세,"1,911",575,360,102,271,603,0
2020년04월_남_30~39세,"1,266",421,214,93,202,336,0
2020년04월_남_40~49세,"1,760",519,368,133,238,502,0
2020년04월_남_50~59세,"2,653",614,642,243,388,766,0
2020년04월_남_60~69세,"2,560",510,669,289,378,714,0
2020년04월_남_70~79세,"1,539",319,440,177,232,371,0
2020년04월_남_80~89세,580,107,165,62,101,145,0
2020년04월_남_90~99세,78,20,27,6,11,14,0
2020년04월_남_100세 이상,3,1,0,0,0,2,0
2020년04월_여_총인구수,"13,033","3,386","3,224","1,230","1,839","3,354",0
2020년04월_여_연령구간인구수,"13,033","3,386","3,224","1,230","1,839","3,354",0
2020년04월_여_0~9세,626,270,117,31,84,124,0
2020년04월_여_10~19세,790,265,183,45,99,198,0
2020년04월_여_20~29세,"1,102",353,195,80,161,313,0
2020년04월_여_30~39세,959,378,167,60,124,230,0
2020년04월_여_40~49세,"1,364",420,304,79,168,393,0
2020년04월_여_50~59세,"2,299",557,541,223,345,633,0
2020년04월_여_60~69세,"2,431",491,678,278,339,645,0
2020년04월_여_70~79세,"2,007",353,593,253,302,506,0
2020년04월_여_80~89세,"1,183",239,355,155,184,250,0
2020년04월_여_90~99세,259,56,87,26,30,60,0
2020년04월_여_100세 이상,13,4,4,0,3,2,0
