카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년08월_계_총인구수,"385,808","113,274","47,126","23,266","9,573","15,653","1,478","2,538","25,129","22,251","18,406","39,378","33,612","34,124"
2021년08월_계_연령구간인구수,"385,808","113,274","47,126","23,266","9,573","15,653","1,478","2,538","25,129","22,251","18,406","39,378","33,612","34,124"
2021년08월_계_0~9세,"33,742","10,852","3,639","1,358",446,"1,060",30,145,"1,930","1,592","1,927","2,977","2,548","5,238"
2021년08월_계_10~19세,"34,263","8,965","5,102","1,816",631,"1,256",65,184,"2,206","2,032","1,613","3,621","2,684","4,088"
2021년08월_계_20~29세,"45,167","13,394","5,649","2,863","1,011","1,218",102,172,"3,396","2,783","2,346","5,033","4,257","2,943"
2021년08월_계_30~39세,"56,109","19,325","6,171","2,776",997,"1,486",99,215,"3,532","2,926","2,820","5,154","4,695","5,913"
2021년08월_계_40~49세,"67,524","20,490","8,172","3,542","1,354","2,513",142,341,"4,093","3,758","3,211","6,835","5,713","7,360"
2021년08월_계_50~59세,"64,554","17,654","8,146","4,581","1,879","2,620",253,464,"4,384","3,986","3,074","7,379","6,004","4,130"
2021년08월_계_60~69세,"51,474","13,779","6,171","3,726","1,878","3,105",402,531,"3,346","3,193","2,220","5,417","4,942","2,764"
2021년08월_계_70~79세,"22,710","6,166","2,724","1,657",860,"1,648",220,291,"1,539","1,402",864,"2,112","2,004","1,223"
2021년08월_계_80~89세,"8,924","2,287","1,183",834,443,635,143,163,622,506,285,760,661,402
2021년08월_계_90~99세,"1,287",348,163,110,69,108,22,31,78,69,42,85,101,61
2021년08월_계_100세 이상,54,14,6,3,5,4,0,1,3,4,4,5,3,2
2021년08월_남_총인구수,"197,056","57,257","24,508","12,383","5,266","7,994",774,"1,339","12,963","11,194","9,194","20,015","17,269","16,900"
2021년08월_남_연령구간인구수,"197,056","57,257","24,508","12,383","5,266","7,994",774,"1,339","12,963","11,194","9,194","20,015","17,269","16,900"
2021년08월_남_0~9세,"17,322","5,614","1,901",697,230,532,18,73,"1,016",779,997,"1,505","1,339","2,621"
2021년08월_남_10~19세,"17,506","4,598","2,596",967,328,678,31,97,"1,132",991,777,"1,824","1,388","2,099"
2021년08월_남_20~29세,"24,016","7,024","3,010","1,571",594,680,56,90,"1,822","1,479","1,230","2,677","2,277","1,506"
2021년08월_남_30~39세,"29,137","9,972","3,244","1,558",587,771,55,107,"1,872","1,558","1,420","2,772","2,449","2,772"
2021년08월_남_40~49세,"35,680","10,942","4,336","1,914",815,"1,369",77,196,"2,154","1,940","1,640","3,492","3,067","3,738"
2021년08월_남_50~59세,"32,967","8,585","4,393","2,531","1,054","1,360",146,258,"2,334","1,998","1,491","3,679","3,040","2,098"
2021년08월_남_60~69세,"25,769","6,663","3,241","1,985","1,031","1,507",216,293,"1,695","1,592","1,099","2,709","2,449","1,289"
2021년08월_남_70~79세,"10,952","2,908","1,312",817,449,813,107,145,703,659,405,"1,036",996,602
2021년08월_남_80~89세,"3,424",867,443,315,163,254,61,74,225,181,129,298,247,167
2021년08월_남_90~99세,272,80,30,27,14,28,7,6,9,17,6,23,17,8
2021년08월_남_100세 이상,11,4,2,1,1,2,0,0,1,0,0,0,0,0
2021년08월_여_총인구수,"188,752","56,017","22,618","10,883","4,307","7,659",704,"1,199","12,166","11,057","9,212","19,363","16,343","17,224"
2021년08월_여_연령구간인구수,"188,752","56,017","22,618","10,883","4,307","7,659",704,"1,199","12,166","11,057","9,212","19,363","16,343","17,224"
2021년08월_여_0~9세,"16,420","5,238","1,738",661,216,528,12,72,914,813,930,"1,472","1,209","2,617"
2021년08월_여_10~19세,"16,757","4,367","2,506",849,303,578,34,87,"1,074","1,041",836,"1,797","1,296","1,989"
2021년08월_여_20~29세,"21,151","6,370","2,639","1,292",417,538,46,82,"1,574","1,304","1,116","2,356","1,980","1,437"
2021년08월_여_30~39세,"26,972","9,353","2,927","1,218",410,715,44,108,"1,660","1,368","1,400","2,382","2,246","3,141"
2021년08월_여_40~49세,"31,844","9,548","3,836","1,628",539,"1,144",65,145,"1,939","1,818","1,571","3,343","2,646","3,622"
2021년08월_여_50~59세,"31,587","9,069","3,753","2,050",825,"1,260",107,206,"2,050","1,988","1,583","3,700","2,964","2,032"
2021년08월_여_60~69세,"25,705","7,116","2,930","1,741",847,"1,598",186,238,"1,651","1,601","1,121","2,708","2,493","1,475"
2021년08월_여_70~79세,"11,758","3,258","1,412",840,411,835,113,146,836,743,459,"1,076","1,008",621
2021년08월_여_80~89세,"5,500","1,420",740,519,280,381,82,89,397,325,156,462,414,235
2021년08월_여_90~99세,"1,015",268,133,83,55,80,15,25,69,52,36,62,84,53
2021년08월_여_100세 이상,43,10,4,2,4,2,0,1,2,4,4,5,3,2
