카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년02월_계_총인구수,"130,748","6,881","7,388","4,667","43,209","30,576","2,541","31,956","3,530"
2020년02월_계_연령구간인구수,"130,748","6,881","7,388","4,667","43,209","30,576","2,541","31,956","3,530"
2020년02월_계_0~9세,"19,436",188,528,105,"8,333","5,462",68,"4,634",118
2020년02월_계_10~19세,"10,622",313,497,156,"3,312","3,995",62,"2,134",153
2020년02월_계_20~29세,"11,846",651,863,413,"3,762","2,504",226,"3,151",276
2020년02월_계_30~39세,"26,603",584,930,387,"11,447","5,434",199,"7,317",305
2020년02월_계_40~49세,"21,540",757,938,412,"7,033","6,441",222,"5,315",422
2020년02월_계_50~59세,"16,482","1,335","1,205","1,035","4,230","3,337",533,"4,040",767
2020년02월_계_60~69세,"14,716","1,622","1,314","1,247","3,390","2,303",615,"3,423",802
2020년02월_계_70~79세,"6,531",995,718,596,"1,216",790,410,"1,361",445
2020년02월_계_80~89세,"2,506",377,328,255,408,265,176,502,195
2020년02월_계_90~99세,425,56,60,52,70,43,28,74,42
2020년02월_계_100세 이상,41,3,7,9,8,2,2,5,5
2020년02월_남_총인구수,"67,557","3,817","4,096","2,479","21,649","15,164","1,338","17,140","1,874"
2020년02월_남_연령구간인구수,"67,557","3,817","4,096","2,479","21,649","15,164","1,338","17,140","1,874"
2020년02월_남_0~9세,"9,962",93,269,49,"4,226","2,800",32,"2,430",63
2020년02월_남_10~19세,"5,426",180,277,85,"1,601","2,052",41,"1,109",81
2020년02월_남_20~29세,"6,308",386,564,242,"1,788","1,260",126,"1,777",165
2020년02월_남_30~39세,"13,620",350,546,238,"5,733","2,431",115,"4,021",186
2020년02월_남_40~49세,"12,099",450,572,255,"3,915","3,339",146,"3,166",256
2020년02월_남_50~59세,"8,453",795,686,552,"1,951","1,663",288,"2,101",417
2020년02월_남_60~69세,"7,547",905,704,687,"1,648","1,135",328,"1,740",400
2020년02월_남_70~79세,"3,217",503,357,269,633,382,205,635,233
2020년02월_남_80~89세,837,145,112,86,142,90,51,147,64
2020년02월_남_90~99세,77,9,7,13,9,11,6,13,9
2020년02월_남_100세 이상,11,1,2,3,3,1,0,1,0
2020년02월_여_총인구수,"63,191","3,064","3,292","2,188","21,560","15,412","1,203","14,816","1,656"
2020년02월_여_연령구간인구수,"63,191","3,064","3,292","2,188","21,560","15,412","1,203","14,816","1,656"
2020년02월_여_0~9세,"9,474",95,259,56,"4,107","2,662",36,"2,204",55
2020년02월_여_10~19세,"5,196",133,220,71,"1,711","1,943",21,"1,025",72
2020년02월_여_20~29세,"5,538",265,299,171,"1,974","1,244",100,"1,374",111
2020년02월_여_30~39세,"12,983",234,384,149,"5,714","3,003",84,"3,296",119
2020년02월_여_40~49세,"9,441",307,366,157,"3,118","3,102",76,"2,149",166
2020년02월_여_50~59세,"8,029",540,519,483,"2,279","1,674",245,"1,939",350
2020년02월_여_60~69세,"7,169",717,610,560,"1,742","1,168",287,"1,683",402
2020년02월_여_70~79세,"3,314",492,361,327,583,408,205,726,212
2020년02월_여_80~89세,"1,669",232,216,169,266,175,125,355,131
2020년02월_여_90~99세,348,47,53,39,61,32,22,61,33
2020년02월_여_100세 이상,30,2,5,6,5,1,2,4,5
