,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년09월_계_총인구수,"1,038,101","263,271","20,191","43,096","7,230","51,034","38,070","42,896","30,527","30,227","215,811","42,199","22,987","28,401","46,026","41,462","26,716","8,020","174,916","4,353","12,439","3,594","4,008","14,435",647,"33,467","11,429","15,113","9,458","11,044","15,018","19,980","7,042","12,889","191,582","65,440","10,698","8,363","17,331","6,393","11,353","32,129","9,545","7,890","9,226","9,799","3,415","192,521","17,456","8,853","5,179","11,477","7,550","17,450","8,587","21,565","10,201","26,224","12,567","6,494","38,918"
2020년09월_계_연령구간인구수,"1,038,101","263,271","20,191","43,096","7,230","51,034","38,070","42,896","30,527","30,227","215,811","42,199","22,987","28,401","46,026","41,462","26,716","8,020","174,916","4,353","12,439","3,594","4,008","14,435",647,"33,467","11,429","15,113","9,458","11,044","15,018","19,980","7,042","12,889","191,582","65,440","10,698","8,363","17,331","6,393","11,353","32,129","9,545","7,890","9,226","9,799","3,415","192,521","17,456","8,853","5,179","11,477","7,550","17,450","8,587","21,565","10,201","26,224","12,567","6,494","38,918"
2020년09월_계_0~9세,"84,717","21,894","1,205","6,589",252,"4,469","3,140","2,488","1,577","2,174","16,906","3,301","1,271","2,177","3,625","3,800","2,224",508,"12,592",119,"1,181",75,65,"2,297",31,"2,963",533,985,433,525,"1,099","1,149",352,785,"13,614","5,366",436,409,"1,164",161,618,"3,293",680,316,458,549,164,"19,711","1,570",367,200,"1,121",569,"1,544",396,"2,496","1,092","3,655","1,815",557,"4,329"
2020년09월_계_10~19세,"100,404","23,819","1,940","3,571",412,"4,738","3,928","4,149","2,280","2,801","23,448","5,395","1,462","3,484","4,931","4,175","3,202",799,"13,780",171,"1,034",163,151,"1,208",30,"3,318",782,"1,376",799,933,"1,227","1,176",431,981,"18,408","8,298",646,651,"1,255",362,851,"3,512",621,481,670,836,225,"20,949","1,867",694,297,"1,026",754,"2,433",546,"2,231","1,213","3,193",919,706,"5,070"
2020년09월_계_20~29세,"130,723","36,340","2,324","4,032",660,"7,182","5,769","6,784","4,858","4,731","32,615","5,801","4,443","4,269","6,640","6,278","4,180","1,004","18,963",314,"1,087",299,255,"1,231",64,"4,323","1,673","1,636","1,174","1,248","1,463","2,032",655,"1,509","22,429","8,337",997,906,"1,930",607,"1,354","3,486","1,159","1,011",994,"1,305",343,"20,376","2,180",867,526,"1,163",783,"2,192","1,022","2,371","1,131","2,311","1,241",609,"3,980"
2020년09월_계_30~39세,"135,620","35,778","1,844","8,186",664,"7,233","5,521","4,375","3,843","4,112","29,742","4,682","4,320","3,567","6,517","6,245","3,396","1,015","20,527",316,"1,580",208,175,"2,683",60,"4,237","1,203","1,607",885,"1,041","1,752","2,419",787,"1,574","22,065","6,931","1,016",910,"2,399",575,"1,328","4,233","1,346",844,918,"1,154",411,"27,508","2,274",729,391,"1,639",841,"2,206","1,020","3,334","1,377","4,233","2,500",746,"6,218"
2020년09월_계_40~49세,"168,514","41,270","3,274","7,007",823,"7,945","6,376","6,756","4,349","4,740","36,220","7,534","3,661","4,804","7,877","6,650","4,412","1,282","25,603",399,"1,952",335,319,"2,449",77,"5,239","1,448","2,314","1,291","1,506","2,252","3,086","1,017","1,919","30,417","11,717","1,434","1,118","2,388",764,"1,635","5,655","1,332","1,124","1,251","1,455",544,"35,004","2,991","1,244",640,"1,765","1,280","3,431","1,309","3,765","1,731","4,977","2,004","1,103","8,764"
2020년09월_계_50~59세,"186,814","50,731","3,937","6,137","1,358","9,758","7,646","9,370","6,273","6,252","43,625","8,445","4,180","6,090","9,195","8,386","5,884","1,445","29,484",795,"2,052",742,747,"1,909",108,"5,777","1,906","2,528","1,778","2,028","2,404","3,314","1,197","2,199","34,705","12,467","1,821","1,432","2,990","1,217","2,003","5,390","1,688","1,446","1,850","1,738",663,"28,269","2,242","1,428",923,"1,834","1,182","2,695","1,536","3,433","1,386","3,469","1,712","1,085","5,344"
2020년09월_계_60~69세,"139,082","33,808","3,109","4,697","1,577","6,321","3,938","5,854","4,774","3,538","23,103","4,794","2,510","2,857","5,029","4,172","2,551","1,190","29,555","1,146","1,991",869,970,"1,616",159,"4,586","2,056","2,410","1,708","2,112","2,636","3,666","1,394","2,236","29,470","7,438","2,285","1,641","2,985","1,460","2,163","4,172","1,554","1,572","1,876","1,689",635,"23,146","2,132","1,573","1,030","1,661","1,139","1,894","1,625","2,496","1,281","2,778","1,366",958,"3,213"
2020년09월_계_70~79세,"62,758","13,177","1,642","1,825",924,"2,356","1,206","2,177","1,765","1,282","6,771","1,563",784,731,"1,447","1,162",567,517,"16,470",699,"1,024",528,738,744,72,"2,193","1,224","1,505",911,"1,160","1,524","2,143",791,"1,214","14,635","3,360","1,428",926,"1,648",838,"1,034","1,740",855,831,862,806,307,"11,705","1,430","1,242",758,861,648,738,788,955,664,"1,085",640,454,"1,442"
2020년09월_계_80~89세,"25,907","5,643",807,906,487,900,478,841,707,517,"2,923",589,297,353,669,520,268,227,"6,902",332,471,314,500,262,38,723,517,666,433,434,555,877,369,411,"5,230","1,376",574,325,520,359,330,573,273,244,306,240,110,"5,209",682,638,368,360,318,273,301,431,303,470,331,237,497
2020년09월_계_90~99세,"3,380",774,104,140,71,124,66,95,96,78,438,88,55,66,92,72,32,33,975,62,64,59,87,36,6,103,82,78,43,54,86,112,46,57,569,148,55,41,49,44,34,73,33,19,38,25,10,624,85,70,44,43,34,42,43,52,22,52,38,39,60
2020년09월_계_100세 이상,182,37,5,6,2,8,2,7,5,2,20,7,4,3,4,2,0,0,65,0,3,2,1,0,2,5,5,8,3,3,20,6,3,4,40,2,6,4,3,6,3,2,4,2,3,2,3,20,3,1,2,4,2,2,1,1,1,1,1,0,1
2020년09월_남_총인구수,"526,005","133,962","10,292","21,789","3,682","25,809","19,528","21,803","15,893","15,166","110,319","21,359","12,586","14,314","22,922","21,056","13,889","4,193","87,047","2,241","6,365","1,917","2,000","7,198",337,"16,600","5,657","7,379","4,618","5,447","7,430","9,892","3,572","6,394","96,105","32,921","5,317","4,170","8,696","3,232","5,692","15,901","4,849","3,943","4,605","4,880","1,899","98,572","9,066","4,398","2,614","5,814","3,736","8,919","4,533","10,738","5,014","13,085","6,377","3,328","20,950"
2020년09월_남_연령구간인구수,"526,005","133,962","10,292","21,789","3,682","25,809","19,528","21,803","15,893","15,166","110,319","21,359","12,586","14,314","22,922","21,056","13,889","4,193","87,047","2,241","6,365","1,917","2,000","7,198",337,"16,600","5,657","7,379","4,618","5,447","7,430","9,892","3,572","6,394","96,105","32,921","5,317","4,170","8,696","3,232","5,692","15,901","4,849","3,943","4,605","4,880","1,899","98,572","9,066","4,398","2,614","5,814","3,736","8,919","4,533","10,738","5,014","13,085","6,377","3,328","20,950"
2020년09월_남_0~9세,"43,787","11,245",613,"3,406",143,"2,247","1,594","1,282",798,"1,162","8,674","1,698",687,"1,108","1,839","1,933","1,165",244,"6,546",63,630,40,33,"1,189",13,"1,535",265,535,221,287,567,585,178,405,"7,067","2,784",232,216,617,86,329,"1,693",361,153,223,289,84,"10,255",795,206,105,595,305,790,214,"1,277",565,"1,949",966,300,"2,188"
2020년09월_남_10~19세,"52,602","12,535","1,042","1,830",232,"2,457","2,092","2,203","1,193","1,486","12,365","2,846",767,"1,843","2,578","2,181","1,723",427,"7,176",94,511,91,83,601,16,"1,745",392,720,379,542,642,644,229,487,"9,649","4,358",324,346,666,193,451,"1,829",316,256,355,431,124,"10,877",941,376,162,543,406,"1,273",308,"1,159",639,"1,592",450,364,"2,664"
