,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2021년07월_계_총인구수,"110,338","17,694","13,468","15,440","7,475","1,587","3,397","2,804","3,464","5,919","4,962","6,353","15,567","6,763","5,188",257
2021년07월_계_연령구간인구수,"110,338","17,694","13,468","15,440","7,475","1,587","3,397","2,804","3,464","5,919","4,962","6,353","15,567","6,763","5,188",257
2021년07월_계_0~9세,"7,834","1,312","1,414","1,875",603,35,86,71,69,157,204,419,994,306,287,2
2021년07월_계_10~19세,"10,184","1,795","1,552","2,057",644,46,142,73,134,280,295,498,"1,647",625,389,7
2021년07월_계_20~29세,"10,543","2,220","1,491","1,516",505,108,251,143,218,368,437,526,"1,642",699,409,10
2021년07월_계_30~39세,"11,396","2,242","1,914","2,217",774,89,179,128,152,389,399,634,"1,329",516,421,13
2021년07월_계_40~49세,"17,494","3,114","2,444","3,116","1,231",149,323,243,313,657,635,948,"2,501","1,114",678,28
2021년07월_계_50~59세,"18,185","3,012","2,031","1,901","1,146",267,576,513,639,"1,000",936,"1,105","2,898","1,271",851,39
2021년07월_계_60~69세,"17,156","2,119","1,353","1,391","1,272",418,782,690,804,"1,458","1,020","1,124","2,460","1,161","1,039",65
2021년07월_계_70~79세,"10,730","1,127",748,829,789,248,599,520,623,"1,062",671,763,"1,359",671,657,64
2021년07월_계_80~89세,"5,932",654,432,467,435,202,401,374,439,481,327,299,672,340,381,28
2021년07월_계_90~99세,859,95,87,70,74,25,55,47,71,66,38,34,64,59,73,1
2021년07월_계_100세 이상,25,4,2,1,2,0,3,2,2,1,0,3,1,1,3,0
2021년07월_남_총인구수,"55,697","9,245","6,759","8,049","3,739",830,"1,741","1,398","1,710","2,902","2,452","3,093","7,586","3,510","2,553",130
2021년07월_남_연령구간인구수,"55,697","9,245","6,759","8,049","3,739",830,"1,741","1,398","1,710","2,902","2,452","3,093","7,586","3,510","2,553",130
2021년07월_남_0~9세,"4,049",682,712,"1,007",279,22,54,41,37,83,103,208,519,149,152,1
2021년07월_남_10~19세,"5,274",887,819,"1,033",353,24,76,45,69,148,157,272,839,348,199,5
2021년07월_남_20~29세,"6,319","1,320",846,953,294,64,164,96,140,223,278,305,953,423,253,7
2021년07월_남_30~39세,"6,149","1,290",992,"1,166",396,55,102,69,87,243,227,328,673,295,219,7
2021년07월_남_40~49세,"9,298","1,698","1,213","1,636",694,92,194,158,197,394,353,495,"1,186",597,368,23
2021년07월_남_50~59세,"9,666","1,602","1,056","1,087",600,164,323,298,367,540,463,559,"1,455",702,425,25
2021년07월_남_60~69세,"8,334","1,062",666,663,606,229,411,351,395,666,479,508,"1,173",582,512,31
2021년07월_남_70~79세,"4,611",485,313,351,358,111,275,218,279,442,282,315,575,290,293,24
2021년07월_남_80~89세,"1,857",205,129,144,145,63,128,114,130,154,102,97,205,113,121,7
2021년07월_남_90~99세,134,14,13,9,13,6,13,7,8,9,8,6,8,10,10,0
2021년07월_남_100세 이상,6,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0
2021년07월_여_총인구수,"54,641","8,449","6,709","7,391","3,736",757,"1,656","1,406","1,754","3,017","2,510","3,260","7,981","3,253","2,635",127
2021년07월_여_연령구간인구수,"54,641","8,449","6,709","7,391","3,736",757,"1,656","1,406","1,754","3,017","2,510","3,260","7,981","3,253","2,635",127
2021년07월_여_0~9세,"3,785",630,702,868,324,13,32,30,32,74,101,211,475,157,135,1
2021년07월_여_10~19세,"4,910",908,733,"1,024",291,22,66,28,65,132,138,226,808,277,190,2
2021년07월_여_20~29세,"4,224",900,645,563,211,44,87,47,78,145,159,221,689,276,156,3
2021년07월_여_30~39세,"5,247",952,922,"1,051",378,34,77,59,65,146,172,306,656,221,202,6
2021년07월_여_40~49세,"8,196","1,416","1,231","1,480",537,57,129,85,116,263,282,453,"1,315",517,310,5
2021년07월_여_50~59세,"8,519","1,410",975,814,546,103,253,215,272,460,473,546,"1,443",569,426,14
2021년07월_여_60~69세,"8,822","1,057",687,728,666,189,371,339,409,792,541,616,"1,287",579,527,34
2021년07월_여_70~79세,"6,119",642,435,478,431,137,324,302,344,620,389,448,784,381,364,40
2021년07월_여_80~89세,"4,075",449,303,323,290,139,273,260,309,327,225,202,467,227,260,21
2021년07월_여_90~99세,725,81,74,61,61,19,42,40,63,57,30,28,56,49,63,1
2021년07월_여_100세 이상,19,4,2,1,1,0,2,1,1,1,0,3,1,0,2,0
