,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년07월_계_총인구수,"64,273","12,377","9,880",619,226,"3,196","2,995","4,416","3,921","4,994","1,898","2,668","3,368","2,338","3,162","2,301","3,112","1,304","1,498"
2020년07월_계_연령구간인구수,"64,273","12,377","9,880",619,226,"3,196","2,995","4,416","3,921","4,994","1,898","2,668","3,368","2,338","3,162","2,301","3,112","1,304","1,498"
2020년07월_계_0~9세,"2,648","1,030",531,22,4,70,76,130,88,122,58,45,85,62,120,64,73,29,39
2020년07월_계_10~19세,"3,965","1,474",772,19,13,100,138,204,179,228,92,100,138,102,123,64,103,51,65
2020년07월_계_20~29세,"4,262","1,213",779,13,10,151,153,240,215,272,85,114,238,135,211,127,147,71,88
2020년07월_계_30~39세,"3,797","1,187",742,25,15,142,154,193,151,217,72,100,150,128,172,107,119,48,75
2020년07월_계_40~49세,"6,450","1,874","1,237",28,33,225,234,378,339,442,161,199,270,156,275,151,214,94,140
2020년07월_계_50~59세,"10,466","1,942","1,697",41,44,508,501,709,652,835,300,443,615,374,493,415,447,198,252
2020년07월_계_60~69세,"12,521","1,719","1,856",99,29,716,618,928,832,"1,050",409,571,713,562,675,490,638,270,346
2020년07월_계_70~79세,"11,440","1,194","1,459",186,44,718,577,939,825,"1,042",414,578,619,456,580,477,735,309,288
2020년07월_계_80~89세,"7,468",614,699,158,33,475,467,625,550,686,260,415,459,313,441,353,539,198,183
2020년07월_계_90~99세,"1,208",123,104,28,1,91,76,68,83,92,45,103,77,48,68,51,93,35,22
2020년07월_계_100세 이상,48,7,4,0,0,0,1,2,7,8,2,0,4,2,4,2,4,1,0
2020년07월_남_총인구수,"31,213","6,096","4,828",311,118,"1,586","1,440","2,146","1,886","2,410",925,"1,255","1,602","1,095","1,553","1,108","1,457",631,766
2020년07월_남_연령구간인구수,"31,213","6,096","4,828",311,118,"1,586","1,440","2,146","1,886","2,410",925,"1,255","1,602","1,095","1,553","1,108","1,457",631,766
2020년07월_남_0~9세,"1,326",512,266,10,0,33,40,67,32,61,30,19,45,26,71,31,42,14,27
2020년07월_남_10~19세,"2,097",788,404,10,5,56,67,110,77,122,43,57,78,61,66,37,52,30,34
2020년07월_남_20~29세,"2,491",691,421,3,8,105,81,146,138,160,50,76,132,85,128,82,80,49,56
2020년07월_남_30~39세,"2,074",565,393,11,12,94,98,111,97,126,40,59,88,61,101,70,75,33,40
2020년07월_남_40~49세,"3,767",956,660,16,28,160,145,230,211,280,106,133,171,94,172,105,139,63,98
2020년07월_남_50~59세,"5,773","1,017",900,21,25,312,299,389,352,466,184,247,328,207,289,224,261,110,142
2020년07월_남_60~69세,"6,204",806,895,55,14,363,335,447,402,501,207,293,367,284,328,262,314,145,186
2020년07월_남_70~79세,"4,900",540,640,104,16,294,231,402,395,439,172,244,240,182,246,195,308,122,130
2020년07월_남_80~89세,"2,318",200,232,73,10,149,128,224,167,229,81,110,131,89,126,96,170,55,48
2020년07월_남_90~99세,256,19,16,8,0,20,16,19,15,25,11,17,22,6,26,5,16,10,5
2020년07월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년07월_여_총인구수,"33,060","6,281","5,052",308,108,"1,610","1,555","2,270","2,035","2,584",973,"1,413","1,766","1,243","1,609","1,193","1,655",673,732
2020년07월_여_연령구간인구수,"33,060","6,281","5,052",308,108,"1,610","1,555","2,270","2,035","2,584",973,"1,413","1,766","1,243","1,609","1,193","1,655",673,732
2020년07월_여_0~9세,"1,322",518,265,12,4,37,36,63,56,61,28,26,40,36,49,33,31,15,12
2020년07월_여_10~19세,"1,868",686,368,9,8,44,71,94,102,106,49,43,60,41,57,27,51,21,31
2020년07월_여_20~29세,"1,771",522,358,10,2,46,72,94,77,112,35,38,106,50,83,45,67,22,32
2020년07월_여_30~39세,"1,723",622,349,14,3,48,56,82,54,91,32,41,62,67,71,37,44,15,35
2020년07월_여_40~49세,"2,683",918,577,12,5,65,89,148,128,162,55,66,99,62,103,46,75,31,42
2020년07월_여_50~59세,"4,693",925,797,20,19,196,202,320,300,369,116,196,287,167,204,191,186,88,110
2020년07월_여_60~69세,"6,317",913,961,44,15,353,283,481,430,549,202,278,346,278,347,228,324,125,160
2020년07월_여_70~79세,"6,540",654,819,82,28,424,346,537,430,603,242,334,379,274,334,282,427,187,158
2020년07월_여_80~89세,"5,150",414,467,85,23,326,339,401,383,457,179,305,328,224,315,257,369,143,135
2020년07월_여_90~99세,952,104,88,20,1,71,60,49,68,67,34,86,55,42,42,46,77,25,17
2020년07월_여_100세 이상,41,5,3,0,0,0,1,1,7,7,1,0,4,2,4,1,4,1,0
