,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년02월_계_총인구수,"524,004","31,804","35,635","29,412","15,047","22,492","22,205","28,170","29,185","17,429","24,614","17,884","21,515","15,583","24,807","20,284","39,750","21,165","32,281","32,955","41,787"
2021년02월_계_연령구간인구수,"524,004","31,804","35,635","29,412","15,047","22,492","22,205","28,170","29,185","17,429","24,614","17,884","21,515","15,583","24,807","20,284","39,750","21,165","32,281","32,955","41,787"
2021년02월_계_0~9세,"40,968","3,114","3,587","1,621",650,"1,183","1,596","1,596","1,772",857,"1,739","1,300","1,475",631,"1,437","1,610","5,868","1,269","2,818","2,452","4,393"
2021년02월_계_10~19세,"49,543","3,059","4,351","1,766","1,035","1,620","2,098","2,131","2,392","1,106","2,469","1,641","1,922",993,"2,322","2,203","3,722","1,908","3,573","3,340","5,892"
2021년02월_계_20~29세,"70,641","4,211","4,271","6,383","2,152","3,166","2,910","4,033","4,207","2,265","3,260","2,512","2,895","2,160","3,481","2,384","3,847","2,865","4,164","4,636","4,839"
2021년02월_계_30~39세,"71,600","4,648","4,460","5,620","1,673","3,149","2,755","3,685","4,112","2,165","2,960","2,194","2,817","1,834","2,844","2,397","7,506","2,271","4,549","4,594","5,367"
2021년02월_계_40~49세,"88,460","5,610","6,638","4,678","2,266","3,412","3,843","4,307","4,563","2,449","4,124","2,891","3,327","2,103","3,757","3,422","7,523","3,321","5,806","5,651","8,769"
2021년02월_계_50~59세,"89,964","5,105","5,749","4,429","2,980","4,012","3,814","5,293","5,238","3,360","4,326","3,231","3,792","3,085","4,837","3,495","4,991","4,276","5,552","5,616","6,783"
2021년02월_계_60~69세,"66,911","3,723","4,073","2,966","2,365","3,241","2,973","4,142","4,134","2,818","3,500","2,485","3,138","2,725","3,572","2,958","4,067","3,110","3,548","3,751","3,622"
2021년02월_계_70~79세,"30,985","1,585","1,775","1,364","1,283","1,828","1,538","2,016","1,836","1,502","1,571","1,156","1,401","1,445","1,601","1,239","1,618","1,437","1,507","1,882","1,401"
