,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년09월_계_총인구수,"373,508","25,342","38,785","21,854","21,835","14,340","12,128","23,267","24,912","25,129","18,394","20,941","19,054","15,702","19,546","40,645","31,634"
2020년09월_계_연령구간인구수,"373,508","25,342","38,785","21,854","21,835","14,340","12,128","23,267","24,912","25,129","18,394","20,941","19,054","15,702","19,546","40,645","31,634"
2020년09월_계_0~9세,"25,473","2,756","2,299","1,524","2,297",669,929,"1,712","1,936",859,"1,190","1,120","1,218",647,"1,035","2,617","2,665"
2020년09월_계_10~19세,"28,679","1,636","2,394","1,644","2,009",917,"1,138","1,929","1,755","1,259",975,"1,330","1,616",837,"1,500","3,531","4,209"
2020년09월_계_20~29세,"62,144","3,129","6,622","3,012","2,271","3,351","1,816","3,552","4,678","6,105","3,614","3,515","2,907","3,241","3,203","6,800","4,328"
2020년09월_계_30~39세,"64,951","5,150","6,584","3,668","3,770","2,351","1,912","3,798","4,220","5,318","3,769","3,986","2,951","3,144","3,438","6,821","4,071"
2020년09월_계_40~49세,"61,454","4,133","5,712","3,248","4,422","2,098","2,157","3,934","4,054","3,734","2,675","3,278","3,294","2,357","3,389","6,684","6,285"
2020년09월_계_50~59세,"54,242","3,827","6,555","3,509","2,942","2,029","1,763","3,556","3,677","3,111","2,386","2,963","2,812","2,040","2,849","5,762","4,461"
2020년09월_계_60~69세,"39,173","2,680","4,447","2,663","2,119","1,468","1,149","2,445","2,408","2,278","1,918","2,398","2,167","1,707","2,173","4,190","2,963"
2020년09월_계_70~79세,"24,423","1,212","2,688","1,568","1,281",909,815,"1,554","1,409","1,563","1,232","1,626","1,455","1,113","1,349","2,899","1,750"
2020년09월_계_80~89세,"10,970",656,"1,276",843,629,438,387,654,665,739,533,632,546,514,534,"1,146",778
2020년09월_계_90~99세,"1,664",111,169,148,85,85,50,113,94,136,83,86,70,84,62,181,107
2020년09월_계_100세 이상,335,52,39,27,10,25,12,20,16,27,19,7,18,18,14,14,17
2020년09월_남_총인구수,"176,011","11,856","18,344","10,460","10,299","6,938","5,844","11,306","11,870","11,477","8,551","9,838","8,999","7,390","9,192","18,533","15,114"
2020년09월_남_연령구간인구수,"176,011","11,856","18,344","10,460","10,299","6,938","5,844","11,306","11,870","11,477","8,551","9,838","8,999","7,390","9,192","18,533","15,114"
2020년09월_남_0~9세,"12,905","1,316","1,204",812,"1,102",356,465,880,993,429,635,569,622,309,504,"1,307","1,402"
2020년09월_남_10~19세,"14,473",781,"1,179",876,984,470,563,"1,048",883,609,459,653,783,458,752,"1,854","2,121"
2020년09월_남_20~29세,"28,122","1,379","2,916","1,450","1,058","1,523",882,"1,801","2,235","2,602","1,610","1,621","1,366","1,493","1,499","2,727","1,960"
2020년09월_남_30~39세,"30,712","2,387","3,225","1,764","1,740","1,189",927,"1,831","1,979","2,446","1,794","1,899","1,385","1,514","1,657","3,118","1,857"
2020년09월_남_40~49세,"29,925","2,072","2,817","1,558","2,143","1,055","1,098","1,838","1,956","1,827","1,295","1,604","1,622","1,179","1,608","3,230","3,023"
2020년09월_남_50~59세,"26,649","1,840","3,235","1,690","1,456","1,070",884,"1,787","1,766","1,506","1,126","1,458","1,399",959,"1,358","2,808","2,307"
2020년09월_남_60~69세,"18,129","1,286","2,139","1,255","1,015",698,536,"1,175","1,160","1,007",865,"1,075",944,778,984,"1,874","1,338"
2020년09월_남_70~79세,"10,333",493,"1,129",703,539,377,315,638,604,686,542,703,630,465,581,"1,157",771
2020년09월_남_80~89세,"4,210",257,446,310,236,173,157,262,266,316,197,229,219,195,225,416,306
2020년09월_남_90~99세,472,31,45,37,23,23,15,40,27,39,25,27,23,34,19,37,27
2020년09월_남_100세 이상,81,14,9,5,3,4,2,6,1,10,3,0,6,6,5,5,2
2020년09월_여_총인구수,"197,497","13,486","20,441","11,394","11,536","7,402","6,284","11,961","13,042","13,652","9,843","11,103","10,055","8,312","10,354","22,112","16,520"
2020년09월_여_연령구간인구수,"197,497","13,486","20,441","11,394","11,536","7,402","6,284","11,961","13,042","13,652","9,843","11,103","10,055","8,312","10,354","22,112","16,520"
