카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년02월_계_총인구수,"62,381","7,121","6,190","7,819","10,645","3,721","1,680","2,955","7,999","4,439","6,740","3,072"
2021년02월_계_연령구간인구수,"62,381","7,121","6,190","7,819","10,645","3,721","1,680","2,955","7,999","4,439","6,740","3,072"
2021년02월_계_0~9세,"3,649",447,245,346,842,135,84,84,467,328,565,106
2021년02월_계_10~19세,"4,996",611,489,609,897,220,114,152,681,447,578,198
2021년02월_계_20~29세,"6,580",763,706,802,"1,186",399,180,270,836,522,615,301
2021년02월_계_30~39세,"6,772",792,528,761,"1,428",345,161,226,881,568,838,244
2021년02월_계_40~49세,"9,938","1,214",886,"1,211","1,787",508,255,366,"1,322",786,"1,173",430
2021년02월_계_50~59세,"10,141","1,188","1,076","1,274","1,619",688,256,502,"1,289",780,"1,020",449
2021년02월_계_60~69세,"10,152","1,097","1,098","1,382","1,525",700,300,624,"1,260",577,999,590
2021년02월_계_70~79세,"6,711",641,777,944,976,452,206,446,850,301,621,497
2021년02월_계_80~89세,"2,921",307,319,431,328,251,106,246,350,100,270,213
2021년02월_계_90~99세,446,50,55,52,46,23,17,32,56,24,55,36
2021년02월_계_100세 이상,75,11,11,7,11,0,1,7,7,6,6,8
2021년02월_남_총인구수,"31,515","3,663","3,130","3,879","5,259","1,904",828,"1,514","4,093","2,307","3,384","1,554"
2021년02월_남_연령구간인구수,"31,515","3,663","3,130","3,879","5,259","1,904",828,"1,514","4,093","2,307","3,384","1,554"
2021년02월_남_0~9세,"1,914",241,133,183,423,73,41,49,257,167,296,51
2021년02월_남_10~19세,"2,599",319,250,299,474,104,55,72,352,226,327,121
2021년02월_남_20~29세,"3,573",425,384,430,621,226,100,166,486,267,314,154
2021년02월_남_30~39세,"3,626",415,281,423,723,191,90,131,479,331,425,137
2021년02월_남_40~49세,"5,373",662,464,666,934,291,137,218,697,410,644,250
2021년02월_남_50~59세,"5,412",658,593,674,789,379,127,286,701,425,529,251
2021년02월_남_60~69세,"4,895",555,536,652,709,359,155,288,597,291,469,284
2021년02월_남_70~79세,"2,961",275,354,395,450,186,87,200,376,144,280,214
2021년02월_남_80~89세,"1,029",97,121,144,122,85,29,93,131,37,92,78
2021년02월_남_90~99세,110,12,12,12,9,10,7,9,15,6,8,10
2021년02월_남_100세 이상,23,4,2,1,5,0,0,2,2,3,0,4
2021년02월_여_총인구수,"30,866","3,458","3,060","3,940","5,386","1,817",852,"1,441","3,906","2,132","3,356","1,518"
2021년02월_여_연령구간인구수,"30,866","3,458","3,060","3,940","5,386","1,817",852,"1,441","3,906","2,132","3,356","1,518"
2021년02월_여_0~9세,"1,735",206,112,163,419,62,43,35,210,161,269,55
2021년02월_여_10~19세,"2,397",292,239,310,423,116,59,80,329,221,251,77
2021년02월_여_20~29세,"3,007",338,322,372,565,173,80,104,350,255,301,147
2021년02월_여_30~39세,"3,146",377,247,338,705,154,71,95,402,237,413,107
2021년02월_여_40~49세,"4,565",552,422,545,853,217,118,148,625,376,529,180
2021년02월_여_50~59세,"4,729",530,483,600,830,309,129,216,588,355,491,198
2021년02월_여_60~69세,"5,257",542,562,730,816,341,145,336,663,286,530,306
2021년02월_여_70~79세,"3,750",366,423,549,526,266,119,246,474,157,341,283
2021년02월_여_80~89세,"1,892",210,198,287,206,166,77,153,219,63,178,135
2021년02월_여_90~99세,336,38,43,40,37,13,10,23,41,18,47,26
2021년02월_여_100세 이상,52,7,9,6,6,0,1,5,5,3,6,4
