,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2021년04월_계_총인구수,"13,479,798","1,185,532","271,170","365,778","182,377","366,207","932,867","238,336","215,314","479,217","461,077","551,189","238,231","312,958","812,158","295,690","546,154","93,289","655,816","353,702","302,114","1,080,736","479,828","300,407","300,501","68,955","195,324","721,767","230,769","510,098","271,007","162,227","301,801","1,076,773","259,445","439,922","377,406","470,096","219,224","188,038","481,719","864,687","383,794","234,990","147,317","111,913","43,080","62,206","119,505"
2021년04월_계_연령구간인구수,"13,479,798","1,185,532","271,170","365,778","182,377","366,207","932,867","238,336","215,314","479,217","461,077","551,189","238,231","312,958","812,158","295,690","546,154","93,289","655,816","353,702","302,114","1,080,736","479,828","300,407","300,501","68,955","195,324","721,767","230,769","510,098","271,007","162,227","301,801","1,076,773","259,445","439,922","377,406","470,096","219,224","188,038","481,719","864,687","383,794","234,990","147,317","111,913","43,080","62,206","119,505"
2021년04월_계_0~9세,"1,130,520","94,805","17,609","31,392","10,361","35,443","67,266","15,358","13,082","38,826","33,807","39,104","15,164","23,940","55,482","22,515","49,475","6,057","43,627","23,198","20,429","81,222","38,448","20,696","22,078","5,934","14,674","64,690","23,065","49,119","19,818","12,849","30,550","98,828","20,867","41,611","36,350","43,744","18,422","13,707","55,329","103,071","34,362","20,264","8,326","7,260","2,648","3,282","7,218"
2021년04월_계_10~19세,"1,325,369","117,430","28,305","33,028","14,203","41,894","86,510","17,180","16,324","53,006","41,978","51,860","18,501","33,359","69,159","30,115","53,687","8,511","63,337","34,279","29,058","103,680","41,295","29,204","33,181","6,736","17,799","77,742","24,925","50,411","26,043","14,285","26,183","121,383","25,498","50,442","45,443","49,431","22,216","18,076","48,622","97,937","34,124","24,408","11,982","9,442","3,119","4,561","9,677"
2021년04월_계_20~29세,"1,812,656","186,516","43,729","53,874","30,218","58,695","130,689","34,842","30,977","64,870","64,810","77,171","34,202","42,969","115,879","37,730","75,437","11,157","107,254","59,062","48,192","149,697","62,636","44,758","42,303","9,278","26,947","85,727","31,646","70,298","37,777","23,148","37,539","138,229","34,618","56,935","46,676","57,651","30,399","22,805","53,041","106,675","45,153","27,806","17,932","12,166","5,296","6,213","10,590"
2021년04월_계_30~39세,"1,901,856","177,506","32,149","56,995","26,591","61,771","135,421","35,391","31,205","68,825","59,618","77,390","32,830","44,560","114,038","40,448","82,548","9,993","85,313","44,134","41,179","143,232","68,497","38,625","36,110","9,691","25,635","89,842","38,464","78,769","37,519","22,571","50,942","143,621","33,932","58,322","51,367","67,016","30,408","22,887","76,664","150,419","56,776","28,629","14,582","11,371","4,156","5,602","10,785"
2021년04월_계_40~49세,"2,298,715","201,444","44,353","61,108","28,136","67,847","155,085","36,958","32,661","85,466","74,164","87,348","34,691","52,657","127,571","50,775","94,930","14,050","106,839","57,359","49,480","180,894","78,854","50,887","51,153","10,388","32,331","131,232","43,628","92,133","43,680","24,184","53,384","199,023","43,492","83,102","72,429","81,282","34,733","30,221","90,428","166,670","67,231","40,115","20,095","15,855","4,870","7,848","16,284"
2021년04월_계_50~59세,"2,242,984","196,348","48,647","61,656","31,205","54,840","154,722","40,467","37,757","76,498","80,276","96,883","42,909","53,974","145,892","49,310","87,997","16,338","127,664","69,160","58,504","195,280","83,215","56,071","55,994","12,021","35,364","118,804","33,634","88,712","47,717","29,105","43,182","167,107","43,455","67,537","56,115","74,234","35,129","31,500","67,795","117,230","63,956","38,764","29,012","20,063","7,004","11,213","20,728"
2021년04월_계_60~69세,"1,587,742","125,117","31,703","41,424","23,721","28,269","116,031","33,903","31,396","50,732","58,778","73,052","35,303","37,749","113,955","38,332","57,217","13,466","74,862","39,823","35,039","125,985","59,022","34,102","32,861","8,464","25,252","86,377","20,809","50,081","34,409","21,985","36,509","109,529","32,668","42,300","34,561","51,267","26,978","26,342","51,319","73,311","49,924","30,058","25,405","19,233","7,707","12,410","23,578"
2021년04월_계_70~79세,"767,606","56,593","15,698","17,435","12,064","11,396","57,641","16,935","15,248","25,458","31,165","31,808","16,530","15,278","46,738","17,764","28,435","8,617","29,897","16,870","13,027","61,795","30,338","15,595","15,862","3,967","11,629","45,207","9,906","19,781","15,103","9,082","16,511","65,851","16,110","26,375","23,366","28,724","13,059","13,696","26,081","32,290","22,333","16,415","12,357","10,213","5,002","6,791","13,155"
