카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2020년12월_계_총인구수,"387,450","19,766","20,915","17,325","20,129","21,524","16,684","25,283","25,891","18,668","18,860","37,487","36,653","48,748","24,820","34,697"
2020년12월_계_연령구간인구수,"387,450","19,766","20,915","17,325","20,129","21,524","16,684","25,283","25,891","18,668","18,860","37,487","36,653","48,748","24,820","34,697"
2020년12월_계_0~9세,"38,415","1,404","1,548",889,960,"1,397","1,021","1,272","2,365","1,388","1,564","3,207","4,860","6,949","3,798","5,793"
2020년12월_계_10~19세,"42,712","1,896","2,239","1,097","1,630","1,731","1,242","1,770","2,678","1,994","2,854","5,502","6,294","5,944","2,824","3,017"
2020년12월_계_20~29세,"52,362","2,713","3,035","2,455","3,180","3,404","2,291","3,550","3,637","2,746","2,578","6,310","3,673","6,222","2,813","3,755"
2020년12월_계_30~39세,"57,935","2,336","2,528","2,314","2,591","3,224","2,247","3,038","3,930","2,582","1,847","4,392","4,522","9,444","4,741","8,199"
2020년12월_계_40~49세,"68,485","3,177","3,338","2,350","3,336","3,075","2,270","3,727","4,207","2,973","3,403","6,638","8,521","9,822","5,177","6,471"
2020년12월_계_50~59세,"64,469","3,714","3,986","3,441","4,016","3,955","3,100","5,309","4,713","3,514","3,401","6,246","5,441","6,061","3,231","4,341"
2020년12월_계_60~69세,"38,775","2,490","2,438","2,879","2,667","2,770","2,501","3,859","2,878","2,164","1,906","3,351","2,172","2,837","1,546","2,317"
2020년12월_계_70~79세,"15,644","1,337","1,162","1,255","1,170","1,189","1,169","1,764",919,816,830,"1,194",757,"1,029",487,566
2020년12월_계_80~89세,"7,272",614,537,556,499,650,689,848,447,437,388,522,342,375,181,187
2020년12월_계_90~99세,"1,317",82,99,85,76,124,147,137,103,50,88,124,67,64,21,50
2020년12월_계_100세 이상,64,3,5,4,4,5,7,9,14,4,1,1,4,1,1,1
2020년12월_남_총인구수,"192,570","9,807","10,361","8,970","11,034","10,607","7,945","13,070","12,704","9,119","9,180","18,393","18,008","23,907","12,268","17,197"
2020년12월_남_연령구간인구수,"192,570","9,807","10,361","8,970","11,034","10,607","7,945","13,070","12,704","9,119","9,180","18,393","18,008","23,907","12,268","17,197"
2020년12월_남_0~9세,"19,554",727,779,469,495,726,504,644,"1,200",714,772,"1,661","2,476","3,499","1,931","2,957"
2020년12월_남_10~19세,"21,943",995,"1,147",569,900,877,659,908,"1,334","1,022","1,469","2,791","3,237","3,041","1,436","1,558"
2020년12월_남_20~29세,"27,124","1,477","1,621","1,379","1,803","1,822","1,148","1,999","1,869","1,417","1,341","3,148","1,873","2,999","1,389","1,839"
2020년12월_남_30~39세,"28,546","1,206","1,244","1,318","1,541","1,689","1,181","1,749","1,948","1,330",816,"2,068","1,885","4,430","2,201","3,940"
