카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년01월_계_총인구수,"158,675","6,379","4,093","2,997","3,556","6,760","2,788","1,789","2,122","2,876","2,714","1,769","1,870","1,633","1,766","5,080","5,011","22,218","9,218","13,285","6,316","6,247","21,686","16,107","10,395"
2021년01월_계_연령구간인구수,"158,675","6,379","4,093","2,997","3,556","6,760","2,788","1,789","2,122","2,876","2,714","1,769","1,870","1,633","1,766","5,080","5,011","22,218","9,218","13,285","6,316","6,247","21,686","16,107","10,395"
2021년01월_계_0~9세,"10,551",187,98,61,83,424,46,32,57,56,46,31,45,24,31,238,299,"1,903",647,897,378,344,"1,989","1,538","1,097"
2021년01월_계_10~19세,"13,695",285,197,84,134,368,136,60,82,112,78,49,57,48,71,349,406,"2,322",886,960,526,579,"2,613","1,748","1,545"
2021년01월_계_20~29세,"16,710",445,310,142,314,925,145,84,155,186,127,77,84,70,65,542,528,"2,989",850,"1,437",638,672,"2,724","1,928","1,273"
2021년01월_계_30~39세,"15,400",369,204,157,208,"1,016",116,84,141,155,117,60,73,62,73,480,424,"2,546",827,"1,530",583,564,"2,420","2,086","1,105"
2021년01월_계_40~49세,"22,224",565,334,317,361,792,244,157,159,264,174,150,110,127,135,624,708,"3,570","1,392","1,851",904,860,"3,777","2,593","2,056"
2021년01월_계_50~59세,"26,412","1,114",682,541,596,932,452,286,441,520,520,306,373,282,292,835,937,"3,492","1,463","2,240","1,042","1,179","3,554","2,745","1,588"
2021년01월_계_60~69세,"25,827","1,418",905,668,865,996,633,395,489,711,685,479,490,432,469,915,847,"2,785","1,522","2,227","1,169","1,152","2,631","2,012",932
2021년01월_계_70~79세,"16,599","1,102",729,551,536,755,554,356,325,486,549,351,351,341,348,705,557,"1,623","1,017","1,410",691,629,"1,231",889,513
2021년01월_계_80~89세,"9,725",761,549,411,384,473,394,284,234,323,372,239,260,212,251,333,269,865,535,645,325,232,647,481,246
2021년01월_계_90~99세,"1,467",126,80,64,75,74,65,50,39,61,45,22,25,35,31,57,36,117,74,81,58,36,98,81,37
2021년01월_계_100세 이상,65,7,5,1,0,5,3,1,0,2,1,5,2,0,0,2,0,6,5,7,2,0,2,6,3
2021년01월_남_총인구수,"78,563","3,207","2,113","1,579","1,879","3,474","1,356",893,"1,091","1,505","1,371",911,975,854,917,"2,463","2,416","11,034","4,448","6,607","3,053","3,103","10,329","7,855","5,130"
2021년01월_남_연령구간인구수,"78,563","3,207","2,113","1,579","1,879","3,474","1,356",893,"1,091","1,505","1,371",911,975,854,917,"2,463","2,416","11,034","4,448","6,607","3,053","3,103","10,329","7,855","5,130"
2021년01월_남_0~9세,"5,530",99,50,36,41,213,25,19,31,26,18,20,26,14,20,133,168,994,350,454,180,186,"1,040",812,575
2021년01월_남_10~19세,"7,163",157,122,48,85,190,88,35,38,57,43,23,38,26,36,184,192,"1,216",450,519,278,301,"1,330",896,811
2021년01월_남_20~29세,"9,152",259,178,96,176,500,84,50,101,114,71,46,57,42,36,303,283,"1,682",460,797,364,363,"1,400","1,041",649
2021년01월_남_30~39세,"7,979",212,112,101,132,568,63,57,86,91,70,37,44,43,46,230,205,"1,288",415,824,311,310,"1,176","1,050",508
2021년01월_남_40~49세,"11,568",345,206,212,224,451,149,103,102,174,131,99,74,90,90,344,377,"1,774",707,984,465,435,"1,808","1,252",972
2021년01월_남_50~59세,"13,551",609,391,321,348,525,261,159,238,318,301,184,197,165,164,438,473,"1,756",737,"1,099",486,575,"1,670","1,306",830
2021년01월_남_60~69세,"12,492",719,478,345,460,491,300,212,254,380,370,260,266,214,266,384,388,"1,308",668,"1,031",512,525,"1,218",984,459
2021년01월_남_70~79세,"7,427",511,340,255,257,346,245,157,153,228,222,152,168,165,170,315,243,697,451,637,323,305,488,362,237
2021년01월_남_80~89세,"3,370",258,213,150,140,166,130,97,80,101,133,83,98,85,81,121,79,295,190,245,127,93,183,140,82
2021년01월_남_90~99세,316,36,23,15,16,21,11,4,8,16,12,7,7,10,8,9,8,21,20,15,7,10,15,10,7
2021년01월_남_100세 이상,15,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,1,2,0
2021년01월_여_총인구수,"80,112","3,172","1,980","1,418","1,677","3,286","1,432",896,"1,031","1,371","1,343",858,895,779,849,"2,617","2,595","11,184","4,770","6,678","3,263","3,144","11,357","8,252","5,265"
2021년01월_여_연령구간인구수,"80,112","3,172","1,980","1,418","1,677","3,286","1,432",896,"1,031","1,371","1,343",858,895,779,849,"2,617","2,595","11,184","4,770","6,678","3,263","3,144","11,357","8,252","5,265"
2021년01월_여_0~9세,"5,021",88,48,25,42,211,21,13,26,30,28,11,19,10,11,105,131,909,297,443,198,158,949,726,522
2021년01월_여_10~19세,"6,532",128,75,36,49,178,48,25,44,55,35,26,19,22,35,165,214,"1,106",436,441,248,278,"1,283",852,734
2021년01월_여_20~29세,"7,558",186,132,46,138,425,61,34,54,72,56,31,27,28,29,239,245,"1,307",390,640,274,309,"1,324",887,624
2021년01월_여_30~39세,"7,421",157,92,56,76,448,53,27,55,64,47,23,29,19,27,250,219,"1,258",412,706,272,254,"1,244","1,036",597
2021년01월_여_40~49세,"10,656",220,128,105,137,341,95,54,57,90,43,51,36,37,45,280,331,"1,796",685,867,439,425,"1,969","1,341","1,084"
2021년01월_여_50~59세,"12,861",505,291,220,248,407,191,127,203,202,219,122,176,117,128,397,464,"1,736",726,"1,141",556,604,"1,884","1,439",758
2021년01월_여_60~69세,"13,335",699,427,323,405,505,333,183,235,331,315,219,224,218,203,531,459,"1,477",854,"1,196",657,627,"1,413","1,028",473
2021년01월_여_70~79세,"9,172",591,389,296,279,409,309,199,172,258,327,199,183,176,178,390,314,926,566,773,368,324,743,527,276
2021년01월_여_80~89세,"6,355",503,336,261,244,307,264,187,154,222,239,156,162,127,170,212,190,570,345,400,198,139,464,341,164
2021년01월_여_90~99세,"1,151",90,57,49,59,53,54,46,31,45,33,15,18,25,23,48,28,96,54,66,51,26,83,71,30
2021년01월_여_100세 이상,50,5,5,1,0,2,3,1,0,2,1,5,2,0,0,0,0,3,5,5,2,0,1,4,3
