카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년04월_계_총인구수,"42,183","6,327","4,444","5,975","13,394","3,875","3,507","2,602","2,059"
2021년04월_계_연령구간인구수,"42,183","6,327","4,444","5,975","13,394","3,875","3,507","2,602","2,059"
2021년04월_계_0~9세,"2,467",456,179,374,"1,067",149,138,65,39
2021년04월_계_10~19세,"3,754",562,304,507,"1,578",258,243,212,90
2021년04월_계_20~29세,"3,596",613,346,404,"1,394",272,285,155,127
2021년04월_계_30~39세,"3,608",570,274,519,"1,442",276,256,146,125
2021년04월_계_40~49세,"6,315",901,611,914,"2,559",493,384,269,184
2021년04월_계_50~59세,"7,207","1,096",772,948,"2,173",732,712,412,362
2021년04월_계_60~69세,"7,846","1,127","1,039","1,120","1,790",928,742,612,488
2021년04월_계_70~79세,"4,887",683,622,775,950,522,456,476,403
2021년04월_계_80~89세,"2,191",275,253,357,390,213,254,235,214
2021년04월_계_90~99세,288,42,43,50,49,27,30,20,27
2021년04월_계_100세 이상,24,2,1,7,2,5,7,0,0
2021년04월_남_총인구수,"21,370","3,146","2,269","3,044","6,797","1,944","1,724","1,374","1,072"
2021년04월_남_연령구간인구수,"21,370","3,146","2,269","3,044","6,797","1,944","1,724","1,374","1,072"
2021년04월_남_0~9세,"1,305",239,89,210,558,76,71,41,21
2021년04월_남_10~19세,"1,946",294,163,258,811,112,113,147,48
2021년04월_남_20~29세,"2,072",364,206,244,798,145,154,88,73
2021년04월_남_30~39세,"1,917",306,153,264,731,151,151,82,79
2021년04월_남_40~49세,"3,346",462,334,514,"1,295",271,202,163,105
2021년04월_남_50~59세,"3,863",534,418,545,"1,155",385,369,248,209
2021년04월_남_60~69세,"3,865",533,532,518,871,469,382,309,251
2021년04월_남_70~79세,"2,175",302,265,341,435,235,198,208,191
2021년04월_남_80~89세,806,100,99,133,135,93,78,83,85
2021년04월_남_90~99세,65,11,9,14,7,5,4,5,10
2021년04월_남_100세 이상,10,1,1,3,1,2,2,0,0
2021년04월_여_총인구수,"20,813","3,181","2,175","2,931","6,597","1,931","1,783","1,228",987
2021년04월_여_연령구간인구수,"20,813","3,181","2,175","2,931","6,597","1,931","1,783","1,228",987
2021년04월_여_0~9세,"1,162",217,90,164,509,73,67,24,18
2021년04월_여_10~19세,"1,808",268,141,249,767,146,130,65,42
2021년04월_여_20~29세,"1,524",249,140,160,596,127,131,67,54
2021년04월_여_30~39세,"1,691",264,121,255,711,125,105,64,46
2021년04월_여_40~49세,"2,969",439,277,400,"1,264",222,182,106,79
2021년04월_여_50~59세,"3,344",562,354,403,"1,018",347,343,164,153
2021년04월_여_60~69세,"3,981",594,507,602,919,459,360,303,237
2021년04월_여_70~79세,"2,712",381,357,434,515,287,258,268,212
2021년04월_여_80~89세,"1,385",175,154,224,255,120,176,152,129
2021년04월_여_90~99세,223,31,34,36,42,22,26,15,17
2021년04월_여_100세 이상,14,1,0,4,1,3,5,0,0
