,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년08월_계_총인구수,"219,944","10,362","5,094","4,659","9,422","10,410","12,684","4,997","7,496","5,302","5,964","2,802","4,071","3,092","9,145","16,741","10,709","21,329","11,815","16,373","4,749","11,357","8,290","23,081"
2021년08월_계_연령구간인구수,"219,944","10,362","5,094","4,659","9,422","10,410","12,684","4,997","7,496","5,302","5,964","2,802","4,071","3,092","9,145","16,741","10,709","21,329","11,815","16,373","4,749","11,357","8,290","23,081"
2021년08월_계_0~9세,"16,892",415,205,149,647,"1,475",874,460,187,174,386,53,125,126,625,"1,590",945,"1,802",763,"1,192",361,"1,081",634,"2,623"
2021년08월_계_10~19세,"23,873",694,314,307,"1,032","1,248","1,432",454,398,306,581,119,201,215,970,"2,393","1,426","2,367","1,106","1,802",495,"1,556",833,"3,624"
2021년08월_계_20~29세,"26,624","1,027",502,391,"1,146","1,233","1,697",517,689,500,674,188,424,293,"1,075","1,751","1,164","2,521","2,197","2,566",538,"1,454","1,195","2,882"
2021년08월_계_30~39세,"24,161",923,423,357,993,"1,812","1,293",646,561,410,572,182,263,240,911,"1,865","1,090","2,462","1,536","1,868",517,"1,389",991,"2,857"
2021년08월_계_40~49세,"36,385","1,338",653,609,"1,467","1,878","2,109",799,939,680,920,373,463,408,"1,459","3,179","1,887","3,530","2,020","2,632",804,"2,099","1,343","4,796"
2021년08월_계_50~59세,"36,020","1,722",831,792,"1,599","1,275","2,289",788,"1,303",849,913,496,662,501,"1,594","2,491","1,581","3,472","1,998","3,052",763,"1,874","1,581","3,594"
2021년08월_계_60~69세,"29,768","2,085","1,078",888,"1,355",868,"1,646",687,"1,509","1,051",992,654,831,566,"1,390","1,850","1,443","2,901","1,317","2,049",682,"1,125","1,017","1,784"
2021년08월_계_70~79세,"17,726","1,492",794,765,787,431,910,420,"1,281",942,661,503,709,502,769,"1,065",763,"1,534",590,783,384,522,453,666
