카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년02월_계_총인구수,"159,645","6,557","4,176","3,086","3,692","5,265","2,879","1,864","2,146","2,976","2,771","1,814","1,919","1,677","1,792","5,216","5,179","22,438","9,362","13,657","6,560","6,462","22,396","15,795","9,966"
2020년02월_계_연령구간인구수,"159,645","6,557","4,176","3,086","3,692","5,265","2,879","1,864","2,146","2,976","2,771","1,814","1,919","1,677","1,792","5,216","5,179","22,438","9,362","13,657","6,560","6,462","22,396","15,795","9,966"
2020년02월_계_0~9세,"11,116",216,93,72,88,225,52,37,60,79,54,33,47,28,29,263,331,"1,979",711,967,432,402,"2,207","1,569","1,142"
2020년02월_계_10~19세,"14,086",295,227,101,165,272,139,74,93,114,78,57,55,54,72,377,426,"2,406",901,"1,032",565,620,"2,708","1,706","1,549"
2020년02월_계_20~29세,"16,887",497,325,160,372,606,151,87,182,217,149,96,102,67,79,561,555,"3,034",862,"1,520",672,717,"2,798","1,919","1,159"
2020년02월_계_30~39세,"15,989",419,197,178,229,584,134,93,133,172,126,72,89,79,80,551,492,"2,645",895,"1,637",673,623,"2,692","2,094","1,102"
2020년02월_계_40~49세,"22,731",640,371,344,387,585,279,178,189,293,197,163,132,140,152,663,749,"3,618","1,404","1,957",935,901,"3,883","2,583","1,988"
2020년02월_계_50~59세,"26,957","1,134",714,579,641,832,490,308,463,556,542,329,408,300,310,863,972,"3,550","1,525","2,297","1,100","1,259","3,668","2,723","1,394"
2020년02월_계_60~69세,"24,470","1,363",874,611,815,887,620,387,449,675,665,451,451,425,444,907,807,"2,677","1,457","2,156","1,114","1,090","2,485","1,806",854
2020년02월_계_70~79세,"16,660","1,121",763,569,550,754,563,379,327,489,567,352,377,346,362,688,564,"1,586","1,034","1,394",718,595,"1,215",853,494
2020년02월_계_80~89세,"9,305",750,536,405,368,455,386,274,215,318,350,237,228,207,235,290,250,824,501,613,291,221,640,468,243
2020년02월_계_90~99세,"1,380",114,72,66,76,62,63,46,35,60,42,20,28,31,28,51,33,113,67,77,58,34,97,69,38
2020년02월_계_100세 이상,64,8,4,1,1,3,2,1,0,3,1,4,2,0,1,2,0,6,5,7,2,0,3,5,3
2020년02월_남_총인구수,"79,090","3,310","2,157","1,618","1,934","2,729","1,396",908,"1,099","1,560","1,401",932,987,894,936,"2,569","2,497","11,112","4,515","6,806","3,193","3,218","10,687","7,654","4,978"
2020년02월_남_연령구간인구수,"79,090","3,310","2,157","1,618","1,934","2,729","1,396",908,"1,099","1,560","1,401",932,987,894,936,"2,569","2,497","11,112","4,515","6,806","3,193","3,218","10,687","7,654","4,978"
