카테고리,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년02월_계_총인구수,"183,444","57,577","5,481","7,568","3,426","5,641","15,445","5,232","6,118","7,565","6,854","3,514","1,920","12,640","22,439","22,024"
2020년02월_계_연령구간인구수,"183,444","57,577","5,481","7,568","3,426","5,641","15,445","5,232","6,118","7,565","6,854","3,514","1,920","12,640","22,439","22,024"
2020년02월_계_0~9세,"14,740","6,290",182,477,93,230,"1,553",151,416,315,253,95,49,761,"2,102","1,773"
2020년02월_계_10~19세,"18,107","7,495",321,687,162,290,"1,069",281,356,438,399,210,84,"1,115","2,583","2,617"
2020년02월_계_20~29세,"21,468","6,390",519,734,308,526,"1,998",477,752,654,692,386,189,"1,618","3,016","3,209"
2020년02월_계_30~39세,"23,409","8,601",442,721,259,527,"2,823",398,882,654,562,282,139,"1,450","3,025","2,644"
2020년02월_계_40~49세,"29,990","11,706",576,"1,126",365,704,"2,535",573,884,855,813,358,193,"1,792","3,951","3,559"
2020년02월_계_50~59세,"30,873","8,205","1,097","1,338",705,"1,075","2,390","1,084","1,184","1,455","1,446",667,378,"2,304","3,646","3,899"
2020년02월_계_60~69세,"23,362","4,849","1,114","1,284",734,"1,112","1,700","1,097",873,"1,580","1,311",740,438,"1,875","2,309","2,346"
2020년02월_계_70~79세,"13,233","2,668",723,699,454,685,879,644,478,959,825,474,259,"1,065","1,167","1,254"
2020년02월_계_80~89세,"7,270","1,225",442,442,310,433,436,433,255,571,505,280,167,572,566,633
2020년02월_계_90~99세,936,141,60,57,34,54,58,91,35,79,44,21,23,80,72,87
2020년02월_계_100세 이상,56,7,5,3,2,5,4,3,3,5,4,1,1,8,2,3
2020년02월_남_총인구수,"94,316","28,966","2,894","3,778","1,802","3,048","8,597","2,756","3,347","3,931","3,629","1,860",997,"6,356","11,305","11,050"
2020년02월_남_연령구간인구수,"94,316","28,966","2,894","3,778","1,802","3,048","8,597","2,756","3,347","3,931","3,629","1,860",997,"6,356","11,305","11,050"
2020년02월_남_0~9세,"7,566","3,169",97,264,56,126,828,75,219,157,121,56,30,380,"1,079",909
2020년02월_남_10~19세,"9,381","3,880",185,345,92,152,535,134,183,237,204,104,43,562,"1,348","1,377"
2020년02월_남_20~29세,"11,821","3,376",304,397,187,334,"1,160",295,446,358,405,218,109,865,"1,611","1,756"
2020년02월_남_30~39세,"12,698","4,447",279,364,148,329,"1,630",244,522,394,329,183,81,791,"1,553","1,404"
2020년02월_남_40~49세,"16,002","5,987",345,598,217,440,"1,555",341,535,501,475,221,114,944,"2,037","1,692"
2020년02월_남_50~59세,"16,299","4,231",603,687,397,577,"1,383",623,640,783,810,356,199,"1,166","1,864","1,980"
2020년02월_남_60~69세,"11,777","2,274",589,659,371,601,899,577,467,808,701,390,223,921,"1,129","1,168"
2020년02월_남_70~79세,"5,982","1,158",324,300,207,322,424,309,232,463,387,223,129,486,495,523
2020년02월_남_80~89세,"2,588",410,159,154,119,156,172,144,91,211,185,107,64,220,172,224
2020년02월_남_90~99세,190,33,9,9,7,10,10,14,11,17,12,2,5,18,16,17
2020년02월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,0,0,0,3,1,0
2020년02월_여_총인구수,"89,128","28,611","2,587","3,790","1,624","2,593","6,848","2,476","2,771","3,634","3,225","1,654",923,"6,284","11,134","10,974"
2020년02월_여_연령구간인구수,"89,128","28,611","2,587","3,790","1,624","2,593","6,848","2,476","2,771","3,634","3,225","1,654",923,"6,284","11,134","10,974"
2020년02월_여_0~9세,"7,174","3,121",85,213,37,104,725,76,197,158,132,39,19,381,"1,023",864
2020년02월_여_10~19세,"8,726","3,615",136,342,70,138,534,147,173,201,195,106,41,553,"1,235","1,240"
2020년02월_여_20~29세,"9,647","3,014",215,337,121,192,838,182,306,296,287,168,80,753,"1,405","1,453"
2020년02월_여_30~39세,"10,711","4,154",163,357,111,198,"1,193",154,360,260,233,99,58,659,"1,472","1,240"
2020년02월_여_40~49세,"13,988","5,719",231,528,148,264,980,232,349,354,338,137,79,848,"1,914","1,867"
2020년02월_여_50~59세,"14,574","3,974",494,651,308,498,"1,007",461,544,672,636,311,179,"1,138","1,782","1,919"
2020년02월_여_60~69세,"11,585","2,575",525,625,363,511,801,520,406,772,610,350,215,954,"1,180","1,178"
2020년02월_여_70~79세,"7,251","1,510",399,399,247,363,455,335,246,496,438,251,130,579,672,731
2020년02월_여_80~89세,"4,682",815,283,288,191,277,264,289,164,360,320,173,103,352,394,409
2020년02월_여_90~99세,746,108,51,48,27,44,48,77,24,62,32,19,18,62,56,70
2020년02월_여_100세 이상,44,6,5,2,1,4,3,3,2,3,4,1,1,5,1,3
