,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년06월_계_총인구수,"209,514","30,169","12,705","10,520","10,909","16,727","18,191","7,715","17,040","16,553","17,512","14,785","36,688"
2020년06월_계_연령구간인구수,"209,514","30,169","12,705","10,520","10,909","16,727","18,191","7,715","17,040","16,553","17,512","14,785","36,688"
2020년06월_계_0~9세,"15,082","2,740","1,141",531,784,"1,318","1,602",251,776,808,"1,098","1,323","2,710"
2020년06월_계_10~19세,"16,658","3,613","1,586",754,990,"1,273","1,134",421,913,695,"1,052","1,159","3,068"
2020년06월_계_20~29세,"26,367","3,294","1,335","1,206","1,276","1,888","2,252",850,"2,430","3,464","2,015","1,717","4,640"
2020년06월_계_30~39세,"27,779","3,418","1,321","1,132","1,255","2,301","3,107",783,"2,123","3,228","2,442","1,946","4,723"
2020년06월_계_40~49세,"31,963","5,588","2,413","1,425","1,638","2,508","2,598","1,046","2,309","2,319","2,355","2,283","5,481"
2020년06월_계_50~59세,"34,434","4,768","1,971","1,725","1,916","2,748","2,812","1,360","2,943","2,332","2,779","2,544","6,536"
2020년06월_계_60~69세,"31,775","3,597","1,624","1,796","1,734","2,687","2,502","1,601","3,114","2,092","3,064","2,255","5,709"
2020년06월_계_70~79세,"17,909","2,213",922,"1,280",902,"1,435","1,533","1,009","1,746","1,167","1,898","1,139","2,665"
2020년06월_계_80~89세,"6,634",825,348,578,365,512,562,351,612,407,721,366,987
2020년06월_계_90~99세,832,110,35,86,48,49,81,38,70,33,77,47,158
2020년06월_계_100세 이상,81,3,9,7,1,8,8,5,4,8,11,6,11
2020년06월_남_총인구수,"101,066","14,623","6,078","4,965","5,363","8,180","8,709","3,671","8,201","7,875","8,495","7,256","17,650"
2020년06월_남_연령구간인구수,"101,066","14,623","6,078","4,965","5,363","8,180","8,709","3,671","8,201","7,875","8,495","7,256","17,650"
2020년06월_남_0~9세,"7,680","1,423",540,281,393,668,817,130,375,409,565,693,"1,386"
2020년06월_남_10~19세,"8,588","1,916",752,393,551,680,553,211,462,357,564,587,"1,562"
2020년06월_남_20~29세,"13,411","1,719",710,588,707,"1,022","1,109",446,"1,165","1,450","1,075",924,"2,496"
2020년06월_남_30~39세,"13,927","1,608",618,583,648,"1,160","1,542",419,"1,118","1,629","1,279",940,"2,383"
2020년06월_남_40~49세,"15,663","2,596","1,163",706,786,"1,234","1,304",515,"1,175","1,216","1,231","1,147","2,590"
2020년06월_남_50~59세,"16,248","2,364",960,808,893,"1,268","1,322",629,"1,407","1,102","1,325","1,235","2,935"
2020년06월_남_60~69세,"14,669","1,647",773,809,829,"1,250","1,128",742,"1,424",985,"1,359","1,056","2,667"
2020년06월_남_70~79세,"8,165",970,420,559,415,682,702,442,823,549,807,537,"1,259"
2020년06월_남_80~89세,"2,503",350,133,209,134,200,213,127,231,167,271,127,341
2020년06월_남_90~99세,193,29,7,27,7,14,16,9,20,9,17,8,30
2020년06월_남_100세 이상,19,1,2,2,0,2,3,1,1,2,2,2,1
2020년06월_여_총인구수,"108,448","15,546","6,627","5,555","5,546","8,547","9,482","4,044","8,839","8,678","9,017","7,529","19,038"
2020년06월_여_연령구간인구수,"108,448","15,546","6,627","5,555","5,546","8,547","9,482","4,044","8,839","8,678","9,017","7,529","19,038"
2020년06월_여_0~9세,"7,402","1,317",601,250,391,650,785,121,401,399,533,630,"1,324"
2020년06월_여_10~19세,"8,070","1,697",834,361,439,593,581,210,451,338,488,572,"1,506"
2020년06월_여_20~29세,"12,956","1,575",625,618,569,866,"1,143",404,"1,265","2,014",940,793,"2,144"
2020년06월_여_30~39세,"13,852","1,810",703,549,607,"1,141","1,565",364,"1,005","1,599","1,163","1,006","2,340"
2020년06월_여_40~49세,"16,300","2,992","1,250",719,852,"1,274","1,294",531,"1,134","1,103","1,124","1,136","2,891"
2020년06월_여_50~59세,"18,186","2,404","1,011",917,"1,023","1,480","1,490",731,"1,536","1,230","1,454","1,309","3,601"
2020년06월_여_60~69세,"17,106","1,950",851,987,905,"1,437","1,374",859,"1,690","1,107","1,705","1,199","3,042"
2020년06월_여_70~79세,"9,744","1,243",502,721,487,753,831,567,923,618,"1,091",602,"1,406"
2020년06월_여_80~89세,"4,131",475,215,369,231,312,349,224,381,240,450,239,646
2020년06월_여_90~99세,639,81,28,59,41,35,65,29,50,24,60,39,128
2020년06월_여_100세 이상,62,2,7,5,1,6,5,4,3,6,9,4,10
